name,success,V0,V0_err,rc,rc_err,n,n_err,f_disk,f_disk_err,RMS,chi2_red,N_points,r_cut
NGC2403,True,121.62600330001763,1.078165305087634,2.158525744174266,0.25135088660475247,1.0262754079218754,0.04488966506469008,0.20000000000043444,0.193178387360887,4.221160038737295,8.000239856556913,69,0.5
NGC3198,True,135.09474483073194,1.7003634007227093,5.461748379113942,0.5302229019082054,1.4583263266783768,0.12001056228158631,0.5945534235016208,0.05551784259184356,4.182927591092225,0.4188046228588546,42,0.5
NGC2903,True,169.52111441570537,1.679870774121229,2.496000000000001,0.18028150173096003,1.608843386980888,0.1629093265084664,0.5035069884518195,0.0153701038681315,14.836056844272644,4.930654246477089,33,0.5
NGC5055,True,152.33577186321654,0.7194885554970473,11.797443499844436,0.43298085791485685,1.8156851311436586,0.11207483086611378,0.6690267911208154,0.007161745984871142,2.538844712141256,1.4522822746808706,28,0.5
DDO154,True,45.34319353476388,0.852212364785815,2.622320968747308,0.07550606016632191,1.782692690421942,0.18803572251363768,0.6549267268744671,0.32114145407858713,0.7379266823612483,0.8100472251476866,11,0.5
F571-V1,True,77.31111037323237,22.83932061187365,5.304539485867093,4.543086661221049,1.8135790979286763,1.265962201894279,0.5253896880386553,4.218876843416636,0.9641965520931071,0.035399147560419716,7,0.5
IC2574,True,94.83570278198964,17.125175542239166,14.605371328636549,4.598297377003514,1.5485124786223656,0.10291766764134366,0.2000000000245609,1.1572604082242188,1.9899019545001564,1.9497197519293141,34,0.5
KK98-251,True,30.76171293307777,21.62001765126649,1.9307534145165195,0.5544447140335301,2.3304240573303185,1.4729948542542315,0.20000000000321985,19.13660896256507,0.8174541063401187,0.2278060963542007,13,0.5
NGC0055,True,70.18623148702454,6.2107505723508964,5.850205685867195,0.28667596482750046,2.433708845924156,0.7886579506106572,0.8068732903328933,0.21366495878659947,0.9454449661351071,0.10436473336439389,21,0.5
NGC0801,True,257.4745245643961,488.40796035781904,111.94297984073052,591.1785150886334,1.0398633403661872,1.0377482948913628,0.7981982310260162,0.03525127078125707,12.582267998166966,6.007188912786308,13,0.5
NGC7331,True,257.6296645245649,128.8589055182169,31.181335806273985,87.03910348269967,0.5658024615019164,0.6181203779577665,0.517215657330314,0.09393450126298661,6.464057709067822,0.9123804888097145,36,0.5
UGC02259,True,82.71340043773064,9.821824711172516,1.5608255082486926,0.24537753976159596,1.1471865952147162,0.44675319044460066,0.20000000000000004,3.107906201573313,1.4282185951629554,0.7868781299924585,8,0.5
UGC02953,True,236.7478209416873,0.831210164215535,6.239000000000002,0.06107189335716715,2.9481789118567883,0.09066443901683618,0.6163327446929541,0.005818504926479699,21.659896150201067,6.159342735081928,110,0.5
UGCA281,True,27.684970016766385,18.05503648823001,0.4812934590147639,0.4915056638292498,1.8041247903991156,0.6991020482947271,0.20000000000000004,10.035316061091505,0.3562948512281659,0.09874050108264876,7,0.5
F574-1,True,94.26156648115918,40.25529668879074,3.5292009480542226,0.725969786553042,1.6482384333424571,0.8600781288909952,0.20000000000000004,7.338652472909817,1.2617408809736526,0.11035261782525711,13,0.5
NGC0024,True,156.22900266919615,242.00125280961075,33.80999999999997,196.9532220697049,0.7114708910801533,0.27735369051317976,1.1999999999999997,0.13686342274707688,5.1098894694010175,0.5911434526114739,26,0.5
NGC0100,True,82.06002459677904,30.442992406207683,4.2227301147112275,5.9644551802069,1.7456067200584726,1.9441671272237016,0.5976478732232073,2.5766628057724974,1.7709209286419199,0.11619197604287931,20,0.5
NGC0247,True,134.19319061737377,686.0744890533152,43.61999999932169,647.2758108393666,0.909556886451209,0.5634838946734009,1.1999999999999917,0.4982005700840748,3.436034129904601,1.6921329302202972,26,0.5
NGC0289,True,149.54226400040005,7.808717666007216,12.912125452891761,6.718330033596122,0.9163280362892472,0.5772368118730689,0.7943164728932156,0.11830165011237008,10.175233855871863,2.0452436150511777,28,0.5
NGC0300,True,90.11690414933602,29.24238033386665,5.737397317748079,10.225137170952268,1.4177821545781812,2.668853192465926,0.8959469061154027,2.5286108089212034,3.3355951662699206,0.48574732122422826,25,0.5
NGC0891,True,184.9658642833091,5.326948048434904,5.197001604285104,0.48153929152935676,2.5472695869773334,0.41033317929486096,0.36193530758624726,0.056480706232537176,9.73106673915761,1.5168792714354637,18,0.5
NGC1003,True,123.31226945704799,26.28840901350361,21.70441774936495,16.676809299066175,0.908502608048529,0.42892406911321085,0.8183898355901248,0.15013933119353154,4.153765778767732,2.3900434187106163,36,0.5
NGC1090,True,141.14207712111343,2.445239622625211,4.446950840078395,0.29380767628232324,2.177095500807518,0.3380375032366099,0.5535390953142986,0.03485898855230472,3.371654351121702,0.5768189586105242,23,0.5
PGC51017,True,59.69999972272165,81751278.91297586,8.763880712983388,3006110.5913436147,7.999999999999999,4772.527309590784,0.7796647716074085,0.08333711669879984,4.3926360060256044,3.529877950804134,5,0.5
