fiberID,RA,DEC,z_final,sigma_v_kms,L_corr,thetaE_arcsec_TFGR,RA_est,DEC_est
39.0,134.02112521752977,3.295588063958723,0.0002752960135694,69.0297650882656,10.762976767359444,0.1373878918013556,134.02112521752977,3.295588063958723
40.0,141.43190364037875,2.360090237114271,0.0002752960135694,69.0297650882656,7.324384885942621,0.1373878918013556,141.43190364037875,2.360090237114271
41.0,135.61491574977728,3.312928985104284,0.0002752960135694,69.0297650882656,7.9202128082446,0.1373878918013556,135.61491574977728,3.312928985104284
42.0,137.54314427273928,0.2607817505777782,0.0002752960135694,69.0297650882656,7.907970645273262,0.1373878918013556,137.54314427273928,0.2607817505777782
43.0,129.46178099184658,4.999345394496709,0.0002752960135694,69.0297650882656,0.563455827024554,0.1373878918013556,129.46178099184658,4.999345394496709
44.0,130.264777416664,0.7844832170327963,0.0002752960135694,69.0297650882656,8.104991164450748,0.1373878918013556,130.264777416664,0.7844832170327963
45.0,130.1685428315206,0.7571734865750411,0.0002752960135694,69.0297650882656,4.739374879039612,0.1373878918013556,130.1685428315206,0.7571734865750411
46.0,130.44334064084765,1.57825214690584,0.0002752960135694,69.0297650882656,7.738038180503722,0.1373878918013556,130.44334064084765,1.57825214690584
47.0,141.9641855864098,4.091403195896516,0.0002752960135694,69.0297650882656,8.051475018409345,0.1373878918013556,141.9641855864098,4.091403195896516
48.0,137.50425453769284,2.865081240085091,0.0002752960135694,69.0297650882656,8.349957932496872,0.1373878918013556,137.50425453769284,2.865081240085091
49.0,136.86326984144404,-1.8028460921690623,0.0002752960135694,69.0297650882656,10.056913385731228,0.1373878918013556,136.86326984144404,-1.8028460921690623
50.0,141.0203343745249,3.976894466487165,0.0002752960135694,69.0297650882656,8.529234978707589,0.1373878918013556,141.0203343745249,3.976894466487165
51.0,128.89030731883895,-1.0065135053508845,0.0002752960135694,69.0297650882656,7.982053598039337,0.1373878918013556,128.89030731883895,-1.0065135053508845
52.0,135.34189518130884,4.1290353976659935,0.0002752960135694,69.0297650882656,0.9448461690216504,0.1373878918013556,135.34189518130884,4.1290353976659935
53.0,131.1301827009187,-0.1677806304328591,0.0002752960135694,69.0297650882656,8.014966969542703,0.1373878918013556,131.1301827009187,-0.1677806304328591
54.0,130.15394939207218,0.75833126048955,0.0002752960135694,69.0297650882656,7.916337885641824,0.1373878918013556,130.15394939207218,0.75833126048955
55.0,144.54746938898808,2.660327545106358,0.0002752960135694,69.0297650882656,2.673877657085807,0.1373878918013556,144.54746938898808,2.660327545106358
56.0,131.10130521572407,0.4008550220213551,0.0002752960135694,69.0297650882656,0.6136732839347182,0.1373878918013556,131.10130521572407,0.4008550220213551
57.0,131.09781764918625,1.3187609093368,0.0002752960135694,69.0297650882656,0.7904014008872587,0.1373878918013556,131.09781764918625,1.3187609093368
58.0,139.55161445965527,1.7432984746215816,0.0002752960135694,69.0297650882656,6.724672599725014,0.1373878918013556,139.55161445965527,1.7432984746215816
59.0,138.19403842476711,-1.3878633089317682,0.0002752960135694,69.0297650882656,9.11244704597519,0.1373878918013556,138.19403842476711,-1.3878633089317682
60.0,129.803810077376,3.1377161379407035,0.0002752960135694,69.0297650882656,9.98968057946643,0.1373878918013556,129.803810077376,3.1377161379407035
61.0,132.09087536268132,3.859840313829074,0.0002752960135694,69.0297650882656,1.7224353862355055,0.1373878918013556,132.09087536268132,3.859840313829074
62.0,141.40078119571888,3.659486564173321,0.0002752960135694,69.0297650882656,9.16338960523416,0.1373878918013556,141.40078119571888,3.659486564173321
63.0,130.09624515885102,0.757727679365781,0.0002752960135694,69.0297650882656,1.1151001543882748,0.1373878918013556,130.09624515885102,0.757727679365781
64.0,131.11261561904567,1.0154067731086716,0.0002752960135694,69.0297650882656,8.33989270461334,0.1373878918013556,131.11261561904567,1.0154067731086716
65.0,137.51813440252712,0.6077224711528213,0.0002752960135694,69.0297650882656,9.222248531711502,0.1373878918013556,137.51813440252712,0.6077224711528213
66.0,139.3758701645663,-0.5197025642590263,0.0002752960135694,69.0297650882656,7.661972984534403,0.1373878918013556,139.3758701645663,-0.5197025642590263
67.0,136.76429654543062,2.2055285603206585,0.0002752960135694,69.0297650882656,10.104643600553214,0.1373878918013556,136.76429654543062,2.2055285603206585
68.0,132.55220164700825,3.985424632734239,0.0002752960135694,69.0297650882656,10.47935744501236,0.1373878918013556,132.55220164700825,3.985424632734239
69.0,138.56986012220003,-1.408131912225414,0.0002752960135694,69.0297650882656,10.373031892606985,0.1373878918013556,138.56986012220003,-1.408131912225414
70.0,128.23908639438108,2.424798137442218,0.0002752960135694,69.0297650882656,0.6034644634699535,0.1373878918013556,128.23908639438108,2.424798137442218
71.0,131.6567516996791,0.005982503154171,0.0002752960135694,69.0297650882656,2.217641636101253,0.1373878918013556,131.6567516996791,0.005982503154171
72.0,140.9349777325789,1.8701030864000063,0.0002752960135694,69.0297650882656,7.816725404840112,0.1373878918013556,140.9349777325789,1.8701030864000063
73.0,141.99964451948435,0.3876615908073832,0.0002752960135694,69.0297650882656,9.91910065895729,0.1373878918013556,141.99964451948435,0.3876615908073832
74.0,141.57141413386543,-1.8351625169899688,0.0002752960135694,69.0297650882656,0.7251804655784511,0.1373878918013556,141.57141413386543,-1.8351625169899688
75.0,128.69558906278317,4.787217301738866,0.0002752960135694,69.0297650882656,2.817055975043586,0.1373878918013556,128.69558906278317,4.787217301738866
76.0,137.60131364574968,4.463660767357689,0.0002752960135694,69.0297650882656,8.866512715982466,0.1373878918013556,137.60131364574968,4.463660767357689
77.0,128.78241489587575,0.302823090733006,0.0002752960135694,69.0297650882656,10.78943703687113,0.1373878918013556,128.78241489587575,0.302823090733006
78.0,143.99041619430812,0.9250343306008896,0.0002752960135694,69.0297650882656,0.5371596080316797,0.1373878918013556,143.99041619430812,0.9250343306008896
79.0,143.5825446984004,4.516219611359753,0.0002752960135694,69.0297650882656,10.484681704906508,0.1373878918013556,143.5825446984004,4.516219611359753
80.0,144.1654826928143,3.801308299480958,0.0002752960135694,69.0297650882656,10.974829598018893,0.1373878918013556,144.1654826928143,3.801308299480958
81.0,130.44428444484626,-1.6850226203323548,0.0002752960135694,69.0297650882656,1.2557712113098554,0.1373878918013556,130.44428444484626,-1.6850226203323548
