# Data for PTB_In_CombKnoten-SYRTE_Sr2 
# File generated on: 2025-01-20T17:02:11+01:00
# With the script: 06-procclocks-v3.py 
# 
# t           	ΔA→B             	flag	uA_sys 	uB_sys     
59652.018889	-1.8063458715e-14	1	1.7e-17	2.52485e-18
59652.018900	-1.5946819941e-14	1	1.7e-17	2.52485e-18
59652.018912	-9.7941733594e-15	1	1.7e-17	2.52485e-18
59652.018924	-8.1636781346e-15	1	1.7e-17	2.52485e-18
59652.018935	-1.2240331666e-14	1	1.7e-17	2.52485e-18
59652.018947	-1.6361046158e-14	1	1.7e-17	2.52485e-18
59652.018958	-1.2910492276e-14	1	1.7e-17	2.52485e-18
59652.018970	-1.4240077352e-14	1	1.7e-17	2.52485e-18
59652.018981	-1.4701757742e-14	1	1.7e-17	2.52485e-18
59652.018993	-1.5849820269e-14	1	1.7e-17	2.52485e-18
59652.019005	-1.5600275893e-14	1	1.7e-17	2.52485e-18
59652.019016	-1.4722409252e-14	1	1.7e-17	2.52485e-18
59652.019028	-1.5861358552e-14	1	1.7e-17	2.52485e-18
59652.019039	-1.5830911953e-14	1	1.7e-17	2.52485e-18
59652.019051	-1.7463404481e-14	1	1.7e-17	2.52485e-18
59652.019062	-1.5154894111e-14	1	1.7e-17	2.52485e-18
59652.019074	-2.3824056944e-14	1	1.7e-17	2.52485e-18
59652.019120	-1.0599705080e-14	1	1.7e-17	2.52485e-18
59652.019132	-1.6373934611e-14	1	1.7e-17	2.52485e-18
59652.019144	-1.1981624087e-14	1	1.7e-17	2.52485e-18
59652.019155	-1.4664470505e-14	1	1.7e-17	2.52485e-18
59652.019167	-1.1181698030e-14	1	1.7e-17	2.52485e-18
59652.019178	-1.5966311864e-14	1	1.7e-17	2.52485e-18
59652.019190	-1.4989353380e-14	1	1.7e-17	2.52485e-18
59652.019201	-1.4858024309e-14	1	1.7e-17	2.52485e-18
59652.019213	-1.2758426992e-14	1	1.7e-17	2.52485e-18
59652.019225	-1.4745612873e-14	1	1.7e-17	2.52485e-18
59652.019236	-1.1912382532e-14	1	1.7e-17	2.52485e-18
59652.019248	-1.6365377884e-14	1	1.7e-17	2.52485e-18
59652.019259	-1.4786478824e-14	1	1.7e-17	2.52485e-18
59652.019444	-1.5865464968e-14	1	1.7e-17	2.52485e-18
