# Data for PTB_Sr3_CombKnoten-SYRTE_Sr2 
# File generated on: 2025-01-20T17:04:07+01:00
# With the script: 06-procclocks-v3.py 
# 
# t           	ΔA→B             	flag	uA_sys 	uB_sys    
59639.001042	-6.7469003339e-15	1	1.7e-17	2.8868400000000004e-18
59639.001053	-7.6735298142e-15	1	1.7e-17	2.8869300000000004e-18
59639.001065	-6.5318276571e-15	1	1.7e-17	2.8870200000000004e-18
59639.001076	-6.2260030234e-15	1	1.7e-17	2.8871100000000003e-18
59639.001134	-4.7579780353e-15	1	1.7e-17	2.8875700000000003e-18
59639.001146	-4.9669732506e-15	1	1.7e-17	2.8876600000000003e-18
59639.001157	-6.3714013110e-15	1	1.7e-17	2.8877500000000003e-18
59639.001169	-5.9433803162e-15	1	1.7e-17	2.8878400000000003e-18
59639.001181	-6.0245294606e-15	1	1.7e-17	2.8879300000000002e-18
59639.001192	-7.6086318439e-15	1	1.7e-17	2.8880200000000002e-18
59639.001204	-6.7310057606e-15	1	1.7e-17	2.88811e-18
59639.001215	-5.8000852114e-15	1	1.7e-17	2.8882e-18
59639.001227	-6.1093115294e-15	1	1.7e-17	2.88829e-18
59639.001238	-5.2875201640e-15	1	1.7e-17	2.8883900000000002e-18
59639.001250	-6.2478869666e-15	1	1.7e-17	2.8884800000000002e-18
59639.001262	-7.1459553430e-15	1	1.7e-17	2.88857e-18
59639.001273	-7.2745315563e-15	1	1.7e-17	2.88866e-18
59639.001285	-6.9160782244e-15	1	1.7e-17	2.88875e-18
59639.001296	-5.3755522982e-15	1	1.7e-17	2.88884e-18
59639.001308	-5.5567605977e-15	1	1.7e-17	2.88893e-18
59639.001319	-4.4712091017e-15	1	1.7e-17	2.88902e-18
59639.001331	-5.6318576918e-15	1	1.7e-17	2.8891100000000004e-18
59639.001343	-5.8144720660e-15	1	1.7e-17	2.8892e-18
59639.001354	-5.6912719708e-15	1	1.7e-17	2.8893e-18
59639.001366	-5.0195291039e-15	1	1.7e-17	2.88939e-18
59639.001377	-5.6464131060e-15	1	1.7e-17	2.88948e-18
59639.001389	-5.0723305967e-15	1	1.7e-17	2.8895700000000004e-18
59639.001400	-4.5179458387e-15	1	1.7e-17	2.8896600000000004e-18
59639.001412	-5.3155137559e-15	1	1.7e-17	2.8897500000000004e-18
59639.001424	-5.9368615506e-15	1	1.7e-17	2.8898400000000003e-18
59639.001435	-5.5934422065e-15	1	1.7e-17	2.8899300000000003e-18
59639.001470	-6.9747640552e-15	1	1.7e-17	2.8902100000000004e-18
59639.001481	-5.9086977051e-15	1	1.7e-17	2.8903e-18
59639.001493	-6.6646381881e-15	1	1.7e-17	2.8903900000000003e-18
59639.001505	-7.4478878604e-15	1	1.7e-17	2.8904800000000003e-18
59639.001516	-8.8680842861e-15	1	1.7e-17	2.8905700000000003e-18
59639.001528	-8.6468181045e-15	1	1.7e-17	2.8906600000000002e-18
59639.001539	-4.9059936547e-15	1	1.7e-17	2.8907500000000002e-18
59639.001551	-4.2817684890e-15	1	1.7e-17	2.8908500000000003e-18
59639.001563	-5.8659174591e-15	1	1.7e-17	2.8909400000000003e-18
59639.001574	-3.8265238553e-15	1	1.7e-17	2.8910300000000002e-18
59639.001586	-5.0452407890e-15	1	1.7e-17	2.8911200000000002e-18
59639.001597	-3.5357230449e-15	1	1.7e-17	2.8912100000000002e-18
59639.001609	-5.5203398751e-15	1	1.7e-17	2.8913e-18
59639.001620	-5.5623476270e-15	1	1.7e-17	2.89139e-18
59639.001632	-6.4451516227e-15	1	1.7e-17	2.89148e-18
59639.001644	-3.9011804922e-15	1	1.7e-17	2.8915800000000002e-18
59639.001655	-4.9653452533e-15	1	1.7e-17	2.89167e-18
59639.001667	-6.0363032186e-15	1	1.7e-17	2.8915600000000004e-18
59639.001678	-4.8803446500e-15	1	1.7e-17	2.8914600000000003e-18
59639.001690	-6.0407747055e-15	1	1.7e-17	2.89136e-18
59639.001701	-5.9630374098e-15	1	1.7e-17	2.89126e-18
59639.001713	-6.7041251700e-15	1	1.7e-17	2.8911500000000002e-18
59639.001725	-8.4883551807e-15	1	1.7e-17	2.89105e-18
59639.001736	-6.4856440327e-15	1	1.7e-17	2.8909500000000004e-18
59639.001748	-7.8989159641e-15	1	1.7e-17	2.8908500000000003e-18
59639.001759	-7.2746713167e-15	1	1.7e-17	2.8907500000000002e-18
59639.001771	-7.1306062590e-15	1	1.7e-17	2.8906400000000004e-18
59639.001782	-7.8297853701e-15	1	1.7e-17	2.8905400000000003e-18
59639.001794	-6.5661172449e-15	1	1.7e-17	2.89044e-18
59639.001806	-6.7732184946e-15	1	1.7e-17	2.89034e-18
59639.001817	-4.2423382583e-15	1	1.7e-17	2.8902300000000002e-18
59639.001829	-6.5095633961e-15	1	1.7e-17	2.89013e-18
59639.001840	-5.7174706999e-15	1	1.7e-17	2.8900300000000004e-18
59639.001852	-6.3227384212e-15	1	1.7e-17	2.8899300000000003e-18
59639.001863	-6.3723042481e-15	1	1.7e-17	2.88982e-18
59639.001875	-6.0909359967e-15	1	1.7e-17	2.8897200000000004e-18
59639.001887	-5.2028431273e-15	1	1.7e-17	2.8896200000000003e-18
59639.001898	-4.5022774232e-15	1	1.7e-17	2.88952e-18
59639.001910	-5.9051706599e-15	1	1.7e-17	2.88942e-18
59639.001921	-6.8936310043e-15	1	1.7e-17	2.8893100000000002e-18
59639.001933	-5.6395792441e-15	1	1.7e-17	2.88921e-18
59639.001944	-5.4227896316e-15	1	1.7e-17	2.8891100000000004e-18
59639.001956	-5.3611612084e-15	1	1.7e-17	2.8890100000000003e-18
59639.001968	-6.1314241716e-15	1	1.7e-17	2.8889e-18
59639.001979	-5.4536732999e-15	1	1.7e-17	2.8888e-18
59639.001991	-6.1517741381e-15	1	1.7e-17	2.8887e-18
59639.002002	-6.0591604027e-15	1	1.7e-17	2.8886e-18
59639.002014	-5.1666189163e-15	1	1.7e-17	2.8885e-18
59639.002025	-4.6309391868e-15	1	1.7e-17	2.8883900000000002e-18
59639.002037	-5.8610792069e-15	1	1.7e-17	2.88829e-18
59639.002049	-7.2579093817e-15	1	1.7e-17	2.8881900000000004e-18
59639.002060	-7.8157051415e-15	1	1.7e-17	2.8880900000000003e-18
59639.002072	-8.3012083332e-15	1	1.7e-17	2.8879900000000002e-18
59639.002083	-9.7868473715e-15	1	1.7e-17	2.8878800000000004e-18
59639.002095	-7.1387089762e-15	1	1.7e-17	2.8877800000000003e-18
59639.002106	-6.1056701348e-15	1	1.7e-17	2.88768e-18
59639.002118	-6.4593877054e-15	1	1.7e-17	2.88758e-18
59639.002130	-4.2729186888e-15	1	1.7e-17	2.8874800000000004e-18
59639.002141	-3.8663293216e-15	1	1.7e-17	2.88737e-18
59639.002153	-3.2791254250e-15	1	1.7e-17	2.8872700000000004e-18
59639.002164	-3.4904110174e-15	1	1.7e-17	2.8871700000000003e-18
59639.002176	-3.4014454529e-15	1	1.7e-17	2.8870700000000002e-18
59639.002187	-3.1514894183e-15	1	1.7e-17	2.88697e-18
59639.002199	-4.5416441265e-15	1	1.7e-17	2.8868600000000003e-18
59639.002211	-6.9819790818e-15	1	1.7e-17	2.88676e-18
59639.002222	-6.6088593745e-15	1	1.7e-17	2.88666e-18
59639.002234	-6.9192817030e-15	1	1.7e-17	2.8865600000000004e-18
