# Data for INRIM_ITYb1-SYRTE_Sr2 
# File generated on: 2025-01-20T17:03:56+01:00
# With the script: 06-procclocks-v3.py 
# 
# t           	ΔA→B             	flag	uA_sys 	uB_sys
59639.001146	-6.4566582733e-15	1	1.7e-17	2e-17
59639.001157	-6.8444371760e-15	1	1.7e-17	2e-17
59639.001169	-6.6323671093e-15	1	1.7e-17	2e-17
59639.001181	-7.3292124912e-15	1	1.7e-17	2e-17
59639.001192	-8.4563768720e-15	1	1.7e-17	2e-17
59639.001204	-7.5877104861e-15	1	1.7e-17	2e-17
59639.001215	-7.0798597277e-15	1	1.7e-17	2e-17
59639.001227	-6.3407945368e-15	1	1.7e-17	2e-17
59639.001238	-5.7446224975e-15	1	1.7e-17	2e-17
59639.001250	-6.8094804116e-15	1	1.7e-17	2e-17
59639.001262	-7.8046295332e-15	1	1.7e-17	2e-17
59639.001273	-8.5013302971e-15	1	1.7e-17	2e-17
59639.001285	-8.7029358773e-15	1	1.7e-17	2e-17
59639.001296	-3.5362866528e-15	1	1.7e-17	2e-17
59639.001308	-6.6355115078e-15	1	1.7e-17	2e-17
59639.001319	-6.5195048289e-15	1	1.7e-17	2e-17
59639.001331	-5.1743428487e-15	1	1.7e-17	2e-17
59639.001343	-6.8290016663e-15	1	1.7e-17	2e-17
59639.001354	-4.6090136584e-15	1	1.7e-17	2e-17
59639.001366	-4.8197097299e-15	1	1.7e-17	2e-17
59639.001377	-6.1055617313e-15	1	1.7e-17	2e-17
59639.001389	-4.1235223160e-15	1	1.7e-17	2e-17
59639.001400	-5.0132794034e-15	1	1.7e-17	2e-17
59639.001412	-6.3475619441e-15	1	1.7e-17	2e-17
59639.001424	-8.0419433693e-15	1	1.7e-17	2e-17
59639.001435	-6.1791265571e-15	1	1.7e-17	2e-17
59639.001447	-6.0434559647e-15	1	1.7e-17	2e-17
59639.001458	-5.7356799500e-15	1	1.7e-17	2e-17
59639.001470	-7.4252281623e-15	1	1.7e-17	2e-17
59639.001481	-5.7101714987e-15	1	1.7e-17	2e-17
59639.001493	-5.8542171302e-15	1	1.7e-17	2e-17
59639.001505	-7.9043919584e-15	1	1.7e-17	2e-17
59639.001516	-8.5921719505e-15	1	1.7e-17	2e-17
