# Data for PTB_Sr3_CombKnoten-SYRTE_Sr2 
# File generated on: 2025-01-20T17:04:07+01:00
# With the script: 06-procclocks-v3.py 
# 
# t           	ΔA→B             	flag	uA_sys 	uB_sys    
59670.000023	-5.5111741315e-15	1	1.7e-17	1.05867e-17
59670.000035	-5.0412631223e-15	1	1.7e-17	1.05867e-17
59670.000046	-6.3271116523e-15	1	1.7e-17	1.05867e-17
59670.000058	-6.1958605089e-15	1	1.7e-17	1.05868e-17
59670.000069	-5.6020616138e-15	1	1.7e-17	1.05868e-17
59670.000081	-5.0224928722e-15	1	1.7e-17	1.05868e-17
59670.000093	-5.5351502461e-15	1	1.7e-17	1.05868e-17
59670.000104	-6.3908288587e-15	1	1.7e-17	1.05868e-17
59670.000116	-6.2840095337e-15	1	1.7e-17	1.05868e-17
59670.000127	-6.0987541108e-15	1	1.7e-17	1.05868e-17
59670.000139	-4.7649431872e-15	1	1.7e-17	1.05868e-17
59670.000150	-7.7558893688e-15	1	1.7e-17	1.05868e-17
59670.000162	-5.9678400866e-15	1	1.7e-17	1.05868e-17
59670.000174	-7.9861942390e-15	1	1.7e-17	1.05868e-17
59670.000185	-5.6983472371e-15	1	1.7e-17	1.05869e-17
59670.000197	-1.2121614069e-14	1	1.7e-17	1.05869e-17
59670.000208	-1.0536602820e-14	1	1.7e-17	1.05869e-17
59670.000220	-7.3000907755e-15	1	1.7e-17	1.05869e-17
59670.000231	-5.9986348164e-15	1	1.7e-17	1.05869e-17
59670.000243	-8.6645473511e-15	1	1.7e-17	1.05869e-17
59670.000255	-6.5959311106e-15	1	1.7e-17	1.05869e-17
59670.000266	-7.0373123561e-15	1	1.7e-17	1.05869e-17
59670.000278	-9.2025742089e-15	1	1.7e-17	1.05869e-17
59670.000289	-5.8969823924e-15	1	1.7e-17	1.0587e-17
59670.000301	-5.7308199391e-15	1	1.7e-17	1.0587e-17
59670.000313	-7.3534818032e-15	1	1.7e-17	1.0587e-17
59670.000324	-8.3860878108e-15	1	1.7e-17	1.0587e-17
