# Data for NPL-Yb+(E3)-NPL-Sr1 
# File generated on: 2024-04-22T14:53:18+02:00
# With the script: convert-to-rocit.py 
# 
# t           	ΔA→B            	flag
59648.000127	-6.6993880535e-16	1	2.23e-17	3.2e-18
59648.000139	-7.2810481240e-16	1	2.23e-17	3.2e-18
59648.000150	-8.4870105424e-16	1	2.23e-17	3.2e-18
59648.000162	-8.3845654032e-16	1	2.23e-17	3.2e-18
59648.000174	-8.0021896804e-16	1	2.23e-17	3.2e-18
59648.000185	-8.2570401378e-16	1	2.23e-17	3.2e-18
59648.000197	-8.3856948040e-16	1	2.23e-17	3.2e-18
59648.000208	-8.6384600363e-16	1	2.23e-17	3.2e-18
59648.000220	-8.5318264622e-16	1	2.23e-17	3.2e-18
59648.000231	-8.9216518632e-16	1	2.23e-17	3.2e-18
59648.000243	-9.1195252419e-16	1	2.23e-17	3.2e-18
59648.000255	-8.9980622839e-16	1	2.23e-17	3.2e-18
59648.000266	-9.1210928816e-16	1	2.23e-17	3.2e-18
59648.000278	-9.3103808703e-16	1	2.23e-17	3.2e-18
59648.000289	-9.2950739406e-16	1	2.23e-17	3.2e-18
59648.000301	-9.0255590138e-16	1	2.23e-17	3.2e-18
59648.000312	-6.6700299908e-16	1	2.23e-17	3.2e-18
59648.000324	-6.5720490985e-16	1	2.23e-17	3.2e-18
59648.000336	-6.9170238999e-16	1	2.23e-17	3.2e-18
59648.000347	-6.9470846672e-16	1	2.23e-17	3.2e-18
59648.000359	-7.0498118674e-16	1	2.23e-17	3.2e-18
59648.000370	-6.7989367103e-16	1	2.23e-17	3.2e-18
59648.000382	-7.0631151568e-16	1	2.23e-17	3.2e-18
59648.000394	-6.8606684613e-16	1	2.23e-17	3.2e-18
59648.000405	-5.3035380076e-16	1	2.23e-17	3.2e-18
59648.000417	-4.6810338162e-16	1	2.23e-17	3.2e-18
59648.000428	-4.5380167027e-16	1	2.23e-17	3.2e-18
59648.000440	-4.6133494474e-16	1	2.23e-17	3.2e-18
59648.000451	-4.6611896955e-16	1	2.23e-17	3.2e-18
59648.000463	-5.8061486767e-16	1	2.23e-17	3.2e-18
59648.000475	-6.2125912748e-16	1	2.23e-17	3.2e-18
59648.000486	-6.3768744765e-16	1	2.23e-17	3.2e-18
59648.000498	-6.7557281383e-16	1	2.23e-17	3.2e-18
59648.000509	-6.5449360302e-16	1	2.23e-17	3.2e-18
59648.000521	-6.8897164199e-16	1	2.23e-17	3.2e-18
59648.000532	-6.8149629840e-16	1	2.23e-17	3.2e-18
59648.000544	-7.1181443319e-16	1	2.23e-17	3.2e-18
59648.000556	-6.9495884132e-16	1	2.23e-17	3.2e-18
59648.000567	-6.7387081438e-16	1	2.23e-17	3.2e-18
59648.000579	-6.5890085288e-16	1	2.23e-17	3.2e-18
59648.000590	-4.2910155918e-16	1	2.23e-17	3.2e-18
59648.000602	-4.0704133732e-16	1	2.23e-17	3.2e-18
59648.000613	-3.8778961965e-16	1	2.23e-17	3.2e-18
59648.000625	-3.8549992371e-16	1	2.23e-17	3.2e-18
59648.000637	-4.2080967035e-16	1	2.23e-17	3.2e-18
59648.000648	-3.9127649813e-16	1	2.23e-17	3.2e-18
59648.000660	-4.3576979035e-16	1	2.23e-17	3.2e-18
59648.000671	-5.5360549194e-16	1	2.23e-17	3.2e-18
59648.000683	-5.4900982723e-16	1	2.23e-17	3.2e-18
59648.000694	-5.6061323707e-16	1	2.23e-17	3.2e-18
59648.000706	-5.8915272934e-16	1	2.23e-17	3.2e-18
59648.000718	-4.6270018920e-16	1	2.23e-17	3.2e-18
59648.000729	-2.4512438851e-16	1	2.23e-17	3.2e-18
59648.000741	-2.3467838260e-16	1	2.23e-17	3.2e-18
59648.000752	-2.6688511398e-16	1	2.23e-17	3.2e-18
59648.000764	-2.7527327841e-16	1	2.23e-17	3.2e-18
59648.000775	-2.6018271064e-16	1	2.23e-17	3.2e-18
59648.000787	-2.4431484040e-16	1	2.23e-17	3.2e-18
59648.000799	-2.6017681358e-16	1	2.23e-17	3.2e-18
59648.000810	-2.5015036687e-16	1	2.23e-17	3.2e-18
59648.000822	-2.6899379451e-16	1	2.23e-17	3.2e-18
59648.000833	-2.4806435616e-16	1	2.23e-17	3.2e-18
59648.000845	-2.1489194916e-16	1	2.23e-17	3.2e-18
59648.000856	-1.0403373844e-16	1	2.23e-17	3.2e-18
59648.000868	-7.2066954569e-17	1	2.23e-17	3.2e-18
59648.000880	-8.2852071230e-17	1	2.23e-17	3.2e-18
59648.000891	-1.0297415966e-16	1	2.23e-17	3.2e-18
59648.000903	-6.3940523378e-17	1	2.23e-17	3.2e-18
59648.000914	-6.4808736598e-17	1	2.23e-17	3.2e-18
59648.000926	-1.1213670652e-16	1	2.23e-17	3.2e-18
59648.000938	-1.7333504891e-16	1	2.23e-17	3.2e-18
59648.000949	-1.3081620694e-16	1	2.23e-17	3.2e-18
59648.000961	-1.4817095845e-16	1	2.23e-17	3.2e-18
59648.000972	-1.2280389879e-16	1	2.23e-17	3.2e-18
59648.000984	8.3511206575e-17	1	2.23e-17	3.2e-18
59648.000995	8.5810361903e-17	1	2.23e-17	3.2e-18
59648.001007	9.4706007684e-17	1	2.23e-17	3.2e-18
59648.001019	2.7201095763e-16	1	2.23e-17	3.2e-18
59648.001030	2.6767842645e-16	1	2.23e-17	3.2e-18
59648.001042	2.8787333648e-16	1	2.23e-17	3.2e-18
59648.001053	3.0205644950e-16	1	2.23e-17	3.2e-18
59648.001065	3.0359060520e-16	1	2.23e-17	3.2e-18
59648.001076	2.8464668817e-16	1	2.23e-17	3.2e-18
59648.001088	3.2279570826e-16	1	2.23e-17	3.2e-18
59648.001100	3.7450007497e-16	1	2.23e-17	3.2e-18
59648.001111	2.9321395172e-16	1	2.23e-17	3.2e-18
59648.001123	1.6201383624e-17	1	2.23e-17	3.2e-18
59648.001134	4.4656352972e-17	1	2.23e-17	3.2e-18
59648.001146	3.7132023103e-17	1	2.23e-17	3.2e-18
59648.001157	3.0810159816e-17	1	2.23e-17	3.2e-18
59648.001169	3.3420364440e-17	1	2.23e-17	3.2e-18
59648.001181	2.7517909620e-17	1	2.23e-17	3.2e-18
59648.001192	-8.2781209469e-17	1	2.23e-17	3.2e-18
59648.001204	-1.1367692814e-16	1	2.23e-17	3.2e-18
59648.001215	-1.0288973010e-16	1	2.23e-17	3.2e-18
59648.001227	-1.3946672725e-16	1	2.23e-17	3.2e-18
59648.001238	-1.6379399800e-16	1	2.23e-17	3.2e-18
59648.001250	-3.1645499462e-16	1	2.23e-17	3.2e-18
59648.001262	-3.5463542823e-16	1	2.23e-17	3.2e-18
59648.001273	-3.6525857537e-16	1	2.23e-17	3.2e-18
59648.001285	-2.9768358957e-16	1	2.23e-17	3.2e-18
59648.001296	-3.2255923966e-16	1	2.23e-17	3.2e-18
