station,sat,N_points,A_sat,b_sat,RMS_before,RMS_after,delta_RMS,AIC_before,AIC_after,delta_AIC,R2
ALIC,G01,17,1364.6436356383372,-22.888990259130026,2.3876511550393418,0.34904504223451,-2.038606112804832,31.590543480917734,-31.786846344958185,63.37738982587592,0.9786009821909512
ALIC,G02,21,1190.47190374807,-20.102728680891115,1.6497075466142008,0.2714925546359166,-1.3782149919782842,23.02511716451673,-50.760463648364464,73.7855808128812,0.9720050521886542
ALIC,G03,15,1367.6806588024492,-22.83740807506856,2.141676902440447,0.37671192116151164,-1.7649649812789354,24.847673643541334,-25.288235554522235,50.13590919806357,0.9661172041543344
ALIC,G04,12,1323.6962482030656,-22.279590944472154,2.5025443303098958,0.34982218794600645,-2.1527221423638894,24.015390715037338,-21.20792691276511,45.223317627802444,0.9783488749727194
ALIC,G05,13,1137.909969975213,-19.365039887370372,1.073045578295339,0.09886830961765428,-0.9741772686776847,3.8330244449006976,-56.16312952621483,59.99615397111553,0.9909853318731543
ALIC,G06,24,1391.2265157888826,-23.260717772595832,3.247519020207005,0.374762024139585,-2.87275699606742,58.538783668262816,-43.11027472406873,101.64905839233154,0.9845913379557518
ALIC,G07,23,1355.7590720539097,-22.76918889588346,2.3960967840779346,0.4875606670755002,-1.9085361170024344,42.196689379155245,-29.043665346176162,71.2403547253314,0.9583309322392543
ALIC,G08,17,1249.9908468822555,-20.947642022070465,1.9518828707778642,0.26587257180970786,-1.6860102989681562,24.73901236984707,-41.04109670322391,65.78010907307097,0.97934626551983
ALIC,G09,18,1403.4793472048807,-23.60014080491807,2.405008370864515,0.5352216145159238,-1.8697867563485913,33.59192182978207,-18.502677864204166,52.09459969398624,0.9502000987218912
ALIC,G10,23,1314.7238302841813,-22.094404802411653,2.156398386850281,0.3848583440974195,-1.7715400427528616,37.34821315990763,-39.92447769122456,77.27269085113218,0.96814234746001
ALIC,G11,23,1406.535550325001,-23.38368014045541,2.669115422217665,0.34561423666668434,-2.3235011855509806,47.16036728904075,-44.87187424673178,92.03224153577253,0.983108717314681
ALIC,G12,23,1429.119275915728,-23.987413237695304,2.4292968279843947,0.47738979360503814,-1.9519070343793565,42.82968483672798,-30.013409443889614,72.84309428061759,0.9613713793399741
ALIC,G13,14,855.9266564429358,-14.789899357026709,1.459458896797105,0.022884159694338126,-1.4365747371027668,12.58584095497785,-101.76468907683177,114.35053003180963,0.9972004855534283
ALIC,G14,23,1325.4238126187047,-22.2462723503746,2.396783893512362,0.3791804612263769,-2.017603432285985,42.20987853879695,-40.60817966660505,82.818058205402,0.9746634893481488
ALIC,G15,24,1139.0926683484267,-19.2467417173023,1.5549708977686474,0.18712496866235703,-1.3678459291062903,23.189927849347747,-76.44697297814685,99.6369008274946,0.9833934550190067
ALIC,G16,12,1124.0808205124795,-19.016598447767645,1.5354719958674288,0.190062366396153,-1.3454096294712758,12.292107750524115,-35.84967239580105,48.14178014632517,0.9846760895631924
ALIC,G17,22,1445.2983917399904,-24.36202379461856,2.850417943193347,0.4694805414415978,-2.3809374017517495,48.088487731593375,-29.269650764746473,77.35813849633985,0.9697324109795955
ALIC,G18,27,1356.9470999325058,-22.779210630800236,2.7388777551540295,0.4904687333103814,-2.2484090218436483,56.407605936800245,-34.46926231282003,90.87686824962027,0.9652934961660585
ALIC,G19,27,1385.133909004349,-23.294256401200713,2.461959713732954,0.476936878440925,-1.9850228352920287,50.651713877627024,-35.980040866788514,86.63175474441553,0.9617467439424997
ALIC,G20,16,1521.2326341968626,-25.28293778254348,3.167239945112726,0.4051478366084347,-2.7620921085042918,38.891536923271325,-24.912103994225603,63.80364091749693,0.9835871639747481
ALIC,G21,16,1264.5727331046053,-21.213921591896753,2.252719542488734,0.3112430892315286,-1.9414764532572053,27.988421500625982,-33.34979311110122,61.3382146117272,0.9808323107039439
ALIC,G22,19,1379.815720485947,-23.105198985394797,2.673532809336314,0.4536992516032883,-2.219833557733026,39.36922840064245,-26.032188190470666,65.40141659111312,0.9707294339464896
ALIC,G23,15,1399.77072340523,-23.559428167648854,2.79299717990576,0.3803242741001381,-2.4126729058056218,32.813458317852906,-25.00193111795538,57.815389435808285,0.9791916275658112
ALIC,G24,21,1342.9369265678217,-22.504070642586807,2.48321601928397,0.42246139032229135,-2.0607546289616785,40.2012890861293,-32.18960324895574,72.39089233508504,0.9708653311254524
ALIC,G25,29,1341.6745813627888,-22.557826327230792,1.9315131025646575,0.3971296403021744,-1.534383462262483,40.18161382990794,-49.56256509983086,89.74417892973881,0.9560044057215452
ALIC,G26,21,1145.575616146479,-19.3862543453538,1.4356417433662534,0.16465966896743486,-1.2709820743988185,17.187702200915695,-71.76273099560868,88.95043319652437,0.9830135279972356
ALIC,G27,23,1268.1640232613822,-21.404240107351253,1.9902651919602123,0.3217925585047221,-1.6684726334554902,33.66032303886939,-48.157015787253414,81.8173388261228,0.9732511680397886
ALIC,G28,21,1206.6788995549875,-20.294719647600964,1.9222289464787552,0.2042710490697778,-1.7179578974089773,29.446387737840418,-62.70891479548861,92.15530253332903,0.9886379594547047
