station,sat,N_points,A_sat,b_sat,RMS_before,RMS_after,delta_RMS,AIC_before,AIC_after,delta_AIC,R2
ANK2,G01,15,836.3969071014488,-14.118591123436548,1.2317144796517352,0.026939435105775664,-1.2047750445459595,8.252212541686799,-104.42492230474919,112.67713484643599,0.9962857584484449
ANK2,G02,18,1281.4816472370394,-21.22749888491264,2.374361651946043,0.3668001513209077,-2.007561500625135,33.13023043632708,-32.105772538035566,65.23600297436265,0.9718526048509655
ANK2,G03,17,1243.8988770031863,-20.414911842402727,2.213519649868738,0.3092017547685234,-1.9043178951002147,29.015850914787578,-35.907883761253814,64.92373467604139,0.9804872546765028
ANK2,G04,17,1194.0590543081391,-19.663647283627657,2.0904367586433774,0.2627922407039078,-1.8276445179394696,27.07068266544289,-41.43731162177059,68.50799428721348,0.983995255369032
ANK2,G05,20,1342.3841341434932,-22.21375820873097,2.245688791470182,0.3136984737926533,-1.9319903176775288,34.360491419301376,-42.37292115914212,76.7334125784435,0.9797397234290045
ANK2,G06,22,1194.6591159956852,-19.788705243326255,1.8179640666488865,0.31775829552940793,-1.5002057711194787,28.299558130573473,-46.444427534971666,74.74398566554514,0.968740700206948
ANK2,G07,12,1227.8549416763835,-20.182326091520935,2.3876061464663367,0.4113355036184333,-1.9762706428479033,22.88699003929714,-17.32030608749549,40.20729612679263,0.9690434594849532
ANK2,G08,20,1225.009276247383,-20.15889287830832,1.8522930051672428,0.3190373188606842,-1.5332556863065587,26.65697335374339,-41.697887840626095,68.35486119436948,0.9691319066030826
ANK2,G09,16,1374.8967416240596,-22.62933356592781,3.136393996220583,0.47838244027147425,-2.6580115559491087,38.57835939668742,-19.595033028400646,58.17339242508807,0.9728563955381083
ANK2,G10,14,1007.8747656255701,-16.699391930679777,1.470408620510012,0.11621028403762843,-1.3541983364723835,12.795129388381337,-56.265910196097124,69.06103958447846,0.986951310147572
ANK2,G11,17,1276.128822081937,-21.083458911829013,2.359815605807442,0.3763960279622641,-1.983419577845178,31.191838416985913,-29.22185641703566,60.41369483402157,0.9722013816752113
ANK2,G12,12,1184.3964681917475,-19.451305237566398,1.9490675374653816,0.3274760184498508,-1.6215915190155308,18.016425735034908,-22.792170864687648,40.808596599722556,0.9708858367254216
ANK2,G13,15,1322.5112025897602,-21.64762861259213,2.154754214086284,0.41176173571181773,-1.7429924783744661,25.03029989788448,-22.619312248946553,47.64961214683103,0.9622351955579131
ANK2,G14,12,1072.4529217957445,-17.736999644563166,1.5525741278108598,0.1687990829024101,-1.3837750449084496,12.557942745627756,-38.697107117063204,51.25504986269096,0.9876025114364624
ANK2,G15,17,1157.1526411098025,-18.976977091326763,1.7715079153174642,0.15579692513256874,-1.6157109901848954,21.442257857558925,-59.21286397886968,80.6551218364286,0.9902551032836313
ANK2,G16,20,1349.5307291601528,-22.14673618217637,2.690360359205586,0.4708381020937338,-2.2195222571118522,41.58700588686107,-26.12963905361074,67.71664494047181,0.9686202047340927
ANK2,G17,17,1110.1918018153387,-18.30865055104253,1.6052697365642612,0.22510275113078257,-1.3801669854334786,18.091921289287416,-46.70074251715649,64.79266380644391,0.9760546385237724
ANK2,G18,20,942.7786548089628,-15.766373380125142,1.0861922655181406,0.09097216650172825,-0.9952200990164124,5.307129836558093,-91.88806727476674,97.19519711132483,0.988298993983061
ANK2,G19,14,1154.7211966413113,-19.09343829793714,1.7981691831452589,0.2436990878725843,-1.5544700952726747,18.429532750658055,-35.530989713234135,53.96052246389219,0.9814298213127525
ANK2,G20,15,1209.7263283848592,-20.059056778333368,1.6827514318856656,0.28401860538701923,-1.3987328264986463,17.612906324850336,-33.76146593121859,51.37437225606892,0.9714203887453365
