station,sat,N_points,A_sat,b_sat,RMS_before,RMS_after,delta_RMS,AIC_before,AIC_after,delta_AIC,R2,source_file
AJAC,G01,6,1046.4487174394806,-17.922510433857987,1.2766760855002877,0.074366844465779,-1.2023092410345086,4.931118706084346,-27.184940904445224,32.11605961052957,0.9930331458277804,phase31_AJAC_summary.csv
AJAC,G02,7,1174.3602514319102,-19.99732199884217,1.4859598631250002,0.1891109533962302,-1.29684890972877,7.544853102889749,-19.315899336315123,26.860752439204877,0.9836020801118456,phase31_AJAC_summary.csv
AJAC,G03,4,916.3955916556486,-15.872000988383231,1.1337109324194423,0.0128279036402713,-1.1208830287791711,3.0039701050202674,-30.849060070811653,33.85303017583192,0.998924709449052,phase31_AJAC_summary.csv
AJAC,G04,11,1470.3230359421595,-24.916336506683667,3.00446319651658,0.4112645105176097,-2.59319868599897,26.20217613579027,-15.547411259015664,41.749587394805936,0.9782724727600411,phase31_AJAC_summary.csv
AJAC,G05,5,1033.8518013509536,-17.752154420625757,1.1158476368429853,0.053483607757983,-1.0623640290850025,3.0961432851222206,-25.283800690763883,28.379943975886103,0.9946389510301192,phase31_AJAC_summary.csv
AJAC,G06,6,1261.9336344583303,-21.27094646833044,1.9406042609418543,0.1203921408968515,-1.8202121200450028,9.95599279147226,-21.404012278172143,31.3600050696444,0.9956367665538256,phase31_AJAC_summary.csv
AJAC,G07,9,1064.168482383633,-18.21997368228448,1.0808965864383389,0.0867815826740978,-0.994115003764241,3.400235648507352,-39.99849549806175,43.39873114656911,0.9929162887217924,phase31_AJAC_summary.csv
AJAC,G08,5,1173.3939042551938,-19.99202385657193,1.4372286501343978,0.164029392879728,-1.2731992572546698,5.62716710747093,-14.077096423404075,19.704263530875004,0.9867133093256186,phase31_AJAC_summary.csv
AJAC,G09,7,1550.2005470885606,-25.967312846513405,2.9002306313106647,0.2764621417001199,-2.6237684896105447,16.907063666157626,-13.999539419460792,30.906603085618418,0.990911115025082,phase31_AJAC_summary.csv
AJAC,G10,10,1083.4751503375082,-18.530557142786066,1.2315429806160654,0.0868591017504673,-1.144683878865598,6.1653567799499305,-44.8693598655491,51.03471664549903,0.9926340604952446,phase31_AJAC_summary.csv
AJAC,G11,8,1613.960521140091,-27.311780195596764,4.499808848315656,0.5270188904122868,-3.9727899579033688,26.064558683551606,-6.248302174377489,32.312860857929095,0.9800951473762622,phase31_AJAC_summary.csv
AJAC,G12,7,1035.5034938724284,-17.784003757932417,1.0130011088668232,0.0421170194895503,-0.9708840893772728,2.1808424786349336,-40.34224699207086,42.5230894707058,0.996944862782332,phase31_AJAC_summary.csv
AJAC,G13,6,1515.720201265876,-25.4078323358027,3.7265382775958127,0.1714856935733485,-3.555052584022464,17.785756724182864,-17.159065223037423,34.94482194722029,0.9976334956653784,phase31_AJAC_summary.csv
AJAC,G14,5,1104.084009582207,-18.773269913741736,1.5466321478641702,0.0830962199610558,-1.4635359279031144,6.360797591297304,-20.877560659886,27.238358251183307,0.9968749182570772,phase31_AJAC_summary.csv
AJAC,G15,10,1238.90412103245,-20.93637286094965,2.031213516596023,0.2028225383885632,-1.82839097820746,16.172668117483788,-27.90847754803961,44.081145665523394,0.9900212390183616,phase31_AJAC_summary.csv
AJAC,G16,10,1477.0647955323393,-24.965009049292284,2.4092920207615904,0.3915238811384095,-2.017768139623181,19.586658740513005,-14.754175326705,34.340834067218005,0.9735728621658574,phase31_AJAC_summary.csv
AJAC,G17,6,1147.875639337606,-19.63039148851764,1.1182350597732011,0.0776323424369118,-1.0406027173362893,3.3410192345334604,-26.66925385570952,30.010273090242976,0.9940161134200284,phase31_AJAC_summary.csv
AJAC,G18,8,1338.3472471820037,-22.655675558432712,2.1012393414156008,0.3096307711005587,-1.791608570315042,13.880437331692578,-14.757996037531589,28.638433369224167,0.97828194973918,phase31_AJAC_summary.csv
AJAC,G19,4,1365.7395355973113,-23.04970019183776,2.6461640535563133,0.3230118766396578,-2.3231521769166554,9.784888514871865,-5.040529493226,14.825418008097865,0.9842144890733936,phase31_AJAC_summary.csv
AJAC,G20,8,1471.1071823972795,-24.75391190876813,2.674750727038903,0.4001241010560199,-2.274626625982883,17.74169903763503,-10.655688437640054,28.39738747527508,0.97759924043023,phase31_AJAC_summary.csv
AJAC,G21,8,1295.31679417048,-21.90518734371133,1.9055497851792167,0.2506415649134687,-1.6549082202657484,12.316329089364976,-18.139702219001805,30.456031308366786,0.9820093832663696,phase31_AJAC_summary.csv
AJAC,G22,6,1229.6710843774824,-20.870091699589363,1.891445757931118,0.139235749784612,-1.7522100081465062,9.64809785518088,-19.6590408906791,29.30713874585998,0.9943766052997958,phase31_AJAC_summary.csv
