L_macro_m,L_int_m,dt_res_s,dt_err_s,pair,L_eff_m,dU_over_c2
800000,0.005,-4.26E-15,2.00E-17,2022-03-14_PTB_In_CombKnoten-SYRTE_Sr2,4000,5.44444E-16
800000,0.005,-2.18E-15,2.00E-17,2022-03-14_PTB_In_CombKnoten-SYRTE_Sr2,4000,5.44444E-16
800000,0.005,-2.89E-15,2.00E-17,2022-03-14_PTB_In_CombKnoten-SYRTE_Sr2,4000,5.44444E-16
800000,0.005,-3.18E-15,2.00E-17,2022-03-14_PTB_In_CombKnoten-SYRTE_Sr2,4000,5.44444E-16
800000,0.005,-1.89E-15,2.00E-17,2022-03-14_PTB_In_CombKnoten-SYRTE_Sr2,4000,5.44444E-16
800000,0.005,-1.47E-15,2.00E-17,2022-04-01_PTB_Sr3_CombKnoten-SYRTE_Sr2,4000,5.44444E-16
800000,0.005,-1.57E-15,2.00E-17,2022-04-01_PTB_Sr3_CombKnoten-SYRTE_Sr2,4000,5.44444E-16
800000,0.005,-3.34E-15,2.00E-17,2022-04-01_PTB_Sr3_CombKnoten-SYRTE_Sr2,4000,5.44444E-16
800000,0.005,-2.81E-15,2.00E-17,2022-04-01_PTB_Sr3_CombKnoten-SYRTE_Sr2,4000,5.44444E-16
800000,0.005,-2.17E-15,2.00E-17,2022-04-01_PTB_Sr3_CombKnoten-SYRTE_Sr2,4000,5.44444E-16
800000,0.005,-1.52E-15,2.00E-17,2022-04-01_PTB_Sr3_CombKnoten-SYRTE_Sr2,4000,5.44444E-16
