group,A_hat,Lc_hat_m,L_zero_curvature_m,L_min_data,L_max_data
quantum,5.485896697813211e-16,52.44044240850758,,0.5,5500.0
planetary,4.947475380393263e-10,48.02048453889809,,0.0003619472652856,6371002.507060429
