dataset,L_min,L_max,L_at_min_abs_dphi,min_abs_dphi,L_at_min_abs_d2phi,min_abs_d2phi
AJAC_phase51B_tfgr_input,6371002.412191457,6371002.507060429,6371002.418123741,-1.3081909223024353e+18,6371002.418123741,1.6055943733936128e+19
apollo11_20250627.np2_phase51D,0.00036737018245,0.0003996389716363,0.00036737018245,2.282454417263134e+20,0.0003996389716363,-1923378215847401.8
apollo14_202012.np2_phase51D,0.0003738639104087,0.0003973462047306,0.0003940548745609,2.280169300667547e+20,0.0003813388574189,-4054861444284416.0
apollo15_202502.np2_phase51D,0.0003619472652856,0.0003992094945864,0.0003881811190788,2.4214284675114756e+20,0.0003883779977355,-3621241546080256.0
