group,A_hat,Lc_hat_m,L_zero_curvature_m,L_min_layer,L_max_layer
quantum_layer,5.485896697813211e-16,52.44044240850758,,0.5,5500.0
planetary_layer,9.341939485712302e-09,6371288.1921762265,,6371002.412191457,6371002.507060429
