time_utc,station,TROTOT_m,TRODRY_m,TROWET_m,TEMDRY_K,PRESS_hPa,source_file
2025-10-31T08:00:00+00:00,AJAC,2.4877,2.3035,0.18419999999999997,289.2,1011.4,ESA0OPSRAP_20253040000_01D_01H_TRO.TRO.txt
2025-10-31T08:00:00+00:00,AJAC,2.4877,2.3035,0.18419999999999997,289.2,1011.4,TRO.txt
2025-10-31T09:00:00+00:00,AJAC,2.4926999999999997,2.3035,0.18919999999999998,289.2,1011.4,ESA0OPSRAP_20253040000_01D_01H_TRO.TRO.txt
2025-10-31T09:00:00+00:00,AJAC,2.4926999999999997,2.3035,0.18919999999999998,289.2,1011.4,TRO.txt
2025-10-31T10:00:00+00:00,AJAC,2.493,2.3035,0.1895,289.2,1011.4,ESA0OPSRAP_20253040000_01D_01H_TRO.TRO.txt
2025-10-31T10:00:00+00:00,AJAC,2.493,2.3035,0.1895,289.2,1011.4,TRO.txt
2025-10-31T11:00:00+00:00,AJAC,2.4911999999999996,2.3035,0.18769999999999998,289.2,1011.4,ESA0OPSRAP_20253040000_01D_01H_TRO.TRO.txt
2025-10-31T11:00:00+00:00,AJAC,2.4911999999999996,2.3035,0.18769999999999998,289.2,1011.4,TRO.txt
2025-10-31T12:00:00+00:00,AJAC,2.4907,2.3035,0.18719999999999998,289.2,1011.4,ESA0OPSRAP_20253040000_01D_01H_TRO.TRO.txt
2025-10-31T12:00:00+00:00,AJAC,2.4907,2.3035,0.18719999999999998,289.2,1011.4,TRO.txt
2025-10-31T13:00:00+00:00,AJAC,2.4934000000000003,2.3036,0.1899,289.2,1011.4,ESA0OPSRAP_20253040000_01D_01H_TRO.TRO.txt
2025-10-31T13:00:00+00:00,AJAC,2.4934000000000003,2.3036,0.1899,289.2,1011.4,TRO.txt
2025-10-31T14:00:00+00:00,AJAC,2.4897,2.3036,0.1861,289.1,1011.4,ESA0OPSRAP_20253040000_01D_01H_TRO.TRO.txt
2025-10-31T14:00:00+00:00,AJAC,2.4897,2.3036,0.1861,289.1,1011.4,TRO.txt
2025-10-31T15:00:00+00:00,AJAC,2.4861,2.3036,0.18259999999999998,289.1,1011.4,ESA0OPSRAP_20253040000_01D_01H_TRO.TRO.txt
2025-10-31T15:00:00+00:00,AJAC,2.4861,2.3036,0.18259999999999998,289.1,1011.4,TRO.txt
2025-10-31T16:00:00+00:00,AJAC,2.4955,2.3036,0.192,289.1,1011.4,ESA0OPSRAP_20253040000_01D_01H_TRO.TRO.txt
2025-10-31T16:00:00+00:00,AJAC,2.4955,2.3036,0.192,289.1,1011.4,TRO.txt
2025-10-31T17:00:00+00:00,AJAC,2.4876,2.3036,0.184,289.1,1011.4,ESA0OPSRAP_20253040000_01D_01H_TRO.TRO.txt
2025-10-31T17:00:00+00:00,AJAC,2.4876,2.3036,0.184,289.1,1011.4,TRO.txt
2025-10-31T18:00:00+00:00,AJAC,2.4774000000000003,2.3036,0.1738,289.1,1011.4,ESA0OPSRAP_20253040000_01D_01H_TRO.TRO.txt
