station,sat,N_points,A_sat,b_sat,RMS_before,RMS_after,delta_RMS,AIC_before,AIC_after,delta_AIC,R2
AJAC,G01,6,1046.4487174394806,-17.922510433857987,1.2766760855002877,0.07436684446577904,-1.2023092410345086,4.931118706084346,-27.184940904445224,32.11605961052957,0.9930331458277804
AJAC,G02,7,1174.3602514319102,-19.99732199884217,1.4859598631250002,0.1891109533962302,-1.2968489097287699,7.544853102889749,-19.315899336315123,26.860752439204873,0.9836020801118455
AJAC,G03,4,916.3955916556486,-15.872000988383231,1.1337109324194425,0.012827903640271383,-1.1208830287791711,3.0039701050202674,-30.849060070811653,33.85303017583192,0.9989247094490519
AJAC,G04,11,1470.3230359421595,-24.916336506683667,3.00446319651658,0.41126451051760976,-2.59319868599897,26.20217613579027,-15.547411259015664,41.749587394805936,0.9782724727600411
AJAC,G05,5,1033.8518013509536,-17.752154420625757,1.1158476368429853,0.05348360775798301,-1.0623640290850023,3.0961432851222206,-25.283800690763883,28.379943975886103,0.9946389510301193
AJAC,G06,6,1261.9336344583303,-21.270946468330436,1.9406042609418543,0.12039214089685152,-1.8202121200450028,9.95599279147226,-21.404012278172143,31.3600050696444,0.9956367665538256
AJAC,G07,9,1064.168482383633,-18.21997368228448,1.0808965864383389,0.08678158267409784,-0.994115003764241,3.400235648507352,-39.99849549806175,43.398731146569105,0.9929162887217925
AJAC,G08,5,1173.3939042551938,-19.992023856571926,1.4372286501343978,0.16402939287972806,-1.2731992572546698,5.62716710747093,-14.077096423404075,19.704263530875004,0.9867133093256186
AJAC,G09,7,1550.2005470885606,-25.967312846513405,2.9002306313106647,0.2764621417001199,-2.6237684896105447,16.907063666157626,-13.999539419460792,30.906603085618418,0.9909111150250821
AJAC,G10,10,1083.4751503375082,-18.530557142786062,1.2315429806160654,0.08685910175046739,-1.144683878865598,6.1653567799499305,-44.8693598655491,51.03471664549903,0.9926340604952446
AJAC,G11,8,1613.960521140091,-27.311780195596764,4.499808848315656,0.5270188904122868,-3.9727899579033688,26.064558683551606,-6.248302174377489,32.312860857929095,0.9800951473762622
AJAC,G12,7,1035.5034938724284,-17.784003757932417,1.0130011088668232,0.04211701948955037,-0.9708840893772728,2.1808424786349336,-40.34224699207086,42.5230894707058,0.996944862782332
AJAC,G13,6,1515.7202012658759,-25.4078323358027,3.7265382775958127,0.17148569357334853,-3.555052584022464,17.785756724182864,-17.159065223037423,34.94482194722029,0.9976334956653784
