Om0,n_TF,Omega_TF0,H0,chi2_SN,chi2_BAO,chi2_tot,dof_tot,chi2_red,C_best
0.2,-0.6,0.7999,70.0,1218.923674113249,36.31924816954362,1255.2429222827927,1059,1.1853096527693983,-19.441969341188138
0.2,-0.575,0.7999,70.0,1211.6143215173286,35.7850626186999,1247.3993841360284,1059,1.1779031011671657,-19.4399464391885
0.2,-0.5499999999999999,0.7999,70.0,1204.4247013784448,35.25213448091549,1239.6768358593602,1059,1.170610798734051,-19.43791958256131
0.2,-0.5249999999999999,0.7999,70.0,1197.3567992827627,34.72058969695249,1232.0773889797151,1059,1.1634347393576159,-19.435888776169566
0.2,-0.5,0.7999,70.0,1190.4126154384853,34.190559339783356,1224.6031747782686,1059,1.1563769355791016,-19.43385402509395
0.2,-0.475,0.7999,70.0,1183.5941645109292,33.662179794081425,1217.2563443050105,1059,1.1494394186071866,-19.431815334634514
0.2,-0.44999999999999996,0.7999,70.0,1176.9034754495203,33.13559294134108,1210.0390683908613,1059,1.1426242383294252,-19.429772710312218
0.2,-0.42499999999999993,0.7999,70.0,1170.3425913067908,32.61094635077662,1202.9535376575675,1059,1.1359334633215934,-19.42772615787054
0.2,-0.39999999999999997,0.7999,70.0,1163.9135690491423,32.088393476151055,1196.0019625252935,1059,1.129369180854857,-19.42567568327698
0.2,-0.375,0.7999,70.0,1157.618479359405,31.568093858688865,1189.1865732180938,1059,1.1229334969009384,-19.42362129272457
0.2,-0.35,0.7999,70.0,1151.4594064311054,31.050213336228666,1182.509619767334,1059,1.1166285361353485,-19.421562992633262
0.2,-0.32499999999999996,0.7999,70.0,1145.4384477543435,30.534924258774776,1175.9733720131183,1059,1.110456441938733,-19.41950078965138
0.2,-0.29999999999999993,0.7999,70.0,1139.55771389328,30.022405710607906,1169.5801196038879,1059,1.1044193763964947,-19.417434690656926
0.2,-0.27499999999999997,0.7999,70.0,1133.8193282551288,29.512843739119297,1163.332171994248,1059,1.0985195202967404,-19.41536470275889
0.2,-0.24999999999999994,0.7999,70.0,1128.2254268506567,29.00643159053245,1157.2318584411892,1059,1.0927590731267132,-19.41329083329851
0.2,-0.22499999999999998,0.7999,70.0,1122.7781580461237,28.503369952681183,1151.281527998805,1059,1.0871402530678045,-19.411213089850474
0.2,-0.19999999999999996,0.7999,70.0,1117.4796823066235,28.003867205013055,1145.4835495116365,1059,1.0816652969892695,-19.40913148022403
0.2,-0.17499999999999993,0.7999,70.0,1112.332171930832,27.508139675990133,1139.840311606822,1059,1.076336460440814,-19.40704601246412
0.2,-0.14999999999999997,0.7999,70.0,1107.3378107771255,27.016411908061148,1134.3542226851866,1059,1.0711560176441801,-19.4049566948524
0.2,-0.12499999999999994,0.7999,70.0,1102.4987939810214,26.528916930380472,1129.027710911402,1059,1.0661262614838545,-19.40286353590822
0.2,-0.09999999999999998,0.7999,70.0,1097.817327664015,26.045896539451608,1123.8632242034666,1059,1.0612495034971356,-19.400766544389526
0.2,-0.07499999999999996,0.7999,70.0,1093.295628633739,25.56760158787471,1118.8632302216135,1059,1.0565280738636578,-19.398665729293757
0.2,-0.04999999999999993,0.7999,70.0,1088.9359240754843,25.094292281379143,1114.0302163568635,1059,1.051964321394583,-19.396561099858612
0.2,-0.02499999999999991,0.7999,70.0,1084.740451235114,24.62623848432387,1109.366689719438,1059,1.04756061352166,-19.394452665562792
0.2,1.1102230246251565e-16,0.7999,70.0,1080.7114570933795,24.16372003385017,1104.8751771272298,1059,1.043319336286336,-19.392340436126673
0.2,0.025000000000000022,0.7999,70.0,1076.8511980316334,23.707027062872346,1100.5582250945058,1059,1.0392428943290895,-19.390224421512922
0.2,0.050000000000000044,0.7999,70.0,1073.1619394890897,23.256460332093837,1096.4183998211836,1059,1.0353337108793046,-19.388104631927
0.2,0.07500000000000007,0.7999,70.0,1069.6459556115437,22.812331571237472,1092.4582871827813,1059,1.0315942277457804,-19.385981077817664
0.2,0.10000000000000009,0.7999,70.0,1066.3055288917062,22.374963829679483,1088.6804927213857,1059,1.0280269053082018,-19.383853769877355
0.2,0.1250000000000001,0.7999,70.0,1063.1429498012008,21.944691836678846,1085.0876416378796,1059,1.0246342225098013,-19.381722719042507
0.2,0.15000000000000002,0.7999,70.0,1060.1605164142666,21.52186237139364,1081.6823787856601,1059,1.021418676851426,-19.379587936493817
0.2,0.17500000000000004,0.7999,70.0,1057.3605340232684,21.106834642878297,1078.4673686661467,1059,1.0183827843872963,-19.377449433656427
0.2,0.2,0.7999,70.0,1054.745314746157,20.699980680255713,1075.4452954264127,1059,1.0155290797227694,-19.37530722220001
0.21000000000000002,-0.6,0.7899,70.0,1189.5371290045755,32.61708895961774,1222.1542179641933,1059,1.1540644173410701,-19.43627643976325
0.21000000000000002,-0.575,0.7899,70.0,1183.041512380148,32.13725500093758,1215.1787673810857,1059,1.1474775895949818,-19.43429934075753
0.21000000000000002,-0.5499999999999999,0.7899,70.0,1176.6594063587993,31.65900112210951,1208.3184074809087,1059,1.1409994404918873,-19.432318252636104
0.21000000000000002,-0.5249999999999999,0.7899,70.0,1170.3927100477854,31.182452470353716,1201.575162518139,1059,1.1346318815091019,-19.430333179095744
0.21000000000000002,-0.5,0.7899,70.0,1164.243337436573,30.707739161489673,1194.9510765980626,1059,1.1283768428688032,-19.42834412404457
0.21000000000000002,-0.475,0.7899,70.0,1158.2132172622432,30.234996453048293,1188.4482137152916,1059,1.1222362735744018,-19.42635109160391
0.21000000000000002,-0.44999999999999996,0.7899,70.0,1152.3042928672508,29.764364922855027,1182.0686577901058,1059,1.1162121414448591,-19.424354086110025
0.21000000000000002,-0.42499999999999993,0.7899,70.0,1146.5185220495287,29.295990653232383,1175.814512702761,1059,1.110306433147083,-19.4223531121159
0.21000000000000002,-0.39999999999999997,0.7899,70.0,1140.857876904788,28.830025420972436,1169.6879023257604,1059,1.1045211542264026,-19.42034817439294
0.21000000000000002,-0.375,0.7899,70.0,1135.3243436609696,28.366626893232898,1163.6909705542025,1059,1.0988583291352243,-19.41833927793268
0.21000000000000002,-0.35,0.7899,70.0,1129.919922504716,27.905958829512617,1157.8258813342286,1059,1.0933200012598947,-19.416326427948384
0.21000000000000002,-0.32499999999999996,0.7899,70.0,1124.6466273998333,27.448191289865463,1152.0948186896987,1059,1.0879082329458911,-19.41430962987669
0.21000000000000002,-0.29999999999999993,0.7899,70.0,1119.5064858976407,26.993500849513378,1146.499986747154,1059,1.0826251055213918,-19.41228888937914
0.21000000000000002,-0.27499999999999997,0.7899,70.0,1114.5015389391551,26.542070820022637,1141.0436097591778,1059,1.077472719319337,-19.410264212343733
0.21000000000000002,-0.24999999999999994,0.7899,70.0,1109.6338406490206,26.094091477209215,1135.72793212623,1059,1.0724531936980453,-19.40823560488638
0.21000000000000002,-0.22499999999999998,0.7899,70.0,1104.9054581211499,25.649760295942215,1130.5552184170922,1059,1.0675686670605213,-19.40620307335235
0.21000000000000002,-0.19999999999999996,0.7899,70.0,1100.318471196008,25.209282192015994,1125.527753388024,1059,1.062821296872544,-19.404166624317646
0.21000000000000002,-0.17499999999999993,0.7899,70.0,1095.8749722295113,24.772869771264414,1120.6478420007757,1059,1.058213259679675,-19.402126264590354
0.21000000000000002,-0.14999999999999997,0.7899,70.0,1091.5770658534684,24.34074358609304,1115.9178094395616,1059,1.0537467511232876,-19.400082001211914
0.21000000000000002,-0.12499999999999994,0.7899,70.0,1087.4268687275367,23.913132399606763,1111.3400011271435,1059,1.0494239859557541,-19.39803384145837
0.21000000000000002,-0.09999999999999998,0.7899,70.0,1083.426509282696,23.490273457513105,1106.916782740209,1059,1.045247198054966,-19.39598179284156
0.21000000000000002,-0.07499999999999996,0.7899,70.0,1079.5781274561598,23.072412767983174,1102.650540224143,1059,1.0412186404382842,-19.393925863110216
0.21000000000000002,-0.04999999999999993,0.7899,70.0,1075.8838744177501,22.659805389654245,1098.5436798074043,1059,1.0373405852761135,-19.391866060251058
0.21000000000000002,-0.02499999999999991,0.7899,70.0,1072.3459122877343,22.252715727960386,1094.5986280156947,1059,1.033615323905283,-19.389802392489802
0.21000000000000002,1.1102230246251565e-16,0.7899,70.0,1068.9664138460453,21.851417839978648,1090.817831686024,1059,1.0300451668423267,-19.387734868292114
0.21000000000000002,0.025000000000000022,0.7899,70.0,1065.747562233014,21.456195747981,1087.2037579809949,1059,1.0266324437969734,-19.38566349636452
0.21000000000000002,0.050000000000000044,0.7899,70.0,1062.6915506414875,21.06734376188308,1083.7588944033705,1059,1.0233795036859024,-19.3835882856552
0.21000000000000002,0.07500000000000007,0.7899,70.0,1059.8005820004869,20.685166810783453,1080.4857488112702,1059,1.0202887146470918,-19.381509245354792
0.21000000000000002,0.10000000000000009,0.7899,70.0,1057.0768686503113,20.309980783787687,1077.386849434099,1059,1.0173624640548622,-19.379426384897073
0.21000000000000002,0.1250000000000001,0.7899,70.0,1054.5226320092274,19.942112880313708,1074.4647448895412,1059,1.0146031585359219,-19.377339713959607
0.21000000000000002,0.15000000000000002,0.7899,70.0,1052.1401022317027,19.58190197007626,1071.7220042017789,1059,1.0120132239865711,-19.375249242464307
0.21000000000000002,0.17500000000000004,0.7899,70.0,1049.9315178583197,19.229698962949225,1069.161216821269,1059,1.0095951055913777,-19.373154980577933
0.21000000000000002,0.2,0.7899,70.0,1047.8991254573448,18.885867188906555,1066.7849926462513,1059,1.0073512678434857,-19.37105693871251
0.22,-0.6,0.7799,70.0,1163.2292912956677,29.282895395695604,1192.5121866913632,1059,1.126073830681174,-19.430657689845038
0.22,-0.575,0.7799,70.0,1157.4879988374842,28.854277802052543,1186.3422766395367,1059,1.1202476644377117,-19.42872525130966
0.22,-0.5499999999999999,0.7799,70.0,1151.8545838397756,28.427545319649564,1180.2821291594253,1059,1.114525145570751,-19.426788797294776
0.22,-0.5249999999999999,0.7799,70.0,1146.3308627581596,28.002822450992255,1174.3336852091518,1059,1.1089081069019375,-19.424848330388286
0.22,-0.5,0.7799,70.0,1140.918667075376,27.580238514899463,1168.4989055902756,1059,1.1033983999908175,-19.42290385338246
0.22,-0.475,0.7799,70.0,1135.6198431940948,27.159927813528434,1162.7797710076231,1059,1.0979978951913345,-19.42095536927593
0.22,-0.44999999999999996,0.7799,70.0,1130.4362523226337,26.74202980471221,1157.178282127346,1059,1.0927084817066535,-19.419002881275578
0.22,-0.42499999999999993,0.7799,70.0,1125.3697703533453,26.326689279755698,1151.696459633101,1059,1.0875320676422107,-19.417046392798493
0.22,-0.39999999999999997,0.7799,70.0,1120.4222877336656,25.91405654684025,1146.336344280506,1059,1.082470580057135,-19.415085907473834
0.22,-0.375,0.7799,70.0,1115.595709329696,25.504287620189338,1141.0999969498855,1059,1.0775259650140563,-19.413121429144653
0.22,-0.35,0.7799,70.0,1110.8919542822148,25.097544415150224,1135.989498697365,1059,1.0727001876273512,-19.41115296186975
