col0_x,col1_x,col2_x,col3_x,col4_x,col5_x,col6_x,col7_x,col8_x,col9_x,col10_x,col11_x,col12_x,col13_x,col14_x,col15_x,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63,col64,col65,col66,col67,col68,col69,col70,col71,col72,col73,col74,col75,col76,col77,col78,col79,col80,col81,col82,col83,col84,col85,col86,col87,col88,col89,col90,col91,col92,col93,col94,col95,col96,col97,col98,time,col0_y,col1_y,col2_y,col3_y,col4_y,col5_y,col6_y,col7_y,col8_y,col9_y,col10_y,col11_y,col12_y,col13_y,col14_y,col15_y,X,Y,Z,L
,0,14.9,0.1,0.4,0.8,1.1,1.4,1.8,2.1,2.5,2.8,3.1,3.5,3.8,4.1,4.5,4.8,5.1,5.5,5.0,6.4,7.1,7.8,8.5,9.2,9.9,10.6,11.3,12.0,13.4,14.1,15.5,17.0,18.4,19.8,21.2,22.6,24.7,26.8,29.0,31.1,33.9,36.7,39.5,43.1,46.6,50.1,54.4,58.6,63.5,69.2,74.8,80.5,87.5,94.6,102.4,110.8,120.0,129.2,140.5,151.8,163.8,177.2,192.0,207.5,225.2,243.5,263.3,284.5,308.5,333.2,360.7,390.4,422.1,456.7,494.1,535.1,578.8,626.1,677.7,733.4,793.4,858.4,929.0,1005.2,1087.8,1176.7,1273.5,1377.2,1490.2,1613.0,1745.0,1888.3,2042.9,2210.2,2391.6,2587.8,2799.6,0,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,-3000000.0,-2000000.0,-1000000.0,3741657.3867739416
,0,14.9,0.1,0.4,0.8,1.1,1.4,1.8,2.1,2.5,2.8,3.1,3.5,3.8,4.1,4.5,4.8,5.1,5.5,5.0,6.4,7.1,7.8,8.5,9.2,9.9,10.6,11.3,12.0,13.4,14.1,15.5,17.0,18.4,19.8,21.2,22.6,24.7,26.8,29.0,31.1,33.9,36.7,39.5,43.1,46.6,50.1,54.4,58.6,63.5,69.2,74.8,80.5,87.5,94.6,102.4,110.8,120.0,129.2,140.5,151.8,163.8,177.2,192.0,207.5,225.2,243.5,263.3,284.5,308.5,333.2,360.7,390.4,422.1,456.7,494.1,535.1,578.8,626.1,677.7,733.4,793.4,858.4,929.0,1005.2,1087.8,1176.7,1273.5,1377.2,1490.2,1613.0,1745.0,1888.3,2042.9,2210.2,2391.6,2587.8,2799.6,60,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,-2936842.1052631577,-1957894.7368421052,-978947.3684210526,3662885.6523155426
,0,14.9,0.1,0.4,0.8,1.1,1.4,1.8,2.1,2.5,2.8,3.1,3.5,3.8,4.1,4.5,4.8,5.1,5.5,5.0,6.4,7.1,7.8,8.5,9.2,9.9,10.6,11.3,12.0,13.4,14.1,15.5,17.0,18.4,19.8,21.2,22.6,24.7,26.8,29.0,31.1,33.9,36.7,39.5,43.1,46.6,50.1,54.4,58.6,63.5,69.2,74.8,80.5,87.5,94.6,102.4,110.8,120.0,129.2,140.5,151.8,163.8,177.2,192.0,207.5,225.2,243.5,263.3,284.5,308.5,333.2,360.7,390.4,422.1,456.7,494.1,535.1,578.8,626.1,677.7,733.4,793.4,858.4,929.0,1005.2,1087.8,1176.7,1273.5,1377.2,1490.2,1613.0,1745.0,1888.3,2042.9,2210.2,2391.6,2587.8,2799.6,120,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,-2873684.210526316,-1915789.4736842106,-957894.7368421053,3584113.917857144
,0,14.9,0.1,0.4,0.8,1.1,1.4,1.8,2.1,2.5,2.8,3.1,3.5,3.8,4.1,4.5,4.8,5.1,5.5,5.0,6.4,7.1,7.8,8.5,9.2,9.9,10.6,11.3,12.0,13.4,14.1,15.5,17.0,18.4,19.8,21.2,22.6,24.7,26.8,29.0,31.1,33.9,36.7,39.5,43.1,46.6,50.1,54.4,58.6,63.5,69.2,74.8,80.5,87.5,94.6,102.4,110.8,120.0,129.2,140.5,151.8,163.8,177.2,192.0,207.5,225.2,243.5,263.3,284.5,308.5,333.2,360.7,390.4,422.1,456.7,494.1,535.1,578.8,626.1,677.7,733.4,793.4,858.4,929.0,1005.2,1087.8,1176.7,1273.5,1377.2,1490.2,1613.0,1745.0,1888.3,2042.9,2210.2,2391.6,2587.8,2799.6,180,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,-2810526.3157894737,-1873684.2105263157,-936842.1052631579,3505342.183398745
,0,14.9,0.1,0.4,0.8,1.1,1.4,1.8,2.1,2.5,2.8,3.1,3.5,3.8,4.1,4.5,4.8,5.1,5.5,5.0,6.4,7.1,7.8,8.5,9.2,9.9,10.6,11.3,12.0,13.4,14.1,15.5,17.0,18.4,19.8,21.2,22.6,24.7,26.8,29.0,31.1,33.9,36.7,39.5,43.1,46.6,50.1,54.4,58.6,63.5,69.2,74.8,80.5,87.5,94.6,102.4,110.8,120.0,129.2,140.5,151.8,163.8,177.2,192.0,207.5,225.2,243.5,263.3,284.5,308.5,333.2,360.7,390.4,422.1,456.7,494.1,535.1,578.8,626.1,677.7,733.4,793.4,858.4,929.0,1005.2,1087.8,1176.7,1273.5,1377.2,1490.2,1613.0,1745.0,1888.3,2042.9,2210.2,2391.6,2587.8,2799.6,240,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,-2747368.4210526315,-1831578.9473684211,-915789.4736842106,3426570.4489403465
,0,14.9,0.1,0.4,0.8,1.1,1.4,1.8,2.1,2.5,2.8,3.1,3.5,3.8,4.1,4.5,4.8,5.1,5.5,5.0,6.4,7.1,7.8,8.5,9.2,9.9,10.6,11.3,12.0,13.4,14.1,15.5,17.0,18.4,19.8,21.2,22.6,24.7,26.8,29.0,31.1,33.9,36.7,39.5,43.1,46.6,50.1,54.4,58.6,63.5,69.2,74.8,80.5,87.5,94.6,102.4,110.8,120.0,129.2,140.5,151.8,163.8,177.2,192.0,207.5,225.2,243.5,263.3,284.5,308.5,333.2,360.7,390.4,422.1,456.7,494.1,535.1,578.8,626.1,677.7,733.4,793.4,858.4,929.0,1005.2,1087.8,1176.7,1273.5,1377.2,1490.2,1613.0,1745.0,1888.3,2042.9,2210.2,2391.6,2587.8,2799.6,300,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,-2684210.5263157897,-1789473.6842105263,-894736.8421052631,3347798.7144819475
,0,14.9,0.1,0.4,0.8,1.1,1.4,1.8,2.1,2.5,2.8,3.1,3.5,3.8,4.1,4.5,4.8,5.1,5.5,5.0,6.4,7.1,7.8,8.5,9.2,9.9,10.6,11.3,12.0,13.4,14.1,15.5,17.0,18.4,19.8,21.2,22.6,24.7,26.8,29.0,31.1,33.9,36.7,39.5,43.1,46.6,50.1,54.4,58.6,63.5,69.2,74.8,80.5,87.5,94.6,102.4,110.8,120.0,129.2,140.5,151.8,163.8,177.2,192.0,207.5,225.2,243.5,263.3,284.5,308.5,333.2,360.7,390.4,422.1,456.7,494.1,535.1,578.8,626.1,677.7,733.4,793.4,858.4,929.0,1005.2,1087.8,1176.7,1273.5,1377.2,1490.2,1613.0,1745.0,1888.3,2042.9,2210.2,2391.6,2587.8,2799.6,360,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,-2621052.6315789474,-1747368.4210526315,-873684.2105263157,3269026.980023549
,0,14.9,0.1,0.4,0.8,1.1,1.4,1.8,2.1,2.5,2.8,3.1,3.5,3.8,4.1,4.5,4.8,5.1,5.5,5.0,6.4,7.1,7.8,8.5,9.2,9.9,10.6,11.3,12.0,13.4,14.1,15.5,17.0,18.4,19.8,21.2,22.6,24.7,26.8,29.0,31.1,33.9,36.7,39.5,43.1,46.6,50.1,54.4,58.6,63.5,69.2,74.8,80.5,87.5,94.6,102.4,110.8,120.0,129.2,140.5,151.8,163.8,177.2,192.0,207.5,225.2,243.5,263.3,284.5,308.5,333.2,360.7,390.4,422.1,456.7,494.1,535.1,578.8,626.1,677.7,733.4,793.4,858.4,929.0,1005.2,1087.8,1176.7,1273.5,1377.2,1490.2,1613.0,1745.0,1888.3,2042.9,2210.2,2391.6,2587.8,2799.6,420,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,-2557894.736842105,-1705263.1578947369,-852631.5789473684,3190255.24556515
,0,14.9,0.1,0.4,0.8,1.1,1.4,1.8,2.1,2.5,2.8,3.1,3.5,3.8,4.1,4.5,4.8,5.1,5.5,5.0,6.4,7.1,7.8,8.5,9.2,9.9,10.6,11.3,12.0,13.4,14.1,15.5,17.0,18.4,19.8,21.2,22.6,24.7,26.8,29.0,31.1,33.9,36.7,39.5,43.1,46.6,50.1,54.4,58.6,63.5,69.2,74.8,80.5,87.5,94.6,102.4,110.8,120.0,129.2,140.5,151.8,163.8,177.2,192.0,207.5,225.2,243.5,263.3,284.5,308.5,333.2,360.7,390.4,422.1,456.7,494.1,535.1,578.8,626.1,677.7,733.4,793.4,858.4,929.0,1005.2,1087.8,1176.7,1273.5,1377.2,1490.2,1613.0,1745.0,1888.3,2042.9,2210.2,2391.6,2587.8,2799.6,480,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,-2494736.842105263,-1663157.894736842,-831578.947368421,3111483.511106751
,0,14.9,0.1,0.4,0.8,1.1,1.4,1.8,2.1,2.5,2.8,3.1,3.5,3.8,4.1,4.5,4.8,5.1,5.5,5.0,6.4,7.1,7.8,8.5,9.2,9.9,10.6,11.3,12.0,13.4,14.1,15.5,17.0,18.4,19.8,21.2,22.6,24.7,26.8,29.0,31.1,33.9,36.7,39.5,43.1,46.6,50.1,54.4,58.6,63.5,69.2,74.8,80.5,87.5,94.6,102.4,110.8,120.0,129.2,140.5,151.8,163.8,177.2,192.0,207.5,225.2,243.5,263.3,284.5,308.5,333.2,360.7,390.4,422.1,456.7,494.1,535.1,578.8,626.1,677.7,733.4,793.4,858.4,929.0,1005.2,1087.8,1176.7,1273.5,1377.2,1490.2,1613.0,1745.0,1888.3,2042.9,2210.2,2391.6,2587.8,2799.6,540,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,-2431578.947368421,-1621052.6315789474,-810526.3157894737,3032711.7766483524
