2016-09-03T00:02:28.075,-1.357E+01, 1.00
2016-09-03T00:02:40.075,-1.322E+01, 1.00
2016-09-03T00:02:52.075,-1.322E+01, 1.00
2016-09-03T00:03:04.075,-1.322E+01, 1.00
2016-09-03T00:03:16.075,-1.344E+01, 1.00
2016-09-03T00:03:28.075,-1.344E+01, 1.00
2016-09-03T00:03:40.075,-1.344E+01, 1.00
2016-09-03T00:03:52.075,-1.403E+01, 1.00
2016-09-03T00:04:04.075,-1.403E+01, 1.00
2016-09-03T00:04:16.075,-1.394E+01, 1.00
2016-09-03T00:04:28.075,-1.394E+01, 1.00
2016-09-03T00:04:40.075,-1.394E+01, 1.00
2016-09-03T00:04:52.075,-1.398E+01, 1.00
2016-09-03T00:05:04.075,-1.398E+01, 1.00
2016-09-03T00:05:16.075,-1.398E+01, 1.00
2016-09-03T00:05:28.075,-1.479E+01, 1.00
2016-09-03T00:05:40.044,-1.479E+01, 1.00
2016-09-03T00:05:52.044,-1.473E+01, 1.00
2016-09-03T00:06:04.044,-1.473E+01, 1.00
2016-09-03T00:06:16.044,-1.473E+01, 1.00
2016-09-03T00:06:28.044,-1.484E+01, 1.00
2016-09-03T00:06:40.044,-1.484E+01, 1.00
2016-09-03T00:06:52.044,-1.484E+01, 1.00
2016-09-03T00:07:04.044,-1.486E+01, 1.00
2016-09-03T00:07:16.044,-1.486E+01, 1.00
2016-09-03T00:07:28.044,-1.464E+01, 1.00
2016-09-03T00:07:40.044,-1.464E+01, 1.00
2016-09-03T00:07:52.044,-1.464E+01, 1.00
2016-09-03T00:08:04.044,-1.477E+01, 1.00
2016-09-03T00:08:16.044,-1.477E+01, 1.00
2016-09-03T00:08:28.044,-1.477E+01, 1.00
2016-09-03T00:08:40.044,-1.443E+01, 1.00
2016-09-03T00:08:52.012,-1.443E+01, 1.00
2016-09-03T00:09:04.012,-1.484E+01, 1.00
2016-09-03T00:09:16.012,-1.484E+01, 1.00
2016-09-03T00:09:28.012,-1.484E+01, 1.00
2016-09-03T00:09:40.012,-1.590E+01, 1.00
2016-09-03T00:09:52.012,-1.590E+01, 1.00
2016-09-03T00:10:04.012,-1.590E+01, 1.00
2016-09-03T00:10:16.012,-1.443E+01, 1.00
2016-09-03T00:10:28.012,-1.443E+01, 1.00
2016-09-03T00:10:40.012,-1.554E+01, 1.00
2016-09-03T00:10:52.012,-1.554E+01, 1.00
2016-09-03T00:11:04.012,-1.554E+01, 1.00
2016-09-03T00:11:16.012,-1.558E+01, 1.00
2016-09-03T00:11:28.012,-1.558E+01, 1.00
2016-09-03T00:11:40.012,-1.558E+01, 1.00
2016-09-03T00:11:52.012,-1.679E+01, 1.00
2016-09-03T00:12:04.012,-1.679E+01, 1.00
2016-09-03T00:12:16.012,-1.655E+01, 1.00
2016-09-03T00:12:28.012,-1.655E+01, 1.00
2016-09-03T00:12:40.012,-1.655E+01, 1.00
2016-09-03T00:12:52.012,-1.626E+01, 1.00
2016-09-03T00:13:04.012,-1.626E+01, 1.00
2016-09-03T00:13:16.012,-1.626E+01, 1.00
2016-09-03T00:13:28.012,-1.631E+01, 1.00
2016-09-03T00:13:40.012,-1.631E+01, 1.00
2016-09-03T00:13:52.012,-1.693E+01, 1.00
2016-09-03T00:14:04.012,-1.693E+01, 1.00
2016-09-03T00:14:16.012,-1.693E+01, 1.00
2016-09-03T00:14:28.012,-1.728E+01, 1.00
2016-09-03T00:14:40.012,-1.728E+01, 1.00
