k,P_loop
0.0,3.0814879110195774e-33
5.383169959562607,0.7548328586921068
10.766339919125214,0.7014853696189347
16.14950987868782,0.6236761378636017
21.532679838250427,0.5346322513653013
26.915849797813035,0.4474514149160981
32.29901975737564,0.37225958716104607
37.68218971693825,0.31476081249762383
43.065359676500854,0.27625074613619155
48.44852963606346,0.25465081862122096
53.83169959562607,0.24595710921747754
59.21486955518868,0.24561545986932146
64.59803951475128,0.2495487363564208
69.98120947431389,0.254739683188113
75.3643794338765,0.2593855817907689
80.7475493934391,0.2627159886727681
86.13071935300171,0.26461698137314543
91.51388931256432,0.26522342692359585
