idx,eigenvalue
0,0.061488093030469794
1,2.115579383093672e-05
2,1.4699224931501316e-05
3,1.3657935552654298e-05
4,9.367998542318323e-06
5,7.72803477715312e-06
6,5.096502133915772e-06
7,2.8999147231650458e-06
8,1.7894675496807992e-06
9,-3.40579710149752e-38
10,-2.1403726614506856e-06
11,-3.704503860443229e-06
12,-7.124282425962227e-06
13,-9.484990914043295e-06
14,-1.1702286582643054e-05
15,-1.270407464621232e-05
16,-1.6078554170637033e-05
17,-2.1548837249696077e-05
