k,P_loop,fraction,cumulative_fraction
0.0,3.0814879110195774e-33,4.869759580730118e-34,4.869759580730118e-34
5.383169959562607,0.7548328586921068,0.1192883000553312,0.1192883000553312
10.766339919125214,0.7014853696189347,0.11085765052745367,0.23014595058278486
16.14950987868782,0.6236761378636017,0.09856124493537682,0.3287071955181617
21.532679838250427,0.5346322513653013,0.0844893961434382,0.4131965916615999
26.915849797813035,0.4474514149160981,0.07071197024355526,0.48390856190515513
32.29901975737564,0.372259587161046,0.05882920016052678,0.5427377620656819
37.68218971693825,0.3147608124976238,0.04974251162294959,0.5924802736886315
43.06535967650085,0.2762507461361915,0.04365666056549444,0.636136934254126
48.44852963606346,0.2546508186212209,0.04024316497516772,0.6763800992292937
53.83169959562607,0.2459571092174775,0.038869274313141564,0.7152493735424352
59.21486955518868,0.2456154598693214,0.038815282532726536,0.7540646560751618
64.59803951475128,0.2495487363564208,0.0394368689679099,0.7935015250430717
69.98120947431389,0.254739683188113,0.04025720848559211,0.8337587335286638
75.3643794338765,0.2593855817907689,0.04099141254170663,0.8747501460703704
80.7475493934391,0.2627159886727681,0.04151772584520354,0.9162678719155739
86.13071935300171,0.2646169813731454,0.04181814491816032,0.9580860168337342
91.51388931256432,0.2652234269235958,0.04191398316626559,0.9999999999999998
