time_utc,et,L_km,L_m,L_AU,dt_res,v_km_s
1979-03-05 00:00:00,-657287949.8145592,930298.307825996,930298307.825996,0.0062186600883617,2.0713893625601822,
1979-03-05 00:01:00,-657287889.8145592,929312.7955592758,929312795.5592756,0.0062120723457548,2.0711313410815,-16.425204445336323
1979-03-05 00:02:00,-657287829.8145592,928327.214893808,928327214.893808,0.0062054841459304,2.0708730932209622,-16.426344424462876
1979-03-05 00:03:00,-657287769.8145592,927341.5661738798,927341566.1738796,0.0061988954911901,2.070614618634389,-16.427478665470456
1979-03-05 00:04:00,-657287709.8145592,926355.8497460856,926355849.7460856,0.0061923063838507,2.070355916977186,-16.4286071299032
1979-03-05 00:05:00,-657287649.8145592,925370.0659618514,925370065.9618514,0.0061857168262612,2.0700969879050013,-16.42972973723663
1979-03-05 00:06:00,-657287589.8145592,924384.2151683444,924384215.1683444,0.0061791268207425,2.069837831071337,-16.43084655844917
1979-03-05 00:07:00,-657287529.8145592,923398.29772524,923398297.72524,0.0061725363696987,2.069578446131951,-16.43195738507396
1979-03-05 00:08:00,-657287469.8145592,922412.3139874358,922412313.9874358,0.0061659454755022,2.0693188327403185,-16.43306229673714
1979-03-05 00:09:00,-657287409.8145592,921426.264314228,921426264.314228,0.0061593541405548,2.069058990550037,-16.434161220130044
1979-03-05 00:10:00,-657287349.8145592,920440.1490707146,920440149.0707146,0.0061527623672969,2.068798919215199,-16.435254058556165
1979-03-05 00:11:00,-657287289.8145592,919453.968621918,919453968.6219178,0.0061461701581686,2.0685386183888426,-16.43634081327667
1979-03-05 00:12:00,-657287229.8145592,918467.7233384867,918467723.3384868,0.0061395775156476,2.0682780877244538,-16.437421390520953
1979-03-05 00:13:00,-657287169.8145592,917481.4135876008,917481413.5876008,0.0061329844421883,2.0680173268735613,-16.438495848098924
1979-03-05 00:14:00,-657287109.8145592,916495.0397480368,916495039.7480367,0.0061263909403226,2.067756335489722,-16.43956399273399
1979-03-05 00:15:00,-657287049.8145592,915508.6021976802,915508602.19768,0.0061197970125765,2.0674951132252124,-16.44062583927686
1979-03-05 00:16:00,-657286989.8145592,914522.1013115362,914522101.3115362,0.0061132026614569,2.0672336597305048,-16.441681435733337
1979-03-05 00:17:00,-657286929.8145592,913535.5374752212,913535537.4752212,0.0061066078895414,2.066971974657835,-16.44273060524914
1979-03-05 00:18:00,-657286869.8145592,912548.9110775047,912548911.0775048,0.0061000126994287,2.06671005765923,-16.443773295274394
1979-03-05 00:19:00,-657286809.8145592,911562.22250459,911562222.50459,0.0060934170937005,2.0664479083849883,-16.444809548578146
1979-03-05 00:20:00,-657286749.8145592,910575.4721517843,910575472.1517844,0.0060868210749993,2.066185526486777,-16.445839213428552
1979-03-05 00:21:00,-657286689.8145592,909588.6604108472,909588660.4108472,0.0060802246459437,2.0659229116142668,-16.44686234895295
1979-03-05 00:22:00,-657286629.8145592,908601.7876807566,908601787.6807568,0.0060736278092008,2.065660063417998,-16.447878834841926
1979-03-05 00:23:00,-657286569.8145592,907614.8543619658,907614854.3619658,0.0060670305674475,2.065396981547847,-16.448888646514387
1979-03-05 00:24:00,-657286509.8145592,906627.8608592273,906627860.8592272,0.0060604329233893,2.06513366565378,-16.44989171230894
1979-03-05 00:25:00,-657286449.8145592,905640.8075821288,905640807.5821288,0.0060538348797642,2.064870115385999,-16.450887951640954
1979-03-05 00:26:00,-657286389.8145592,904653.6949413476,904653694.9413476,0.0060472364393175,2.064606330393937,-16.451877346353527
1979-03-05 00:27:00,-657286329.8145592,903666.5233454794,903666523.3454794,0.0060406376047802,2.0643423103254097,-16.45285993113648
1979-03-05 00:28:00,-657286269.8145592,902679.2932164232,902679293.2164232,0.0060340383789728,2.064078054830728,-16.453835484269074
1979-03-05 00:29:00,-657286209.8145592,901692.00497409,901692004.97409,0.0060274387647022,2.06381356355861,-16.45480403888699
1979-03-05 00:30:00,-657286149.8145592,900704.6590366998,900704659.0366998,0.0060208387647639,2.063548836156255,-16.455765623170496
1979-03-05 00:31:00,-657286089.8145592,899717.2558355347,899717255.8355347,0.0060142383820409,2.063283872273298,-16.456720019419055
1979-03-05 00:32:00,-657286029.8145592,898729.7958005767,898729795.8005767,0.0060076376194074,2.0630186715579595,-16.457667249299508
1979-03-05 00:33:00,-657285969.8145592,897742.2793622036,897742279.3622036,0.0060010364797405,2.0627532336574976,-16.458607306218862
1979-03-05 00:34:00,-657285909.8145592,896754.7069567101,896754706.9567101,0.0059944349659564,2.062487558219691,-16.459540091557816
1979-03-05 00:35:00,-657285849.8145592,895767.0790259049,895767079.0259049,0.0059878330810085,2.0622216448927286,-16.460465513420058
1979-03-05 00:36:00,-657285789.8145592,894779.3960129404,894779396.0129404,0.0059812308278592,2.0619554933240942,-16.46138354940728
1979-03-05 00:37:00,-657285729.8145592,893791.6583591343,893791658.3591343,0.0059746282094584,2.061689103159698,-16.462294230101786
1979-03-05 00:38:00,-657285669.8145592,892803.8665216215,892803866.5216215,0.0059680252288619,2.0614224740486446,-16.46319729188108
1979-03-05 00:39:00,-657285609.8145592,891816.0209460355,891816020.9460355,0.0059614218890485,2.061155605635857,-16.464092926432688
1979-03-05 00:40:00,-657285549.8145592,890828.122096679,890828122.0966791,0.005954818193122,2.0608884975702244,-16.464980822607565
1979-03-05 00:41:00,-657285489.8145592,889840.1704279837,889840170.4279838,0.00594821414412,2.060621149496892,-16.4658611449219
1979-03-05 00:42:00,-657285429.8145592,888852.166404308,888852166.4043081,0.0059416097451466,2.0603535610626076,-16.466733727928172
1979-03-05 00:43:00,-657285369.8145592,887864.11049407,887864110.4940699,0.0059350049993329,2.0600857319141404,-16.467598503967746
1979-03-05 00:44:00,-657285309.8145592,886876.0031665155,886876003.1665155,0.0059283999098157,2.059817661697402,-16.46845545924152
1979-03-05 00:45:00,-657285249.8145592,885887.8448974999,885887844.8974999,0.0059217944797759,2.0595493500590143,-16.46930448359344
1979-03-05 00:46:00,-657285189.8145592,884899.6361647319,884899636.164732,0.0059151887124068,2.059280796645021,-16.4701455461327
1979-03-05 00:47:00,-657285129.8145592,883911.3774473168,883911377.4473168,0.0059085826109108,2.0590120011007587,-16.470978623585932
1979-03-05 00:48:00,-657285069.8145592,882923.0692325324,882923069.2325324,0.0059019761785455,2.058742963072701,-16.47180357973945
1979-03-05 00:49:00,-657285009.8145592,881934.7120064804,881934712.0064805,0.00589536941856,2.058473682205917,-16.472620434199538
1979-03-05 00:50:00,-657284949.8145592,880946.3062666517,880946306.2666517,0.00588876233428,2.058204158147489,-16.473428997145188
1979-03-05 00:51:00,-657284889.8145592,879957.8525011878,879957852.5011878,0.0058821549289684,2.057934390540864,-16.474229424398313
1979-03-05 00:52:00,-657284829.8145592,878969.3512176756,878969351.2176756,0.0058755472060183,2.0576643790337035,-16.4750213918703
1979-03-05 00:53:00,-657284769.8145592,877980.8029144941,877980802.914494,0.0058689391687611,2.057394123270068,-16.47580505302564
1979-03-05 00:54:00,-657284709.8145592,876992.2081018297,876992208.1018298,0.0058623308206072,2.057123622896152,-16.476580211071997
1979-03-05 00:55:00,-657284649.8145592,876003.5672876339,876003567.2876339,0.0058557221649521,2.0568528775564463,-16.477346903264213
1979-03-05 00:56:00,-657284589.8145592,875014.8809921613,875014880.9921614,0.0058491132052734,2.0565818868977215,-16.478104924542517
1979-03-05 00:57:00,-657284529.8145592,874026.1497293676,874026149.7293676,0.0058425039450068,2.056310650563928,-16.478854379896074
1979-03-05 00:58:00,-657284469.8145592,873037.3740219893,873037374.0219893,0.0058358943876464,2.056039168200328,-16.479595122971418
1979-03-05 00:59:00,-657284409.8145592,872048.5544015403,872048554.4015403,0.0058292845367453,2.0557674394535015,-16.48032700748299
1979-03-05 01:00:00,-657284349.8145592,871059.6913939938,871059691.3939939,0.0058226743958194,2.0554954639674112,-16.481050125775315
1979-03-05 01:01:00,-657284289.8145592,870070.7855360456,870070785.5360456,0.0058160639684562,2.055223241387873,-16.481764299137286
1979-03-05 01:02:00,-657284229.8145592,869081.8373663854,869081837.3663853,0.0058094532582567,2.0549507713601534,-16.482469494336208
1979-03-05 01:03:00,-657284169.8145592,868092.8474280098,868092847.4280099,0.0058028422688506,2.054678053529611,-16.483165639592336
1979-03-05 01:04:00,-657284109.8145592,867103.8162672886,867103816.2672887,0.0057962310038901,2.0544050875414364,-16.48385267868677
1979-03-05 01:05:00,-657284049.8145592,866114.7444327368,866114744.4327368,0.0057896194670418,2.0541318730403133,-16.484530575864483
1979-03-05 01:06:00,-657283989.8145592,865125.6324841239,865125632.484124,0.0057830076620477,2.0538584096729364,-16.48519914354741
1979-03-05 01:07:00,-657283929.8145592,864136.48097594,864136480.97594,0.0057763955926141,2.0535846970834424,-16.48585846973195
1979-03-05 01:08:00,-657283869.8145592,863147.2904735442,863147290.4735441,0.0057697832625203,2.053310734917875,-16.486508373264222
1979-03-05 01:09:00,-657283809.8145592,862158.0615445839,862158061.5445839,0.0057631706755608,2.053036522821813,-16.487148816004627
1979-03-05 01:10:00,-657283749.8145592,861168.7947606078,861168794.7606077,0.0057565578355561,2.052762060440817,-16.48777973293521
1979-03-05 01:11:00,-657283689.8145592,860179.4906980149,860179490.6980149,0.0057499447463593,2.0524873474206924,-16.488401043215223
1979-03-05 01:12:00,-657283629.8145592,859190.1499370051,859190149.9370052,0.0057433314118488,2.052212383407201,-16.489012683495336
1979-03-05 01:13:00,-657283569.8145592,858200.773062105,858200773.0621051,0.0057367178359317,2.0519371680462046,-16.489614581667897
1979-03-05 01:14:00,-657283509.8145592,857211.3606623716,857211360.6623716,0.0057301040225459,2.051661700983726,-16.490206662223986
1979-03-05 01:15:00,-657283449.8145592,856221.9133312595,856221913.3312595,0.0057234899756581,2.0513859818659097,-16.490788851868516
1979-03-05 01:16:00,-657283389.8145592,855232.431666519,855232431.666519,0.0057168756992643,2.0511100103389976,-16.49136107900801
1979-03-05 01:17:00,-657283329.8145592,854242.916270394,854242916.270394,0.0057102611973901,2.0508337860493833,-16.491923268750543
1979-03-05 01:18:00,-657283269.8145592,853253.3677499362,853253367.7499362,0.0057036464740934,2.0505573086437003,-16.492475340963573
1979-03-05 01:19:00,-657283209.8145592,852263.7867186614,852263786.7186614,0.0056970315334753,2.05028057776929,-16.493017187912482
1979-03-05 01:20:00,-657283149.8145592,851274.1737876086,851274173.7876086,0.0056904163796203,2.0500035930716973,-16.49354885088008
1979-03-05 01:21:00,-657283089.8145592,850284.5295796206,850284529.5796206,0.005683801016692,2.0497263541986697,-16.49407013313418
1979-03-05 01:22:00,-657283029.8145592,849294.8547221324,849294854.7221324,0.0056771854488844,2.049448860798142,-16.494580958135582
1979-03-05 01:23:00,-657282969.8145592,848305.14984278,848305149.84278,0.005670569680393,2.0491711125170053,-16.49508132254123
1979-03-05 01:24:00,-657282909.8145592,847315.4155754078,847315415.5754077,0.0056639537154549,2.0488931090027918,-16.49557112286954
1979-03-05 01:25:00,-657282849.8145592,846325.6525594407,846325652.5594407,0.0056573375583442,2.0486148499034993,-16.496050266118253
1979-03-05 01:26:00,-657282789.8145592,845335.8614388042,845335861.4388041,0.0056507212133655,2.048336334867293,-16.496518677275162
1979-03-05 01:27:00,-657282729.8145592,844346.0428644654,844346042.8644654,0.0056441046848701,2.04805756354322,-16.496976238980036
1979-03-05 01:28:00,-657282669.8145592,843356.197487348,843356197.487348,0.0056374879772092,2.047778535579217,-16.49742295195659
1979-03-05 01:29:00,-657282609.8145592,842366.3259660185,842366325.9660184,0.005630871094785,2.047499250624275,-16.497858688825122
1979-03-05 01:30:00,-657282549.8145592,841376.4289633797,841376428.9633797,0.0056242540420288,2.04721970832751,-16.498283377313054
1979-03-05 01:31:00,-657282489.8145592,840386.507150387,840386507.150387,0.0056176368234256,2.0469399083392164,-16.49869688321099
1979-03-05 01:32:00,-657282429.8145592,839396.561197371,839396561.197371,0.0056110194434563,2.0466598503084152,-16.499099216934216
1979-03-05 01:33:00,-657282369.8145592,838406.591785011,838406591.785011,0.005604401906671,2.0463795338859585,-16.49949020599985
1979-03-05 01:34:00,-657282309.8145592,837416.5995910632,837416599.5910633,0.0055977842176002,2.046098958720773,-16.49986989912965
1979-03-05 01:35:00,-657282249.8145592,836426.5853117331,836426585.3117331,0.0055911663808977,2.0458181244659226,-16.50023798883582
1979-03-05 01:36:00,-657282189.8145592,835436.5496325641,835436549.6325641,0.0055845484011462,2.0455370307703515,-16.500594652816652
1979-03-05 01:37:00,-657282129.8145592,834446.4932568326,834446493.2568326,0.0055779302830466,2.0452556772869444,-16.500939595524688
1979-03-05 01:38:00,-657282069.8145592,833456.4168885589,833456416.8885589,0.0055713120313052,2.0449740636677087,-16.50127280456169
1979-03-05 01:39:00,-657282009.8145592,832466.3212309207,832466321.2309207,0.0055646936506224,2.0446921895633174,-16.501594293969294
1979-03-05 01:40:00,-657281949.8145592,831476.2070058861,831476207.0058861,0.0055580751458241,2.0444100546287034,-16.501903750576698
1979-03-05 01:41:00,-657281889.8145592,830486.0749276201,830486074.9276202,0.0055514565216844,2.044127658515491,-16.502201304433402
1979-03-05 01:42:00,-657281829.8145592,829495.9257207661,829495925.7207661,0.0055448377830471,2.0438450008772,-16.502486780900895
1979-03-05 01:43:00,-657281769.8145592,828505.7601179683,828505760.1179683,0.0055382189348098,2.0435620813685498,-16.502760046629312
1979-03-05 01:44:00,-657281709.8145592,827515.5788545114,827515578.8545114,0.0055315999818873,2.0432788996439295,-16.5030210576156
1979-03-05 01:45:00,-657281649.8145592,826525.3826689793,826525382.6689794,0.005524980929217,2.0429954553575875,-16.5032697588671
1979-03-05 01:46:00,-657281589.8145592,825535.1723071598,825535172.3071598,0.0055183617817841,2.0427117481647494,-16.50350603032663
1979-03-05 01:47:00,-657281529.8145592,824544.9485265136,824544948.5265137,0.0055117425446518,2.042427777722905,-16.50372967743509
1979-03-05 01:48:00,-657281469.8145592,823554.7120790326,823554712.0790325,0.0055051232228469,2.0421435436869,-16.50394079135149
1979-03-05 01:49:00,-657281409.8145592,822564.4637277226,822564463.7277226,0.0054985038214699,2.0418590457136565,-16.50413918849857
1979-03-05 01:50:00,-657281349.8145592,821574.2042468004,821574204.2468004,0.0054918843456961,2.041574283462245,-16.504324682037502
1979-03-05 01:51:00,-657281289.8145592,820583.9344049634,820583934.4049634,0.0054852648006637,2.041289256589075,-16.50449736394997
1979-03-05 01:52:00,-657281229.8145592,819593.6549823753,819593654.9823754,0.0054786451915881,2.041003964752778,-16.504657043134404
1979-03-05 01:53:00,-657281169.8145592,818603.3667699909,818603366.7699909,0.0054720255237562,2.040718407614028,-16.504803539740774
1979-03-05 01:54:00,-657281109.8145592,817613.0705543429,817613070.554343,0.0054654058024259,2.0404325848311538,-16.5049369274658
1979-03-05 01:55:00,-657281049.8145592,816622.7671353834,816622767.1353835,0.0054587860329444,2.040146496065287,-16.505056982658182
1979-03-05 01:56:00,-657280989.8145592,815632.4573163714,815632457.3163713,0.0054521662206811,2.0398601409774515,-16.50516365020109
1979-03-05 01:57:00,-657280929.8145592,814642.1419066532,814642141.9066532,0.0054455463710463,2.039573519229369,-16.50525682863663
