time_utc,et,L_km,L_m,L_AU,dt_tfgr,dt_res,time_diff_s,v_km_s
2019-01-01 04:00:00,599587269.1839195,80948.18920106457,80948189.20106457,0.0005411052231043,1.619484515861758,0.6194845158617579,,0.0
2019-01-01 04:01:00,599587329.1839195,80082.92096742813,80082920.96742813,0.0005353212622125,1.6180102378690153,0.6180102378690153,60.0,-14.421137227273963
2019-01-01 04:02:00,599587389.1839195,79217.67100783021,79217671.00783022,0.000529537423475,1.6165236830188536,0.6165236830188536,60.0,-14.420832659965283
2019-01-01 04:03:00,599587449.1839195,78352.4399278269,78352439.9278269,0.0005237537109398,1.615024613734727,0.615024613734727,60.0,-14.42051800005526
2019-01-01 04:04:00,599587509.1839195,77487.22835621316,77487228.35621317,0.0005179701288102,1.6135127851797375,0.6135127851797375,60.0,-14.420192860228902
2019-01-01 04:05:00,599587569.1839195,76622.03695937048,76622036.95937048,0.0005121866815405,1.6119879449751904,0.6119879449751904,60.0,-14.419856614044694
2019-01-01 04:06:00,599587629.1839195,75756.86642483794,75756866.42483793,0.0005064033737268,1.6104498328489534,0.6104498328489534,60.0,-14.419508908875772
2019-01-01 04:07:00,599587689.1839195,74891.71747562337,74891717.47562337,0.0005006202102021,1.608898180320024,0.608898180320024,60.0,-14.419149153576049
2019-01-01 04:08:00,599587749.1839195,74026.59087065532,74026590.87065531,0.0004948371960394,1.6073327103404282,0.6073327103404282,60.0,-14.418776749467604
2019-01-01 04:09:00,599587809.1839195,73161.48740109442,73161487.40109442,0.0004890543365273,1.605753136909503,0.605753136909503,60.0,-14.418391159348296
2019-01-01 04:10:00,599587869.1839195,72296.40789890329,72296407.89890328,0.0004832716372272,1.6041591646890576,0.6041591646890576,60.0,-14.417991703185544
2019-01-01 04:11:00,599587929.1839195,71431.35323242354,71431353.23242354,0.0004774891039436,1.6025504885722026,0.6025504885722026,60.0,-14.417577774662398
2019-01-01 04:12:00,599587989.1839195,70566.32431709152,70566324.31709152,0.0004717067427958,1.600926793255761,0.6009267932557609,60.0,-14.417148588866985
2019-01-01 04:13:00,599588049.1839195,69701.3221094572,69701322.10945721,0.0004659245601779,1.5992877527557803,0.5992877527557803,60.0,-14.416703460571929
2019-01-01 04:14:00,599588109.1839195,68836.34761982822,68836347.61982821,0.0004601425628434,1.597633029930098,0.597633029930098,60.0,-14.416241493816536
2019-01-01 04:15:00,599588169.1839195,67971.40190124472,67971401.90124473,0.0004543607578315,1.5959622759262277,0.5959622759262277,60.0,-14.415761976391513
2019-01-01 04:16:00,599588229.1839195,67106.48607342823,67106486.07342823,0.0004485791526271,1.5942751296642186,0.5942751296642186,60.0,-14.415263796941629
2019-01-01 04:17:00,599588289.1839195,66241.60130044195,66241601.30044195,0.0004427977550113,1.5925712171959083,0.5925712171959083,60.0,-14.414746216437925
2019-01-01 04:18:00,599588349.1839195,65376.74881866145,65376748.81866145,0.000437016573249,1.5908501511248532,0.5908501511248532,60.0,-14.414208029675017
2019-01-01 04:19:00,599588409.1839195,64511.92992648036,64511929.92648035,0.0004312356160192,1.5891115299121237,0.5891115299121237,60.0,-14.413648203018116
2019-01-01 04:20:00,599588469.1839195,63647.14599147232,63647145.991472326,0.0004254548924637,1.5873549371732714,0.5873549371732714,60.0,-14.413065583467445
2019-01-01 04:21:00,599588529.1839195,62782.39845819544,62782398.45819544,0.0004196744122387,1.5855799409308924,0.5855799409308924,60.0,-14.412458887947894
