E_GeV,E2dNdE_rel
0.31385012502790444,5.249065280127047e-07
0.4031881845113509,8.94650017370609e-07
0.5013071228022965,5.061270831205884e-06
0.6370295257155164,5.531651068255271e-06
0.8007287916484755,4.177299176331532e-05
0.9848083436644691,2.619815936623468e-05
1.265135988518102,9.090830942804043e-05
1.6076551520476925,3.822085343690279e-05
2.0207788105907563,6.963346093748972e-05
2.512550839218801,3.5756415900647385e-05
3.192791398008724,2.397041646255337e-05
3.969781682425804,5.101933347938845e-05
5.044548595706228,7.063038568042224e-06
6.410294713963102,6.410932056273363e-07
7.970289117639419,3.8768051780547546e-06
10.018436691906942,1.7039952336833683e-06
12.73079851445344,8.94650017370609e-07
16.1774971285226,3.845906958757803e-07
20.114415181761743,1.990719065892036e-06
25.283272930116123,1.0686698942771222e-06
32.12839122088382,1.0839697723140381e-07
39.947081739828114,4.6971883357389754e-07
