z,delta_mu_fit,delta_D_over_D,D_L_TFGR_Mpc,D_L_eff_Mpc,H_TFGR_km_s_Mpc,H_eff_km_s_Mpc,Omega_extra
0.0,-0.0,0.0,0.0,0.0,57.15333178466041,56.939005618700456,-0.004990402702259491
0.0037593984962406013,-6.393685246730702e-09,-2.9444008342593975e-09,19.86821330539434,19.868213246894356,57.153331784781834,57.15226228248527,-2.4948999054166573e-05
0.007518796992481203,-8.090446273694159e-08,-3.725788122466156e-08,39.73642661078868,39.73642513029362,57.15333178490325,57.15415086292065,1.9107499237068215e-05
0.011278195488721804,-3.550358651995284e-07,-1.6350004472531765e-07,59.900426046334374,59.90041625261204,57.153331785027184,57.1523324058121,-2.3313205093584157e-05
0.015037593984962405,-1.0099119703328436e-06,-4.650815415008225e-07,80.06591935122425,80.06588211404306,57.15333178515113,57.15426549464305,2.1781650730283254e-05
0.018796992481203006,-2.265338396332799e-06,-1.0432263402027075e-06,100.52570491691814,100.5256000458549,57.15333178527755,57.15259422185479,-1.7205687760758096e-05
0.022556390977443608,-4.372587938043008e-06,-2.0136491334366013e-06,120.98847822130041,120.98823459295609,57.153331785404,57.15467609967411,3.1360384936380464e-05
0.02631578947368421,-7.6089768350321265e-06,-3.504057187408982e-06,141.74404991713828,141.7435532378814,57.15333178553289,57.153269322462265,-1.4571308771820088e-06
0.03007518796992481,-1.2273529656618624e-05,-5.65215331171931e-06,162.50410322100865,162.50318472290346,57.15333178566182,57.15563019611262,5.3618145477360356e-05
0.03383458646616541,-1.8683388417413806e-05,-8.603981316857023e-06,183.55546104698732,183.55388173922987,57.15333178579317,57.154625840523046,3.0187908822213382e-05
0.03759398496240601,-2.7170768806135134e-05,-1.2512523161367639e-05,204.61279435034257,204.61023412801416,57.153331785924564,57.157412349123256,9.519432974127772e-05
0.041353383458646614,-3.808033894939292e-05,-1.753649039415439e-05,225.95993830645773,225.95597576217014,57.15333178605835,57.156961307957936,8.467177798621026e-05
0.045112781954887216,-5.176693625984022e-05,-2.3839270988479377e-05,247.3145516092935,247.3086558106783,57.1533317861922,57.16033015973644,0.00016326728724648927
0.04887218045112782,-6.859356203777165e-05,-3.158800377323079e-05,268.9574816955418,268.94898586559515,57.1533317863284,57.160590918124626,0.00016935098592966825
0.05263157894736842,-8.892960893479247e-05,-4.095275978466262e-05,290.6093749978548,290.5974737419293,57.15333178646467,57.164704286252395,0.0002653228246877656
0.05639097744360902,-0.00011314928677428441,-5.210581464676345e-05,312.54809121423193,312.53180564132293,57.15333178660327,57.16583895858536,0.0002917978631347403
0.06015037593984962,-0.00014163021949720078,-6.52209994445041e-05,334.49726451601765,334.47544827011444,57.153331786741944,57.17086104254951,0.0004089832696118552
0.06390977443609022,-0.00017475219126881182,-8.047311998149453e-05,356.73176686252003,356.70305954424407,57.153331786882916,57.173032388862204,0.0004596526931357644
0.06766917293233082,-0.00021289602370490324,-9.803743612457616e-05,378.9782201637749,378.941066110723,57.15333178702397,57.17912681284231,0.0006018793309098031
0.07142857142857142,-0.00025644256916875814,-0.00011808919431754994,401.50850864039865,401.4610948241017,57.15333178716762,57.18249597701616,0.000680512609674317
0.07518796992481203,-0.0003057718074214353,-0.00014080320742304586,424.0522419411188,423.99253402533856,57.15333178731139,57.18982381760991,0.0008515538568905626
0.07894736842105263,-0.00036126203475681033,-0.0001663534769047459,446.8783165478594,446.8039767861483,57.153331787457496,57.19454861686951,0.000961848383724605
0.08270676691729323,-0.00042328913624276255,-0.00019491285304895634,469.7193298480402,469.62777551332726,57.15333178760372,57.203266917545996,0.001165390125734399
0.08646616541353383,-0.0004922259329074302,-0.00022665272948785287,492.8411905848941,492.729486783844,57.15333178775215,57.20950056248549,0.001310942891458562
0.09022556390977443,-0.0005684415967168395,-0.0002617427687506835,515.9794838845321,515.8444299858016,57.153331787900704,57.21976123114422,0.0015505593655702147
0.09398496240601503,-0.000652301127032961,-0.0003003506559580149,539.3971307514946,539.2351224694515,57.15333178805142,57.227651386655054,0.0017348466851905072
0.09774436090225563,-0.0007441648829533351,-0.00034264187810273405,562.8327040505849,562.6398539958113,57.15333178820227,57.23960039798498,0.0020139835160550637
0.10150375939849623,-0.0008443881665403582,-0.0003887795266414029,586.5461370476527,586.3180999181379,57.153331788355246,57.24928851631784,0.002240347166282344
0.10526315789473684,-0.0009533208524698886,-0.00043892412135915215,610.278990346192,610.0111241765703,57.15333178850837,57.263065358145234,0.002562310139569769
0.10902255639097744,-0.0010713070600802117,-0.0004932334536794647,634.2882094733604,633.9753573091738,57.15333178866357,57.27468623014561,0.0028339486156263942
0.11278195488721804,-0.0011986848641956072,-0.0005518624477713896,658.3183427713441,657.9550415992895,57.15333178881893,57.29042354554383,0.003201897033669801
0.11654135338345864,-0.0013357860414432783,-0.0006149630379643778,682.6233480286095,682.2035599007204,57.15333178897653,57.30410502690651,0.003521860888550431
0.12030075187969924,-0.0014829358490859757,-0.0006826840611197094,706.9507613260338,706.4681373092801,57.15333178913432,57.32192841332415,0.003938804576201452
0.12406015037593984,-0.0016404528336612565,-0.000755171162731938,731.5515527133912,730.9991060767303,57.15333178929445,57.33779129103892,0.004309995003584344
0.12781954887218044,-0.0018086486669573148,-0.0008325667156423577,756.1762460102509,755.5466788366634,57.15333178945479,57.35781922493977,0.004778794205176846
0.13157894736842105,-0.001987828007068518,-0.0009150097503436427,781.0728235276965,780.3581342784403,57.1533317896171,57.37597719546805,0.005203964179757869
0.13533834586466165,-0.0021782883824649534,-0.0010026358959421833,805.994796823988,805.1866775087497,57.153331789779585,57.398321056742844,0.005727331726591692
0.13909774436090225,-0.002380320097182101,-0.0010955773309239136,831.1871604715177,830.27653066075,57.15333178994401,57.41888079265195,0.0062090891406836705
0.14285714285714285,-0.002594206155391687,-0.0011939627429373711,856.4064137672368,855.3838964163862,57.15333179010863,57.443644967616116,0.006789594378629884
