z,H_eff_km_s_Mpc,Omega_extra
0.0,70.06221492542505,0.0016783592360108757
0.007537688442211055,70.30226649044576,0.0017165988785786419
0.01507537688442211,70.54510225366174,0.0017554149873340757
0.022613065326633167,70.79072042756967,0.0017948118749917992
0.03015075376884422,71.03911892257592,0.0018347938542664323
0.03768844221105527,71.29029535301586,0.0018753652378725974
0.04522613065326633,71.54424704322021,0.0019165303385249148
0.052763819095477386,71.80097103362225,0.001958293468938004
0.06030150753768844,72.06046408689936,0.0020006589418264885
0.0678391959798995,72.32272269414304,0.0020436310699049865
0.07537688442211055,72.58774308105093,0.0020872141658881222
0.0829145728643216,72.8555212141352,0.0021314125424905144
0.09045226130653267,73.12605280694132,0.002176230512426783
0.09798994974874371,73.39933332627176,0.002221672388411552
0.10552763819095477,73.67535799840864,0.00226774248315944
0.11306532663316582,73.95412181533071,0.0023144451093850696
0.12060301507537688,74.23561954091855,0.0023617845798030606
0.12814070351758794,74.5198457171438,0.0024097652071280334
0.135678391959799,74.806794670237,0.0024583913040746113
0.14321608040201003,75.09646051682938,0.002507667183357412
0.1507537688442211,75.38883717006446,0.00255759715769106
0.15829145728643215,75.68391834567447,0.0026081855397901738
0.1658291457286432,75.98169756801794,0.0026594366423693745
0.17336683417085427,76.28216817607428,0.0027113547781432846
0.18090452261306533,76.5853233293913,0.0027639442598265227
0.18844221105527637,76.89115601398228,0.002817209400133713
0.19597989949748743,77.1996590481691,0.0028711545117794737
0.20351758793969849,77.51082508836777,0.002925783907478426
0.21105527638190955,77.82464663481394,0.002981101899945193
0.2185929648241206,78.14111603722453,0.003037112801894395
0.22613065326633164,78.46022550039349,0.0030938209260406484
0.2336683417085427,78.78196708971852,0.003151230585098581
0.24120603015075376,79.10633273665678,0.0032093460917828084
0.24874371859296482,79.43331424410692,0.003268171758807956
0.2562814070351759,79.76290329171539,0.0033277118988886407
0.2638190954773869,80.09509144110541,0.0033879708247394873
0.271356783919598,80.42987014102629,0.0034489528490751157
0.27889447236180903,80.76723073242194,0.0035106622846101418
0.28643216080402006,81.10716445341677,0.0035731034440591933
0.29396984924623115,81.44966244421767,0.00363628064013689
0.3015075376884422,81.794715751931,0.003700198185557848
0.30904522613065327,82.14231533529357,0.0037648603930366953
0.3165829145728643,82.49245206931637,0.0038302715752880456
0.32412060301507534,82.84511674984063,0.0038964360450265273
0.3316582914572864,83.2003000980053,0.003963358114966753
0.33919597989949746,83.55799276462547,0.004031042097823353
0.34673366834170855,83.91818533448142,0.0040994923063109425
0.3542713567839196,84.28086833051778,0.004168713053144139
0.36180904522613067,84.6460322179528,0.004238708651037574
0.3693467336683417,85.01366740829734,0.004309483412705861
0.37688442211055273,85.38376426328415,0.0043810416508636195
0.3844221105527638,85.75631309870677,0.004453387678225475
0.39195979899497485,86.13130418816884,0.004526525807506046
0.39949748743718594,86.508727766744,0.004600460351419955
0.40703517587939697,86.88857403454637,0.004675195622681822
0.414572864321608,87.27083316021263,0.004750735934006268
0.4221105527638191,87.65549528429567,0.004827085598107916
0.4296482412060301,88.04255052257082,0.004904248927701382
0.4371859296482412,88.4319889692551,0.004982230235501292
0.44472361809045224,88.82380070014015,0.0050610338342222646
0.4522613065326633,89.21797577563989,0.00514066403657892
0.45979899497487436,89.61450424375344,0.0052211251552858814
0.4673366834170854,90.01337614294448,0.005302421503057767
0.4748743718592965,90.4145815049376,0.005384557392609202
0.4824120603015075,90.81811035743304,0.005467537136654803
0.48994974874371855,91.22395272674068,0.005551365047909193
0.49748743718592964,91.6320986403341,0.005636045439086994
0.5050251256281407,92.04253812932623,0.005721582622902824
0.5125628140703518,92.45526123086735,0.005807980912071307
0.5201005025125628,92.87025799046692,0.005895244619307062
0.5276381909547738,93.28751846424005,0.005983378057324709
0.5351758793969849,93.70703272108017,0.0060723855388388715
0.542713567839196,94.12879084475891,0.006162271376564173
0.550251256281407,94.55278293595448,0.006253039883215224
0.5577889447236181,94.9789991142099,0.006344695371506656
0.5653266331658291,95.40742951982217,0.006437242154153088
