z,H_z_TFGR,q_z_TFGR,j_z_TFGR
0.0,57.15333178466041,9.834445750183718e-10,3.994732013817281e-09
0.007537688442211,57.15333178490386,1.0061427215274011e-09,4.032804120928085e-09
0.0150753768844221,57.153331785152375,1.028731279218512e-09,4.062128918116631e-09
0.0226130653266331,57.1533317854059,1.0511931814796022e-09,4.088792625554456e-09
0.0301507537688442,57.15333178566441,1.0735116149708191e-09,4.112764894095947e-09
0.0376884422110552,57.15333178592787,1.0956700587013623e-09,4.134022136214725e-09
0.0452261306532663,57.15333178619623,1.1176523230838319e-09,4.152547755930083e-09
0.0527638190954773,57.153331786469465,1.1394425889467655e-09,4.168332367724615e-09
0.0603015075376884,57.15333178674752,1.161025446370436e-09,4.1813739951994156e-09
0.0678391959798995,57.15333178703035,1.1823859332045812e-09,4.1888841039827015e-09
0.0753768844221105,57.15333178731861,1.203470126389006e-09,4.192024675474266e-09
0.0829145728643216,57.153331787611805,1.2242815576838603e-09,4.194303992990515e-09
0.0904522613065326,57.153331787909664,1.2448161463283414e-09,4.194463166299943e-09
0.0979899497487437,57.15333178821213,1.2650600878710372e-09,4.1917979029784355e-09
0.1055276381909547,57.15333178851914,1.2850001895124143e-09,4.186346851508562e-09
0.1130653266331658,57.15333178883064,1.3046239059441331e-09,4.175441176194937e-09
0.1206030150753768,57.153331789147,1.3238825904177874e-09,4.156560513464139e-09
0.1281407035175879,57.15333178946849,1.3427316806464787e-09,4.13632359117529e-09
0.135678391959799,57.15333178979429,1.3612134399535064e-09,4.117318368012875e-09
0.14321608040201,57.15333179012435,1.3793171442440923e-09,4.095623724412781e-09
0.1507537688442211,57.15333179045858,1.397032867334126e-09,4.070227189933272e-09
0.1582914572864321,57.15333179079706,1.4143371571527702e-09,4.031507680283152e-09
0.1658291457286432,57.15333179114085,1.4310958241991544e-09,3.9895073330855046e-09
0.1733668341708542,57.15333179148862,1.4474200645422996e-09,3.954155693719342e-09
0.1809045226130653,57.15333179184029,1.4633022776251114e-09,3.916367389152327e-09
0.1884422110552763,57.15333179219581,1.4787357893156363e-09,3.869149520208605e-09
0.1959798994974874,57.15333179255576,1.4936246504773691e-09,3.809384655564143e-09
0.2035175879396984,57.15333179292024,1.507926041424354e-09,3.752336689737318e-09
0.2110552763819095,57.15333179328834,1.5217383537395647e-09,3.701313039140874e-09
0.2185929648241206,57.15333179365996,1.5350576764546854e-09,3.6436203214995065e-09
0.2261306532663316,57.1533317940354,1.5478236647539814e-09,3.5666563825084043e-09
0.2336683417085427,57.153331794415465,1.5598793901386555e-09,3.489797635531017e-09
0.2412060301507537,57.15333179479883,1.571407187041467e-09,3.4261138408432507e-09
0.2487437185929648,57.1533317951854,1.5824061915418515e-09,3.3526570103077616e-09
0.2562814070351759,57.153331795575646,1.5927784242296912e-09,3.2581354620368695e-09
0.2638190954773869,57.1533317959701,1.602390475934651e-09,3.167272315110084e-09
0.271356783919598,57.1533317963675,1.6114450067430923e-09,3.0918269065377877e-09
0.278894472361809,57.15333179676778,1.619944411443756e-09,2.994752360947627e-09
0.28643216080402,57.153331797172,1.627650994298166e-09,2.8825273931428257e-09
0.2939698492462311,57.15333179757953,1.634649994180625e-09,2.7866186765847445e-09
0.3015075376884422,57.15333179798968,1.6410719885940103e-09,2.69443791519736e-09
0.3090452261306532,57.15333179840268,1.6468511438472326e-09,2.5691524723892405e-09
0.3165829145728643,57.15333179881959,1.6516935009523723e-09,2.445622952892665e-09
0.3241206030150753,57.15333179923886,1.655941939035982e-09,2.350798468877725e-09
0.3316582914572864,57.15333179966043,1.6596045809260815e-09,2.218600924128398e-09
0.3391959798994974,57.15333180008568,1.6622701994627035e-09,2.075829014820244e-09
0.3467336683417085,57.15333180051329,1.6642600271905984e-09,1.9666119376755725e-09
0.3542713567839196,57.15333180094295,1.665654735712093e-09,1.8308878193195373e-09
0.3618090452261306,57.15333180137571,1.6660993564454255e-09,1.6753690017070817e-09
0.3693467336683417,57.15333180181087,1.6657573516498407e-09,1.5492130788108223e-09
0.3768844221105527,57.15333180224783,1.6648163001695887e-09,1.40630428262009e-09
0.3844221105527638,57.1533318026875,1.6629269280393364e-09,1.2382915936512208e-09
0.3919597989949748,57.15333180312942,1.6601923218764624e-09,1.1000326124875213e-09
0.3994974874371859,57.15333180357288,1.6568602163256027e-09,9.453040758770738e-10
0.4070351758793969,57.153331804018826,1.652527444182327e-09,7.651317739182053e-10
0.414572864321608,57.153331804466696,1.6473524055142546e-09,6.207632199398623e-10
0.4221105527638191,57.15333180491589,1.641586884420317e-09,4.48575722586032e-10
0.4296482412060301,57.15333180536742,1.6347056440242486e-09,2.5665620602326344e-10
0.4371859296482412,57.15333180582043,1.6270556073375875e-09,1.1333689818314923e-10
0.4447236180904522,57.15333180627455,1.618827475690867e-09,-8.296026097601395e-11
0.4522613065326633,57.15333180673096,1.6092978222046336e-09,-2.86141088471606e-10
0.4597989949748743,57.15333180718834,1.5991516391940927e-09,-4.3780517183116457e-10
0.4673366834170854,57.15333180764689,1.5882621235870106e-09,-6.483404288483679e-10
0.4748743718592965,57.15333180810714,1.57617284579532e-09,-8.441634412169743e-10
0.4824120603015075,57.15333180856811,1.5635227407047523e-09,-1.0252544579709489e-09
0.4899497487437185,57.15333180903037,1.5498462979624567e-09,-1.2461428227374322e-09
0.4974874371859296,57.15333180949364,1.5352328001431611e-09,-1.4211447026025705e-09
0.5050251256281407,57.153331809957486,1.5200841082900443e-09,-1.6441886394708077e-09
0.5125628140703518,57.15333181042261,1.503537246696929e-09,-1.874775075821245e-09
0.5201005025125628,57.15333181088819,1.486413221309585e-09,-2.056356291489882e-09
0.5276381909547738,57.15333181135444,1.4684023423939375e-09,-2.2932920426867397e-09
0.5351758793969849,57.15333181182135,1.4492912372037323e-09,-2.4936413613449526e-09
0.542713567839196,57.15333181228854,1.4296828732998335e-09,-2.724988006402177e-09
0.550251256281407,57.15333181275636,1.408691847459856e-09,-2.9704598500882573e-09
0.5577889447236181,57.15333181322434,1.387097929687027e-09,-3.1697673342611454e-09
0.5653266331658291,57.1533318136926,1.3645931513198923e-09,-3.420829258041475e-09
0.5728643216080401,57.15333181416099,1.3410103944085143e-09,-3.6268619406528796e-09
0.5804020100502513,57.15333181462946,1.316977761492499e-09,-3.883200112229421e-09
0.5879396984924623,57.15333181509788,1.291406153926567e-09,-4.141349257417205e-09
0.5954773869346733,57.15333181556623,1.2654009695809875e-09,-4.357568120368753e-09
0.6030150753768844,57.15333181603437,1.2382757372983572e-09,-4.620632971246588e-09
0.6105527638190954,57.153331816502245,1.2103015146128535e-09,-4.843018098300357e-09
0.6180904522613065,57.15333181696987,1.1816143992405454e-09,-5.110474237169758e-09
0.6256281407035176,57.153331817436886,1.1516795707693496e-09,-5.344362230440499e-09
0.6331658291457286,57.15333181790371,1.1213728987410472e-09,-5.610579411853149e-09
0.6407035175879396,57.15333181836956,1.089538472494496e-09,-5.883398891579876e-09
0.6482412060301507,57.15333181883507,1.0573030301366195e-09,-6.120655320031929e-09
0.6557788944723618,57.15333181929963,1.0238864143932367e-09,-6.39692613573288e-09
0.6633165829145728,57.15333181976348,9.897387276884602e-10,-6.639802023110482e-09
0.6708542713567839,57.153331820226505,9.54736498205097e-10,-6.919137222571964e-09
0.6783919597989949,57.15333182068835,9.186962580108655e-10,-7.167413506630218e-09
0.685929648241206,57.15333182114958,8.821067697650155e-10,-7.449416631965807e-09
0.6934673366834171,57.1533318216091,8.441967938980152e-10,-7.702856050891323e-09
0.7010050251256281,57.153331822068274,8.060202459114721e-10,-7.987122491933146e-09
0.7085427135678392,57.153331822525125,7.66266429887877e-10,-8.27112508291567e-09
0.7160804020100502,57.15333182298159,7.262785560822558e-10,-8.531814152169431e-09
0.7236180904522613,57.15333182343584,6.849361864679061e-10,-8.81838592555285e-09
0.7311557788944724,57.1533318238893,6.431591206919432e-10,-9.08255628306379e-09
0.7386934673366834,57.1533318243407,6.002420029737144e-10,-9.370412699266428e-09
0.7462311557788944,57.15333182479086,5.567083573714748e-10,-9.638627122210924e-09
0.7537688442211055,57.153331825239135,5.122247182525442e-10,-9.927360535553746e-09
0.7613065326633166,57.15333182568572,4.669698021766517e-10,-1.0199291896613999e-08
0.7688442211055276,57.15333182613058,4.209300389438981e-10,-1.0488494864703939e-08
0.7763819095477387,57.153331826573314,3.739917490175423e-10,-1.0763796830558091e-08
0.7839195979899497,57.15333182701451,3.2640849512617247e-10,-1.1053064069915427e-08
0.7914572864321607,57.15333182745314,2.7782719212806637e-10,-1.1331371026568947e-08
0.7989949748743719,57.153331827890405,2.2871538248506638e-10,-1.1620301456319423e-08
0.8065326633165829,57.15333182832469,1.7853375493050355e-10,-1.1901228406934952e-08
0.8140703517587939,57.15333182875774,1.2791069128677012e-10,-1.2189427304304123e-08
0.821608040201005,57.15333182918745,7.617360538238518e-11,-1.2472569849799766e-08
0.829145728643216,57.15333182961604,2.405902131275314e-11,-1.2759651125010995e-08
0.8366834170854272,57.15333183004096,-2.9186643076337034e-11,-1.3044585457843268e-08
0.8442211055276382,57.15333183046479,-8.27705175225576e-11,-1.3330174008429048e-08
0.8517587939698492,57.15333183088474,-1.374760449094718e-10,-1.3616456917792893e-08
0.8592964824120602,57.153331831303554,-1.925044187946432e-10,-1.3900191104866631e-08
0.8668341708542713,57.153331831718326,-2.4861945047281824e-10,-1.4187360044536467e-08
0.8743718592964824,57.15333183213187,-3.050649081151331e-10,-1.4468894282429153e-08
0.8819095477386935,57.153331832541305,-3.6253764919534005e-10,-1.4756467477273514e-08
0.8894472361809045,57.153331832949306,-4.20370086980348e-10,-1.5035474888394483e-08
0.8969849246231155,57.15333183335326,-4.791475279328468e-10,-1.5322951428065403e-08
0.9045226130653266,57.15333183375547,-5.383340914883613e-10,-1.559912662378683e-08
0.9120603015075376,57.15333183415381,-5.983622445519341e-10,-1.58859866428722e-08
0.9195979899497488,57.15333183454995,-6.588672667764285e-10,-1.6159048608829165e-08
0.9271356783919598,57.15333183494256,-7.200914174020991e-10,-1.644475350581977e-08
0.9346733668341708,57.1533318353324,-7.818763574370901e-10,-1.6714448554956486e-08
0.9422110552763818,57.15333183571916,-8.442413306390499e-10,-1.6998441203585626e-08
0.949748743718593,57.15333183610244,-9.072647135124236e-10,-1.726454602695997e-08
0.957286432160804,57.15333183648328,-9.707151552402912e-10,-1.7546251060819326e-08
0.964824120603015,57.15333183685976,-1.0349325125429516e-09,-1.7808575873334817e-08
0.972361809045226,57.153331837234624,-1.0994131861579423e-09,-1.8087400018085477e-08
0.9798994974874372,57.153331837604064,-1.1647769979010028e-09,-1.8345791782270552e-08
0.9874371859296482,57.15333183797289,-1.2302330957042608e-09,-1.8621124200063503e-08
0.9949748743718592,57.153331838335056,-1.296692733228836e-09,-1.88863434613703e-08
1.0025125628140703,57.15333183869722,-1.3631523707534112e-09,-1.9146764789267957e-08
1.0100502512562817,57.15333183905248,-1.430571873170352e-09,-1.9420061558590926e-08
1.0175879396984924,57.15333183940714,-1.498073543424763e-09,-1.966361677813942e-08
1.0251256281407035,57.15333183975609,-1.5663044503001363e-09,-1.9932035101013692e-08
1.0326633165829144,57.15333184010304,-1.6347911413574191e-09,-2.0170899549874344e-08
1.0402010050251256,57.15333184044568,-1.7037786783386675e-09,-2.043377197501689e-08
1.0477386934673367,57.15333184078469,-1.773190106646711e-09,-2.0667959008631097e-08
1.0552763819095476,57.15333184112106,-1.8428812715284054e-09,-2.0924602254640702e-08
1.0628140703517588,57.15333184145194,-1.9131538302890434e-09,-2.1154179358747202e-08
1.0703517587939697,57.15333184178206,-1.983497779707054e-09,-2.1403894953934666e-08
1.0778894472361809,57.1533318421046,-2.054564489381976e-09,-2.164528744799278e-08
1.085427135678392,57.153331842427136,-2.125631199056898e-09,-2.1871180512510863e-08
1.092964824120603,57.15333184274255,-2.1973034001469678e-09,-2.2114702898880453e-08
1.100502512562814,57.15333184305656,-2.269093860581914e-09,-2.2325846619009608e-08
1.108040201005025,57.15333184336566,-2.3412513865253784e-09,-2.256085355154528e-08
1.115577889447236,57.15333184367098,-2.4136917307319674e-09,-2.2767326538328444e-08
1.1231155778894473,57.15333184397387,-2.4862891643347503e-09,-2.2993070817782486e-08
1.1306532663316582,57.153331844270326,-2.559302014749562e-09,-2.3197601052236987e-08
1.1381909547738691,57.15333184456679,-2.632314865164376e-09,-2.341091982077803e-08
1.1457286432160805,57.15333184485453,-2.705802167295781e-09,-2.362762484530413e-08
1.1532663316582914,57.15333184514196,-2.7793065936841747e-09,-2.381410614267538e-08
1.1608040201005023,57.15333184542355,-2.853070308937134e-09,-2.401984825827983e-08
1.1683417085427137,57.15333184570182,-2.926981788793172e-09,-2.420213936242085e-08
1.1758793969849246,57.1533318459774,-3.000985657192724e-09,-2.4396129003120377e-08
1.1834170854271355,57.15333184624637,-3.075216038427854e-09,-2.4577283117290002e-08
1.190954773869347,57.15333184651533,-3.1494464196629862e-09,-2.4756211083343987e-08
1.1984924623115578,57.15333184677561,-3.2238864376263812e-09,-2.49381028254536e-08
1.2060301507537687,57.15333184703516,-3.298343903607766e-09,-2.509990513267329e-08
1.21356783919598,57.15333184728959,-3.3728720498188e-09,-2.5268245147817857e-08
1.2211055276381908,57.15333184753962,-3.447461087177016e-09,-2.5426991215723705e-08
1.228643216080402,57.15333184778839,-3.522054381169363e-09,-2.558095534930418e-08
1.236180904522613,57.1533318480288,-3.596675750037973e-09,-2.5734348488519842e-08
1.243718592964824,57.15333184826922,-3.6712971189065805e-09,-2.5876162468292364e-08
1.2512562814070352,57.15333184850279,-3.7458685745150786e-09,-2.6014778200725924e-08
