z,Omega_TF_z,H_tfgr,q_tfgr,j_tfgr,H_lcdm,q_lcdm,j_lcdm
0.0,0.7,70.00349991250437,-0.5498446259025563,1.0000562850097752,70.0,-0.5497996098072171,1.0
0.005012531328320802,0.7,70.16207059583178,-0.5451041438675619,1.0001254632692376,70.15857859374348,-0.5450588599681695,1.0
0.010025062656641603,0.7,70.32186834314491,-0.5403588149118967,1.0001850847271727,70.31838427659302,-0.5403132663582157,1.0
0.015037593984962405,0.7,70.4828926990859,-0.5356096664290201,1.0001883253077481,70.47941659258294,-0.5355638573020727,1.0
0.020050125313283207,0.7,70.64514314859258,-0.5308571599766636,1.0001915945335975,70.64167502604349,-0.5308110943925094,1.0
0.02506265664160401,0.7,70.8086191176666,-0.5261017538401918,1.0001948921386865,70.80515900236917,-0.5260554359481072,1.0
0.03007518796992481,0.7,70.97331997414622,-0.5213439029087767,1.0001982178301656,70.96986788879168,-0.521297336889472,1.0
0.03508771929824561,0.7,71.13924502848344,-0.5165840585551442,1.000201571336546,71.13580099515717,-0.5165372486187413,1.0
0.040100250626566414,0.7,71.30639353452511,-0.5118226685186065,1.0002049523917715,71.30295757470769,-0.5117756189030412,1.0
0.045112781954887216,0.7,71.47476469029787,-0.507060176792336,1.000208360697966,71.47133682486603,-0.5070128917615621,1.0
0.05012531328320802,0.7,71.64435763879605,-0.5022970235141657,1.0002117959461938,71.64093788802401,-0.502249507356203,1.0
0.05513784461152882,0.7,71.81517146877276,-0.4975336448610903,1.0002152578370476,71.8117598523336,-0.4974859018863008,1.0
0.06015037593984962,0.7,71.98720521553325,-0.492770472947319,1.0002187460849858,71.98380175250053,-0.4927225074866619,1.0
0.06516290726817042,0.7,72.16045786173086,-0.48800793572619805,1.000222260375693,72.15706257058027,-0.4879597521295156,1.0
0.07017543859649122,0.7,72.3349283381645,-0.4832464568961341,1.0002258003836648,72.33154123677578,-0.48319805953032435,1.0
0.07518796992481203,0.7,72.5106155245778,-0.47848645580980964,1.0002293657939172,72.50723663023673,-0.4784378490571255,1.0
0.08020050125313283,0.7,72.68751825045946,-0.47372834738735214,1.0002329562939984,72.68414757986007,-0.47367953564370957,1.0
0.08521303258145363,0.7,72.86563529584444,-0.46897254203306116,1.000236571564742,72.86227286509124,-0.468923529706328,1.0
0.09022556390977443,0.7,73.0449653921158,-0.46421944555607364,1.0002402112645299,73.04161121672628,-0.46417023706439575,1.0
0.09523809523809523,0.7,73.22550722280651,-0.4594694590946168,1.0002438750640912,73.22216131771371,-0.4594200588648355,1.0
0.10025062656641603,0.7,73.40725942440152,-0.4547229790436955,1.0002475626427527,73.40392180395666,-0.4546733915096399,1.0
0.10526315789473684,0.7,73.59022058713913,-0.44998039698668324,1.0002512736627707,73.58689126511456,-0.44993062658750216,1.0
0.11027568922305764,0.7,73.77438925581195,-0.44524209963049943,1.0002550077764196,73.77106824540405,-0.4451921508092507,1.0
0.11528822055137844,0.7,73.95976393056664,-0.44050846874433414,1.0002587646477232,73.95645124439886,-0.44045834594632716,1.0
0.12030075187969924,0.7,74.14634306770247,-0.43577988110177046,1.000262543944612,74.1430387178286,-0.43572958877295065,1.0
0.12531328320802004,0.7,74.33412508046845,-0.43105670842665866,1.000266345312522,74.33082907837588,-0.4310062510121976,1.0
0.13032581453634084,0.7,74.52310833985842,-0.42633931734248376,1.0002701684034343,74.5198206964716,-0.42628869928521906,1.0
0.13533834586466165,0.7,74.71329117540418,-0.42162806932491315,1.0002740128827063,74.71001190108812,-0.4215772950639144,1.0
0.14035087719298245,0.7,74.90467187596623,-0.41692332065796,1.0002778784049768,74.90140098053018,-0.416872394627152,1.0
0.14536340852130325,0.7,75.09724869052192,-0.41222542239351956,1.0002817646114124,75.09398618322305,-0.412174349020073,1.0
0.15037593984962405,0.7,75.29101982895074,-0.407534720314241,1.0002856711527226,75.28776571849806,-0.40748350401734,1.0
0.15538847117794485,0.7,75.48598346281635,-0.40285155489945634,1.0002895976937591,75.48273775737458,-0.4028002000889582,1.0
0.16040100250626566,0.7,75.68213772614558,-0.3981762612945152,1.000293543879638,75.67890043333921,-0.39812477236953203,1.0
0.16541353383458646,0.7,75.87948071620359,-0.3935091692834115,1.0002975093530233,75.87625184312093,-0.393457550631061,1.0
