z,rho_SN,rho_SN_norm,rho_SN_fit,log10_1pz,log10_rho_SN
0.0,1.0,1.0,1.0235567763663775,0.0,0.0
0.005012531328320802,0.9994983704249744,0.9994983704249744,1.0224629176363365,0.0021714769334340287,-0.00021790961591769284
0.010025062656641603,0.9989959897175548,0.9989959897175548,1.021375661294025,0.004332150454361219,-0.00043625516444069904
0.015037593984962405,0.998492860489099,0.998492860489099,1.0202949350174482,0.006482127527920371,-0.00065503611253053
0.020050125313283207,0.9979889853290259,0.9979889853290259,1.0192206676290017,0.008621513538471808,-0.0008742519362981946
0.02506265664160401,0.9974843668051068,0.9974843668051068,1.018152789071845,0.010750412320593527,-0.001093902120893658
0.03007518796992481,0.9969790074637508,0.9969790074637508,1.0170912303868762,0.012868926189320975,-0.0013139861603977947
0.03508771929824561,0.9964729098302865,0.9964729098302865,1.0160359236902874,0.014977155969652838,-0.001534503557715824
0.040100250626566414,0.9959660764092376,0.9959660764092376,1.0149868021516881,0.017075201025344478,-0.001755453824472911
0.045112781954887216,0.9954585096845936,0.9954585096845936,1.0139437999727734,0.019163159287009242,-0.001976836480912082
0.05012531328320802,0.9949502121200758,0.9949502121200758,1.0129068523665263,0.02124112727954708,-0.0021986510557935393
0.05513784461152882,0.9944411861593992,0.9944411861593992,1.011875895536935,0.02330920014892012,-0.0024208970862960584
0.06015037593984962,0.9939314342265292,0.9939314342265292,1.010850866659212,0.02536747168829411,-0.0026435741179200835
0.06516290726817042,0.9934209587259333,0.9934209587259333,1.009831703860499,0.02741603436356326,-0.002866681704392915
0.07017543859649122,0.9929097620428295,0.9929097620428295,1.0088183462010432,0.029454979338275632,-0.0030902194075753094
0.07518796992481203,0.9923978465434304,0.9923978465434304,1.0078107336558335,0.03148439649797606,-0.0033141867973696996
0.08020050125313283,0.9918852145751814,0.9918852145751814,1.0068088070966805,0.03350437447398337,-0.003538583451630608
0.08521303258145363,0.991371868466997,0.991371868466997,1.0058125082747293,0.03551500066661717,-0.0037634089560760094
0.09022556390977443,0.9908578105294916,0.9908578105294916,1.0048217798033925,0.0375163612678891,-0.003988662904200751
0.09523809523809523,0.9903430430552072,0.9903430430552072,1.0038365651416907,0.039508541283673655,-0.004214344897191362
0.10025062656641603,0.9898275683188362,0.9898275683188362,1.0028568085779903,0.04149162455537314,-0.004440454543842397
0.10526315789473684,0.9893113885774422,0.9893113885774422,1.0018824552141252,0.04346569378109026,-0.004666991460474228
0.11027568922305764,0.9887945060706748,0.9887945060706748,1.000913450949894,0.045430830536321326,-0.004893955270852416
0.11528822055137844,0.9882769230209826,0.9882769230209826,0.9999497424679206,0.0473871152941834,-0.005121345606108496
0.12030075187969924,0.9877586416338225,0.9877586416338225,0.998991277218869,0.049334627445188246,-0.005349162104661771
0.12531328320802004,0.9872396640978645,0.9872396640978645,0.9980380034070019,0.0512734453165749,-0.005577404412143192
0.13032581453634084,0.9867199925851935,0.9867199925851935,0.9970898699760732,0.0532036461912123,-0.0058060721813199745
0.13533834586466165,0.9861996292515088,0.9861996292515088,0.9961468265955471,0.05512530632608369,-0.006035165072021766
0.14035087719298245,0.9856785762363194,0.9856785762363194,0.9952088236471324,0.05703850097036417,-0.006264682751067942
0.14536340852130325,0.9851568356631354,0.9851568356631354,0.9942758122116249,0.05894330438310195,-0.006494624892196574
0.15037593984962405,0.9846344096396583,0.9846344096396583,0.9933477440560495,0.060839789850513006,-0.0067249911759940184
0.15538847117794485,0.9841113002579666,0.9841113002579666,0.9924245716210941,0.06272802970289995,-0.006955781289826205
0.16040100250626566,0.9835875095946987,0.9835875095946987,0.991506248008825,0.0646080953312049,-0.007186994927770884
0.16541353383458646,0.9830630397112335,0.9830630397112335,0.9905927269706812,0.06648005720320564,-0.007418631790551037
0.17042606516290726,0.9825378926538678,0.9825378926538678,0.9896839628957346,0.06834398487936393,-0.007650691585469516
0.17543859649122806,0.9820120704539902,0.9820120704539902,0.9887799107992129,0.07019994702833507,-0.007883174026344725
0.18045112781954886,0.9814855751282535,0.9814855751282535,0.9878805263112777,0.07204801144214794,-0.008116078833447315
0.18546365914786966,0.9809584086787434,0.9809584086787434,0.9869857656660482,0.0738882450510633,-0.008349405733438208
0.19047619047619047,0.9804305730931451,0.9804305730931451,0.9860955856908689,0.07572071393811834,-0.0085831544593073
0.19548872180451127,0.9799020703449068,0.9799020703449068,0.9852099437958102,0.07754548335336572,-0.008817324750313552
0.20050125313283207,0.9793729023934017,0.9793729023934017,0.9843287979633992,0.07936261772781499,-0.00905191635192575
0.20551378446115287,0.9788430711840859,0.9788430711840859,0.9834521067385731,0.0811721806870835,-0.009286929015764533
0.21052631578947367,0.978312578648655,0.978312578648655,0.9825798292188495,0.08297423506476391,-0.00952236249954537
0.21553884711779447,0.9777814267051985,0.9777814267051985,0.981711925044709,0.08476884291551547,-0.009758216567022075
0.22055137844611528,0.9772496172583511,0.9772496172583511,0.9808483543901841,0.0865560655278861,-0.009994490987931837
0.22556390977443608,0.9767171521994417,0.9767171521994417,0.9799890779536482,0.08833596343687197,-0.010231185537940867
0.23057644110275688,0.9761840334066406,0.9761840334066406,0.9791340569488012,0.09010859643622024,-0.01046829999859083
0.23558897243107768,0.9756502627451047,0.9756502627451047,0.9782832530958463,0.09187402359048182,-0.010705834157246404
0.24060150375939848,0.9751158420671198,0.9751158420671198,0.9774366286128531,0.09363230324682048,-0.01094378780704342
0.24561403508771928,0.9745807732122406,0.9745807732122406,0.9765941462073005,0.09538349304658385,-0.011182160746838381
0.2506265664160401,0.9740450580074301,0.9740450580074301,0.9757557690677992,0.09712764993664168,-0.011420952781157982
0.2556390977443609,0.9735086982671954,0.9735086982671954,0.9749214608559846,0.09886483018049752,-0.011660163720150203
0.2606516290726817,0.972971695793722,0.972971695793722,0.9740911856985796,0.10059508936917916,-0.011899793379535797
0.2656641604010025,0.9724340523770062,0.9724340523770062,0.97326490817962,0.1023184824319131,-0.012139841580560681
0.2706766917293233,0.9718957697949857,0.9718957697949857,0.9724425933328414,0.10403506364658774,-0.012380308149949058
0.2756892230576441,0.971356849813668,0.971356849813668,0.971624206634222,0.10574488665001056,-0.012621192919857343
0.2807017543859649,0.9708172941872569,0.9708172941872569,0.9708097139946772,0.1074480044479645,-0.01286249572782879
0.2857142857142857,0.9702771046582777,0.9702771046582777,0.9699990817529031,0.109144469425068,-0.013104216416748873
0.2907268170426065,0.9697362829576994,0.9697362829576994,0.9691922766683662,0.11083433335444277,-0.013346354834801405
0.2957393483709273,0.9691948308050573,0.9691948308050573,0.9683892659144331,0.1125176474071943,-0.013588910835425136
0.3007518796992481,0.9686527499085712,0.9686527499085712,0.9675900170716396,0.11419446216170961,-0.013831884277271438
0.3057644110275689,0.9681100419652635,0.9681100419652635,0.9667944981210944,0.11586482761277621,-0.01407527502416251
0.3107769423558897,0.967566708661076,0.967566708661076,0.9660026774380138,0.117528793180526,-0.01431908294504989
0.3157894736842105,0.9670227516709835,0.9670227516709835,0.9652145237853866,0.11918640771920867,-0.01456330791397418
0.3208020050125313,0.9664781726591074,0.9664781726591074,0.9644300063077632,0.12083771952579837,-0.014807949810025043
0.3258145363408521,0.9659329732788263,0.9659329732788263,0.9636490945251673,0.12248277634843749,-0.015053008517302045
0.3308270676691729,0.9653871551728863,0.9653871551728863,0.9628717583271287,0.12412162539472082,-0.015298483924875896
0.3358395989974937,0.964840719973509,0.964840719973509,0.9620979679668307,0.12575431333982406,-0.015544375926750434
0.3408521303258145,0.9642936693024977,0.9642936693024977,0.9613276940553749,0.12738088633448022,-0.01579068442182534
0.3458646616541353,0.9637460047713438,0.9637460047713438,0.9605609075561541,0.12900139001280733,-0.01603740931385904
0.3508771929824561,0.9631977279813289,0.9631977279813289,0.9597975797793367,0.13061586949999046,-0.016284550511432787
0.3558897243107769,0.9626488405236288,0.9626488405236288,0.9590376823764567,0.13222436941982124,-0.01653210792791453
0.3609022556390977,0.9620993439794134,0.9620993439794134,0.958281187335108,0.1338269339020987,-0.016780081481424073
0.3659147869674185,0.9615492399199466,0.9615492399199466,0.9575280669737392,0.13542360658989416,-0.017028471094798506
0.37092731829573933,0.9609985299066843,0.9609985299066843,0.9567782939365493,0.13701443064668253,-0.017277276695557883
0.37593984962406013,0.9604472154913717,0.9604472154913717,0.956031841188481,0.1385994487633437,-0.017526498215872
0.38095238095238093,0.9598952982161384,0.9598952982161384,0.9552886820103055,0.1401787031650368,-0.01777613559252715
0.38596491228070173,0.9593427796135928,0.9593427796135928,0.9545487899938044,0.14175223561795,-0.018026188766893877
0.39097744360902253,0.9587896612069154,0.9587896612069154,0.9538121390370393,0.143320087435928,-0.01827665768489476
0.39598997493734334,0.9582359445099505,0.9582359445099505,0.9530787033397116,0.1448822994869807,-0.01852754229697299
0.40100250626566414,0.9576816310272964,0.9576816310272964,0.9523484573986076,0.14643891219967506,-0.018778842558061472
0.40601503759398494,0.9571267222543952,0.9571267222543952,0.9516213760031301,0.14798996556941313,-0.019030558427552174
0.41102756892230574,0.9565712196776205,0.9565712196776205,0.9508974342309118,0.149535499164598,-0.01928268986926628
0.41604010025062654,0.9560151247743651,0.9560151247743651,0.9501766074435093,0.15107555213269033,-0.01953523685142425
0.42105263157894735,0.9554584390131264,0.9554584390131264,0.9494588712821781,0.15261016320615833,-0.019788199346617033
0.42606516290726815,0.9549011638535914,0.9549011638535914,0.9487442016637233,0.1541393707083229,-0.020041577331777184
0.43107769423558895,0.9543433007467197,0.9543433007467197,0.9480325747764274,0.15566321255909982,-0.02029537078815084
0.43609022556390975,0.9537848511348272,0.9537848511348272,0.9473239670760518,0.15718172628064178,-0.020549579701269628
0.44110275689223055,0.9532258164516669,0.9532258164516669,0.9466183552819112,0.15869494900288225,-0.020804204060923516
0.44611528822055135,0.9526661981225094,0.9526661981225094,0.9459157163730182,0.16020291746898316,-0.021059243861133753
0.45112781954887216,0.9521059975642223,0.9521059975642223,0.9452160275842988,0.16170566804068795,-0.02131469910012643
0.45614035087719296,0.9515452161853487,0.9515452161853487,0.944519266402875,0.16320323670358253,-0.021570569780306345
