z_sn,mu_sn,mu_err,mu_tfgr_interp,C_best,delta_mu_data,weight
0.01012,13.90745,0.19825,33.52258223232309,-19.93570238789104,0.3205701555679532,25.443309920187513
0.01038,14.0496,0.2048,33.57505814554663,-19.93570238789104,0.4102442423444135,23.84185791015625
0.01043,13.9248,0.20035,33.58514966732038,-19.93570238789104,0.27535272057066074,24.912729152732407
0.01082,14.0086,0.18445,33.663863537155684,-19.93570238789104,0.2804388507353561,29.392916498177893
0.01209,13.9791,0.1914,33.9201881902091,-19.93570238789104,-0.005385802318061295,27.29707626475544
0.0122,14.4566,0.1737,33.94238953811137,-19.93570238789104,0.44991284977967005,33.14365221172563
0.01226,14.4674,0.17765,33.95449936423988,-19.93570238789104,0.44860302365116134,31.68615748226229
0.01268,14.4486,0.171,34.03926814713943,-19.93570238789104,0.3450342407516107,34.198556820902155
0.01271,14.2811,0.1749,34.045323060203685,-19.93570238789104,0.17147932768735608,32.690411019806795
0.01291,14.1903,0.1716,34.085689147298716,-19.93570238789104,0.04031324059232588,33.95982416961438
0.01318,14.55605,0.17285,34.140183364877,-19.93570238789104,0.35156902301404536,33.47042540659663
0.01382,14.47835,0.15385,34.269354843581084,-19.93570238789104,0.14469754430995785,42.24788757921612
0.01402,14.64805,0.16195,34.309720930676114,-19.93570238789104,0.2740314572149263,38.127479418071715
0.01447,14.6408,0.16555,34.40054462663992,-19.93570238789104,0.17595776125112117,36.48729179553142
0.01451,14.89705,0.16765,34.408617844058924,-19.93570238789104,0.42413454383211757,35.578930122002824
0.01454,14.99535,0.1656,34.41467275712318,-19.93570238789104,0.5163796307678634,36.46526173306261
0.01472,14.6158,0.14905,34.4510022355087,-19.93570238789104,0.10050015238233811,45.01280107796657
0.01504,14.69915,0.1491,34.51558797486075,-19.93570238789104,0.11926441303029023,44.98261646786599
0.01506,14.6193,0.15445,34.51962458357025,-19.93570238789104,0.035377804320793516,41.92027999393413
0.0152,14.53545,0.1635,34.53755059591141,-19.93570238789104,-0.06639820802037022,37.407999700736
0.0153,14.6705,0.1456,34.549444448021646,-19.93570238789104,0.05675793986939581,47.17123535804854
0.01531,14.59755,0.1613,34.55063383323267,-19.93570238789104,-0.01738144534163233,38.43538761511879
0.01531,14.74935,0.1526,34.55063383323267,-19.93570238789104,0.13441855465836738,42.942856799314285
0.01532,14.9486,0.16405,34.551823218443694,-19.93570238789104,0.3324791694473479,37.157589330792746
0.01567,14.4307,0.15405,34.59345170082951,-19.93570238789104,-0.22704931293847075,42.13825963299051
0.01568,14.7589,0.1525,34.59464108604053,-19.93570238789104,0.09996130185050944,42.99919376511691
0.01572,14.86115,0.1939,34.59939862688463,-19.93570238789104,0.19745376100641288,26.597718288138935
0.01629,15.17685,0.15115,34.66719358391296,-19.93570238789104,0.44535880397807937,43.770720648804634
0.01635,14.8831,0.1518,34.6743298951791,-19.93570238789104,0.14447249271194273,43.39667512033899
0.01662,14.6312,0.14705,34.70644329587673,-19.93570238789104,-0.1395409079856904,46.245549299431964
0.01663,15.01385,0.15025,34.70763268108775,-19.93570238789104,0.241919706803289,44.296665845332654
0.01678,14.92685,0.15925,34.7254734592531,-19.93570238789104,0.1370789286379388,39.43130204623813
0.01697,14.91335,0.1531,34.74807177826255,-19.93570238789104,0.10098060962849154,42.66282587466259
0.01698,14.6697,0.1558,34.74926116347357,-19.93570238789104,-0.1438587755825278,41.19695274379945
0.01705,14.85645,0.1832,34.757586859950734,-19.93570238789104,0.034565527940307206,29.795389103945386
0.01724,14.9294,0.1556,34.78018517896018,-19.93570238789104,0.08491720893085919,41.302925568823895
0.01726,14.9156,0.1511,34.78256394938222,-19.93570238789104,0.06873843850881833,43.79969348974495
0.01732,14.8718,0.1587,34.78970026064837,-19.93570238789104,0.017802127242674715,39.705086499516185
0.0174,15.26595,0.1485,34.79921534233655,-19.93570238789104,0.402437045554489,45.34684669364804
0.01741,15.1,0.1498,34.80040472754757,-19.93570238789104,0.235297660343468,44.56320042210264
0.01752,15.0558,0.1465,34.813487964868834,-19.93570238789104,0.1780144230222067,46.593437314354276
0.01754,14.9841,0.1341,34.81586673529088,-19.93570238789104,0.10393565260015869,55.60866182760092
0.01763,14.9354,0.1562,34.82657120219009,-19.93570238789104,0.04453118570095249,40.98622698828286
0.01908,15.3534,0.14115,34.999032057788476,-19.93570238789104,0.2900703301025658,50.192431508349074
0.0197,15.45455,0.1578,35.072773940871926,-19.93570238789104,0.31747844701911454,40.15928779912646
0.01972,15.27645,0.15785,35.075152711293974,-19.93570238789104,0.13699967659706758,40.133850404484
0.0202,15.02285,0.15165,35.132243201423094,-19.93570238789104,-0.17369081353205296,43.48256658893071
0.02024,15.2868,0.12735,35.13700074226718,-19.93570238789104,0.08550164562385731,61.65979853585726
0.02031,15.30565,0.1353,35.14532643874435,-19.93570238789104,0.09602594914669282,54.62662971721432
0.02038,15.42955,0.14185,35.15365213522151,-19.93570238789104,0.21160025266952864,49.69827555681016
0.0204,15.7067,0.156,35.15603090564356,-19.93570238789104,0.4863714822474794,41.0913872452334
0.02091,15.36595,0.1368,35.21668955140575,-19.93570238789104,0.0849628364852908,53.43524503265962
0.0212,15.4466,0.1437,35.25118172252543,-19.93570238789104,0.13112066536561073,48.426877110503845
0.02171,15.502,0.13615,35.31184036828762,-19.93570238789104,0.12586201960342258,53.94667829397407
0.02189,15.53085,0.1381,35.33324930208604,-19.93570238789104,0.13330308580500194,52.43395811890029
0.02197,15.36745,0.1436,35.342764383774224,-19.93570238789104,-0.03961199588318287,48.49434749885553
0.0221,15.7795,0.13695,35.358226391517526,-19.93570238789104,0.3569759963735155,53.3182549308389
0.02223,15.3918,0.13205,35.373688399260836,-19.93570238789104,-0.0461860113697945,57.3486486722856
0.02249,15.56975,0.1391,35.40461241474744,-19.93570238789104,0.10083997314360182,51.682764986580565
0.02275,15.5348,0.13625,35.43088793275208,-19.93570238789104,0.03961445513896322,53.86751956905984
0.02348,15.66265,0.13895,35.49293187043367,-19.93570238789104,0.10542051745736813,51.79441089101797
0.02349,15.6236,0.1338,35.493781787388215,-19.93570238789104,0.06552060050282549,55.85830758265353
0.02384,15.7013,0.1335,35.523528880797194,-19.93570238789104,0.11347350709384685,56.10963823310749
0.02398,15.8239,0.13525,35.53542771816078,-19.93570238789104,0.22417466973025846,54.667026557924835
0.02401,15.78645,0.12635,35.53797746902441,-19.93570238789104,0.1841749188666295,62.63967669157274
0.02414,15.68035,0.1291,35.549026389433465,-19.93570238789104,0.06702599845757717,59.99948400443757
0.02454,15.6001,0.1278,35.58302306761515,-19.93570238789104,-0.04722067972411104,61.226339081262054
0.02477,15.6593,0.1718,35.60257115756963,-19.93570238789104,-0.007568769678586662,33.88080191792443
0.02482,15.64995,0.13485,35.606820742342336,-19.93570238789104,-0.02116835445129439,54.99182065407547
0.02525,15.82815,0.13295,35.64336717138766,-19.93570238789104,0.12048521650338273,56.57483769032658
0.02529,15.7896,0.1405,35.64676683920583,-19.93570238789104,0.07853554868520973,50.657919732526175
0.02547,15.86575,0.1242,35.66206534438759,-19.93570238789104,0.139387043503449,64.8271319698891
0.02557,15.8607,0.1496,35.670564513933016,-19.93570238789104,0.12583787395802482,44.682433012096425
0.02559,15.5514,0.1259,35.672264347842095,-19.93570238789104,-0.18516195995105456,63.0882585811072
0.0258,16.1648,0.1376,35.690112603887485,-19.93570238789104,0.41038978400355575,52.81571119524067
0.02627,15.98385,0.1362,35.73005870075097,-19.93570238789104,0.1894936871400681,53.907077136714825
0.02639,15.93305,0.1399,35.74025770420548,-19.93570238789104,0.12849468368555783,51.09337262754312
0.02643,15.91835,0.1425,35.74365737202365,-19.93570238789104,0.1103950158673932,49.24592182209911
0.02651,16.06745,0.1248,35.75045670765999,-19.93570238789104,0.2526956802310494,64.20529257067719
0.02673,15.97105,0.16165,35.76915488065992,-19.93570238789104,0.1375975072311224,38.26912937443655
0.02689,15.87545,0.126,35.7827535519326,-19.93570238789104,0.028398835958441282,62.98815822625346
0.02751,15.9978,0.1291,35.83544840311422,-19.93570238789104,0.09805398477682026,59.99948400443757
0.02752,16.0669,0.14255,35.836298320068764,-19.93570238789104,0.1663040678222778,49.21138146067007
0.02752,16.23595,0.1341,35.836298320068764,-19.93570238789104,0.3353540678222764,55.60866182760092
0.02763,16.23455,0.1179,35.84564740656873,-19.93570238789104,0.3246049813223095,71.94032406238377
0.02811,16.3465,0.12485,35.88644342038676,-19.93570238789104,0.3957589675042783,64.1538769230325
0.02837,16.1044,0.12155,35.90854126120486,-19.93570238789104,0.13156112668617936,67.68463225500997
0.02845,16.04785,0.1364,35.9153405968412,-19.93570238789104,0.0682117910498441,53.749107764811114
0.02846,16.0051,0.13405,35.91619051379574,-19.93570238789104,0.024611874095299413,55.650153086614864
0.02878,16.10835,0.12155,35.9433878563411,-19.93570238789104,0.10066453154994548,67.68463225500997
