z,mu_SN,mu_err,mu_model,residual
0.50309,22.93445,0.12605,22.939588977088274,-0.005138977088275709
0.4948,22.8802,0.11765,22.896316093802103,-0.016116093802104103
0.67767,24.0377,0.2056,23.720642651170824,0.31705734882917724
0.8665,24.34685,0.17385,24.369491839047743,-0.022641839047743417
0.79857,24.3605,0.17435,24.153819101327,0.20668089867299955
0.37144,22.28785,0.1245,22.156072409549186,0.13177759045081316
0.35582,22.05915,0.12645,22.046366887584984,0.012783112415014841
0.2836,21.40915,0.1028,21.47280112044894,-0.06365112044893806
0.4664,23.21635,0.1587,22.742682963376073,0.47366703662392595
0.94688,24.41155,0.1642,24.60381041030796,-0.19226041030796281
0.69315,23.79645,0.24445,23.7801689816021,0.016281018397901192
0.89693,24.40275,0.16645,24.4606747710588,-0.05792477105880067
0.78904,24.2188,0.11585,24.122109549217267,0.09669045078273442
0.59027,23.3354,0.1666,23.35752058089817,-0.022120580898171482
0.21075,20.64495,0.10525,20.73721537981145,-0.09226537981144745
0.85852,24.1237,0.1478,24.345048517858206,-0.22134851785820686
0.55875,23.1648,0.1335,23.213678786810735,-0.048878786810735875
0.9964,24.69965,0.1408,24.738377605598576,-0.03872760559857724
0.58294,23.34385,0.1258,23.324740321664994,0.01910967833500621
0.79656,23.85445,0.1588,24.14716248267087,-0.29271248267086847
0.91348,24.37895,0.13735,24.50897086792067,-0.13002086792067047
0.94846,24.66675,0.15105,24.608212966356962,0.05853703364303797
0.73362,23.8481,0.15575,23.92983983672553,-0.0817398367255322
0.7656,24.10805,0.1549,24.0424713614936,0.06557863850639833
0.98341,24.828,0.153,24.703744756315242,0.12425524368475749
0.70064,23.7492,0.1738,23.808505143561735,-0.059305143561736884
0.83814,24.1545,0.1807,24.281576915926454,-0.1270769159264553
0.3706,22.1401,0.1211,22.150283007796123,-0.010183007796122467
0.35858,21.95965,0.1186,22.06607291301548,-0.10642291301547857
0.52278,23.15915,0.14165,23.039712757076618,0.11943724292338231
0.70198,23.7115,0.26255,23.81354346113285,-0.10204346113284757
0.74613,23.8056,0.16465,23.97446574265626,-0.16886574265626209
0.59185,23.2429,0.12625,23.364534837640225,-0.12163483764022587
0.62063,23.5114,0.1131,23.48923900956782,0.022160990432176675
1.00279,25.0798,0.19135,24.755246579045195,0.32455342095480333
0.61064,23.47615,0.1329,23.44659711834738,0.029552881652620044
0.35833,21.9694,0.11425,22.064293955972328,-0.09489395597232786
0.45155,22.4159,0.12515,22.65879765710233,-0.24289765710232913
0.5526,22.98515,0.13425,23.184707763408294,-0.19955776340829345
0.75068,23.763,0.19155,23.99051382847993,-0.2275138284799283
0.82269,24.3356,0.14625,24.23242390006651,0.10317609993348853
0.95076,24.68515,0.14485,24.614608363666296,0.07054163633370436
0.34052,21.9463,0.10555,21.934486028012163,0.011813971987837846
0.81072,24.0795,0.17055,24.193705758641162,-0.11420575864116245
0.61124,23.7392,0.1593,23.449177009327133,0.29002299067286685
0.54831,22.8926,0.1438,23.16431563377157,-0.27171563377156716
1.02879,24.7289,0.16015,24.822775944898094,-0.09387594489809459
0.42244,22.35675,0.1192,22.486549950975377,-0.1297999509753751
0.70115,23.90875,0.1805,23.810423834220632,0.09832616577936903
0.68517,23.844,0.2326,23.749647270718793,0.09435272928120852
0.93189,24.54795,0.15235,24.561670352815117,-0.013720352815116854
0.74909,23.81055,0.18275,23.984916535624937,-0.1743665356249373
0.4684,22.73255,0.11785,22.75378777654294,-0.021237776542939457
0.95886,24.80665,0.17245,24.63700734983148,0.16964265016851954
0.84053,24.22255,0.1456,24.28909967098601,-0.06654967098601006
0.56276,23.2428,0.11755,23.23240476857534,0.010395231424659812
0.82854,24.39785,0.1526,24.251142761282086,0.14670723871791225
0.57875,23.22495,0.12065,23.305824086910736,-0.08087408691073605
0.8645,24.3693,0.14625,24.363386936401493,0.00591306359850563
0.85851,24.4442,0.16535,24.345017746586823,0.09918225341317566
0.58575,23.5694,0.1417,23.33735359002988,0.2320464099701205
0.48881,22.8653,0.1136,22.86461939335491,0.0006806066450906201
0.68866,23.6132,0.1518,23.763038246161432,-0.14983824616143337
0.32454,21.79365,0.10225,21.812545478238224,-0.018895478238224683
0.18538,20.4558,0.10405,20.424639887889345,0.031160112110654836
0.68196,23.59755,0.1484,23.7372714235287,-0.13972142352870165
0.92223,24.355,0.1708,24.534150217081542,-0.179150217081542
0.42866,22.751,0.1294,22.52427074074964,0.22672925925036225
0.69998,23.95255,0.2153,23.806020256394905,0.1465297436050932
0.57584,23.38495,0.13845,23.29260859930243,0.09234140069757046
0.51176,23.11305,0.1165,22.984126692104073,0.12892330789592776
0.64191,23.62155,0.1659,23.57789796298665,0.04365203701334863
0.35157,22.2272,0.1136,22.015743806564938,0.21145619343506183
0.34957,22.14445,0.11065,22.00121347747609,0.14323652252391028
0.35527,22.23665,0.113,22.042423069200726,0.19422693079927456
0.87217,24.3402,0.1332,24.38672286495392,-0.04652286495392133
0.92624,24.7687,0.10935,24.545609314959936,0.2230906850400629
0.41957,22.59095,0.12095,22.468969565071692,0.12198043492830735
0.89073,24.1804,0.14085,24.44235110878063,-0.2619511087806323
0.48057,22.7752,0.1151,22.820410681210756,-0.045210681210754444
0.5806,23.36785,0.1608,23.314192175091872,0.05365782490812876
0.80569,24.09575,0.1555,24.177265504721884,-0.08151550472188518
0.66464,23.6337,0.1611,23.669499090281203,-0.035799090281201984
0.74566,24.00735,0.1527,23.972802323601325,0.03454767639867384
0.73669,23.77845,0.1399,23.940860085208218,-0.16241008520821865
0.37053,22.04575,0.11295,22.14979992502038,-0.10404992502037658
0.85073,24.31865,0.1304,24.32096688179276,-0.002316881792758352
0.21946,20.8469,0.1023,20.836549448380243,0.010350551619758619
0.64764,23.6259,0.1613,23.601283626545527,0.024616373454474427
0.6006,23.4022,0.15455,23.40305711036341,-0.0008571103634089638
0.7607,23.92525,0.14995,24.025518724045586,-0.10026872404558773
0.47057,22.804,0.1221,22.76578600080477,0.03821399919522861
0.49737,22.9275,0.13225,22.909804428430707,0.017695571569291246
0.50736,22.9705,0.1253,22.96161416592791,0.008885834072092536
0.58728,23.44375,0.14055,23.344196546568714,0.09955345343128741
0.69915,23.77905,0.15635,23.802891829169024,-0.023841829169022333
0.76108,24.05415,0.16035,24.02683725417838,0.027312745821621576
0.78805,24.1069,0.13815,24.118793733447763,-0.011893733447763566
0.40547,22.564,0.11045,22.380928823957863,0.1830711760421373
0.80804,24.55735,0.16345,24.184958971905143,0.3723910280948566
0.58328,23.6081,0.12955,23.326269778377455,0.28183022162254545
0.72013,24.0226,0.19335,23.88087059123949,0.14172940876051143
0.83699,24.3054,0.1427,24.277949541643597,0.027450458356401697
0.80603,24.2544,0.1837,24.178380135527323,0.07601986447267706
0.50074,23.0505,0.13595,22.92739131995258,0.12310868004741948
0.53378,22.9345,0.1665,23.094096383025178,-0.1595963830251783
0.82212,24.1676,0.18525,24.23059299474865,-0.06299299474865094
0.12531,19.4684,0.10355,19.48822200504343,-0.019822005043430124
0.44368,22.57415,0.1349,22.613282483838272,-0.03913248383827295
0.68366,23.9441,0.2905,23.743832565748736,0.2002674342512627
0.72668,23.90005,0.1628,23.9047589209292,-0.004708920929200389
0.40455,22.44625,0.1075,22.375085481028027,0.07116451897197251
0.69065,23.7527,0.18375,23.770644160371663,-0.017944160371662576
0.57661,23.2437,0.1229,23.296111936027966,-0.05241193602796557
0.72068,23.87645,0.2029,23.882884473879248,-0.006434473879249225
0.55031,23.16815,0.1249,23.173841238839703,-0.0056912388397023506
0.84797,24.3105,0.16975,24.312381996934423,-0.0018819969344221477
0.43544,22.36675,0.109,22.564807237748045,-0.19805723774804562
0.30158,21.64245,0.0939,21.62724352440505,0.01520647559495103
0.58073,23.52355,0.1372,23.314779286121937,0.20877071387806367
0.34593,22.11525,0.111,21.97457007745214,0.14067992254786077
0.33094,21.7829,0.10685,21.86203587111962,-0.07913587111961817
0.44956,22.78895,0.14135,22.647359656802113,0.14159034319788688
0.29172,21.47215,0.12535,21.543636372557696,-0.07148637255769685
0.46127,22.62945,0.13775,22.713993023471406,-0.08454302347140796
0.63222,23.66065,0.20445,23.53788542258626,0.12276457741374003
0.26862,21.1762,0.0993,21.337067466599795,-0.16086746659979312
0.92491,24.7416,0.1923,24.541814298942615,0.19978570105738314
0.62522,23.46015,0.1303,23.50860900286283,-0.04845900286283111
0.60825,23.3767,0.1266,23.436295698890778,-0.05959569889077798
0.57828,23.2373,0.13895,23.30369376308477,-0.06639376308476841
0.71963,23.82525,0.2057,23.879038054993817,-0.05378805499381656
0.7666,24.24705,0.1593,24.045917983767527,0.20113201623247434
0.36791,22.24455,0.1019,22.13165994265631,0.11289005734369084
0.84852,24.33175,0.14855,24.314094839065834,0.01765516093416508
0.7766,24.0942,0.17835,24.080140701907485,0.014059298092515604
0.58375,23.2686,0.09915,23.328382128802186,-0.05978212880218692
0.58873,23.30085,0.13005,23.350666145093985,-0.04981614509398469
0.76859,24.2078,0.16885,24.052763310794692,0.155036689205307
0.5138,23.12745,0.1329,22.994501970328,0.1329480296720007
0.63771,23.37,0.2329,23.560627673177212,-0.19062767317721097
0.43487,22.5623,0.1145,22.561422013201312,0.0008779867986881129
0.58375,23.46355,0.14025,23.328382128802186,0.13516787119781526
0.66206,23.74875,0.17955,23.659256359374115,0.08949364062588572
0.62189,23.4108,0.1628,23.49457000161672,-0.08377000161672044
0.41664,22.5154,0.11755,22.450904607639576,0.06449539236042412
0.45169,22.36265,0.1377,22.65960053986193,-0.2969505398619319
0.73401,24.04855,0.24055,23.93124224643383,0.11730775356616974
0.74202,24.26275,0.21515,23.959886191447925,0.3028638085520754
0.34957,21.74,0.12,22.00121347747609,-0.26121347747609036
0.51476,23.18845,0.1355,22.999370976939122,0.1890790230608772
0.64364,23.60755,0.1943,23.58497979732299,0.022570202677009377
0.47058,22.65205,0.12925,22.76584116312795,-0.11379116312794935
0.26349,21.15515,0.1079,21.288977112631198,-0.13382711263119873
0.7427,23.92255,0.19885,23.96230399108848,-0.0397539910884781
0.91075,24.6116,0.16365,24.50106497689117,0.1105350231088309
0.33753,21.9137,0.10655,21.912078399728752,0.0016216002712461375
0.98377,24.92305,0.1439,24.704710793568726,0.21833920643127414
0.81369,24.26675,0.14105,24.20336526613165,0.06338473386834664
0.81773,24.3431,0.12085,24.21644875206545,0.12665124793455007
0.96075,24.5736,0.1577,24.642206232184837,-0.06860623218483752
0.75669,24.03965,0.1583,24.0115646338994,0.028085366100601306
0.87796,24.42165,0.14325,24.40420311116657,0.017446888833429597
0.80902,24.20795,0.1668,24.18816069149604,0.019789308503959546
0.62723,23.4134,0.138,23.51704776884114,-0.10364776884114235
0.93389,24.7653,0.2009,24.56733227303872,0.19796772696128073
0.69715,23.78265,0.16195,23.795338796754,-0.012688796753998588
0.76706,24.3849,0.17855,24.047501721962806,0.3373982780371918
0.86397,24.39625,0.15285,24.361766817444522,0.03448318255547633
0.51434,22.98745,0.11725,22.99724210903864,-0.009792109038642138
0.47039,23.1005,0.141,22.76479293328067,0.3357070667193298
0.9279,24.7789,0.1829,24.550338360021232,0.22856163997876777
0.63071,23.4092,0.1432,23.531596774925223,-0.1223967749252246
0.6157,23.56625,0.1433,23.46827893867673,0.09797106132327116
0.56475,23.2891,0.13595,23.241650182536834,0.047449817463167676
0.55775,23.2494,0.1349,23.208988835065046,0.040411164934955224
0.73561,24.06925,0.19205,23.93698838219093,0.1322616178090712
0.26199,21.15835,0.1082,21.2747520091462,-0.1164020091462028
0.76159,23.97575,0.15445,24.028605790383022,-0.05285579038302046
0.85852,24.54425,0.17845,24.345048517858206,0.19920148214179534
0.55875,23.6061,0.15165,23.213678786810735,0.3924212131892659
0.48072,22.74835,0.1138,22.821221689815626,-0.07287168981562786
0.92224,24.57175,0.18725,24.534178858771018,0.03757114122898386
0.47572,22.6952,0.109,22.79405312021409,-0.0988531202140912
0.8932,24.5781,0.1577,24.449666416009,0.1284335839910007
0.6319,23.1617,0.17705,23.536554045550876,-0.374854045550876
0.73602,24.02845,0.2108,23.938459065709825,0.08999093429017435
0.41865,22.38625,0.1152,22.463309932389922,-0.07705993238992193
0.53578,22.98355,0.1266,23.10386937968713,-0.12031937968712825
0.73501,24.09175,0.17825,23.934835124918617,0.1569148750813838
0.60987,23.5447,0.14865,23.44328229415039,0.10141770584960952
0.70198,23.8387,0.16475,23.81354346113285,0.025156538867150857
0.9833,24.78095,0.143,24.703449469287744,0.07750053071225693
0.75905,24.0557,0.15165,24.01978576516736,0.03591423483264222
0.64364,23.6045,0.2013,23.58497979732299,0.019520202677011156
0.51559,23.02365,0.1762,23.003573894126173,0.020076105873826577
0.80569,24.0139,0.1301,24.177265504721884,-0.1633655047218845
0.8007,23.82255,0.1606,24.16085501640948,-0.33830501640948185
0.71565,23.84395,0.19425,23.864408319541784,-0.020458319541784675
0.76668,24.2307,0.1806,24.046193461382874,0.18450653861712496
0.90173,24.5128,0.1511,24.4747736930445,0.0380263069554978
0.71868,23.68915,0.15095,23.8755532415154,-0.1864032415154
0.5796,23.1779,0.1197,23.30967198550921,-0.1317719855092072
0.96074,24.80925,0.14255,24.64217874830688,0.16707125169311965
0.64864,23.53665,0.159,23.605344188504734,-0.06869418850473252
0.93675,24.4717,0.1405,24.575407289245423,-0.10370728924542405
0.46156,22.76265,0.11115,22.715622583707447,0.047027416292554136
0.67065,23.78495,0.1775,23.693209149842037,0.09174085015796152
0.24649,21.16055,0.10805,21.123199344198486,0.03735065580151442
0.63822,23.49005,0.184,23.56273045000368,-0.07268045000368062
