Omega_m0,C_best,chi2_SN,chi2_BAO,chi2_tot
0.1,-19.44246214831136,1355.2225474269212,123.44329820841102,1478.6658456353323
0.11,-19.437199011211728,1314.3864542978504,108.67936991384933,1423.0658242116997
0.12000000000000001,-19.432009931409883,1277.3499287429095,95.048432779396,1372.3983615223055
0.13,-19.426891621528963,1243.8280586221028,82.51139485105094,1326.3394534731538
0.14,-19.421841070641516,1213.566807178543,71.03143649959819,1284.5982436781412
0.15000000000000002,-19.41685550907971,1186.3384377336042,60.5738256030675,1246.9122633366717
0.16,-19.411932379270894,1161.9378078008613,51.105751934192305,1213.0435597350536
0.17,-19.407069311306888,1140.1793313447245,42.59617833694835,1182.7755096816727
0.18,-19.40226410228534,1120.8944624757341,35.015706631285894,1155.91016910702
0.19,-19.397514698694845,1103.9295916342905,28.336456480771297,1132.266048115062
0.2,-19.39281918128314,1089.1442720145187,22.53195570515327,1111.676227719672
0.21000000000000002,-19.38817575197123,1076.4097132230042,17.577040727689443,1093.9867539506936
0.22,-19.383582722467988,1065.6074932737015,13.447766022452404,1079.055259296154
0.23,-19.379038504309673,1056.628450521413,10.121321575451006,1066.749772096864
0.24000000000000002,-19.374541600101892,1049.3717250598952,7.575957499815818,1056.947682559711
0.25,-19.370090595783168,1043.743925166209,5.790915053229461,1049.5348402194384
0.26,-19.365684153761634,1039.658399051759,4.746363398247367,1044.4047624500065
0.27,-19.36132100680217,1037.0345958345547,4.4233415256454585,1041.4579373602
0.28,-19.35699995256194,1035.797502527159,4.803704829477248,1040.6012073566362
0.29000000000000004,-19.352719848688615,1035.877146125096,5.870075881820202,1041.7472220069162
0.30000000000000004,-19.348479608409445,1037.2081517163333,7.605799006633955,1044.8139507229673
0.31,-19.34427819654984,1039.7293490150464,9.994898296908133,1049.7242473119545
0.32,-19.340114625929655,1043.3834209285694,13.022038758320855,1056.4054596868903
0.33,-19.335987954092598,1048.1165887533843,16.67249029677733,1064.7890790501617
0.33999999999999997,-19.33189728033049,1053.8783294083823,20.932094297137333,1074.8104237055197
0.35,-19.327841742969397,1060.6211207867523,25.7872325667591,1086.4083533535113
0.36,-19.323820516889004,1068.30021186773,31.224798440666067,1099.525010308396
0.37,-19.319832811250333,1076.87341469844,37.23216986561491,1114.1055845640549
0.38,-19.31587786741015,1086.300915749434,43.79718429845059,1130.0981000478846
0.39,-19.311954957002886,1096.5451044807346,50.90811527019472,1147.4532197509293
0.4,-19.308063380173547,1107.5704172365072,58.55365048157721,1166.1240677180845
0.41000000000000003,-19.30420246394675,1119.3431948268524,66.72287130842108,1186.0660661352736
0.42000000000000004,-19.30037156071889,1131.8315523601718,75.40523360661444,1207.2367859667863
0.43000000000000005,-19.296570046861948,1145.005260065101,84.59054971652483,1229.595809781626
0.44000000000000006,-19.292797321428644,1158.8356339926538,94.26897157575775,1253.1046055684114
0.45000000000000007,-19.28905280494986,1173.2954356192238,104.43097485729348,1277.7264104765172
0.45999999999999996,-19.285335938316116,1188.3587794846883,115.06734405731086,1303.4261235419992
0.47,-19.281646181735837,1204.00104809737,126.16915846357797,1330.170206560948
0.48,-19.27798301376394,1220.1988134236067,137.72777894118317,1357.92659236479
0.49,-19.27434593039472,1236.9297643537623,149.73483547771872,1386.664599831481
0.5,-19.270734444213904,1254.1726396023219,162.18221543483958,1416.3548550371615
