Omega_m0,C_best,chi2_SN,chi2_BAO,chi2_tot
0.1,-19.464506870998626,1486.9005298595703,170.6814273322823,1657.5819571918526
0.11,-19.45874913498852,1433.2804417263424,152.0891775197428,1585.3696192460852
0.12000000000000001,-19.45308050416757,1384.4908860005685,134.8205224402866,1519.311408440855
0.13,-19.447496660931126,1340.142864740453,118.82543901087277,1458.9683037513257
0.14,-19.441993679407886,1299.8925192607453,104.05708210665482,1403.9496013674002
0.15000000000000002,-19.43656797228008,1263.4340278195714,90.47150271499042,1353.9055305345619
0.16,-19.43121624721629,1230.4939242188175,78.02739795204849,1308.521322170866
0.17,-19.42593547075949,1200.826493435574,66.68588859107776,1267.512382026652
0.18,-19.420722838086593,1174.209997334491,56.41032044397301,1230.620317778464
0.19,-19.415575747454778,1150.4435495260495,47.16608650504696,1197.6096360310964
0.2,-19.41049177843331,1129.3445044489542,38.92046723317893,1168.2649716821331
0.21000000000000002,-19.405468673225414,1110.7462584859963,31.642486735420537,1142.388745221417
0.22,-19.400504320536292,1094.4963846323105,25.30278293714364,1119.799167569454
0.23,-19.395596741557224,1080.455039689091,19.873490093045852,1100.328529782137
0.24000000000000002,-19.3907440777217,1068.493595992282,15.328132219469921,1083.821728211752
0.25,-19.385944579956167,1058.493459552329,11.641526219238031,1070.1349857715672
0.26,-19.381196599199438,1050.3450440371373,8.78969363174503,1059.1347376688823
0.27,-19.376498578005357,1043.9468758803428,6.749780078402029,1050.6966559587447
0.28,-19.371849043075528,1039.2048103714926,5.499981590715534,1044.7047919622082
0.29000000000000004,-19.367246598594654,1036.0313421944438,5.019477108646655,1041.0508193030905
0.30000000000000004,-19.362689920261673,1034.3449967527547,5.288366523118629,1039.6333632758733
0.31,-19.358177749926885,1034.0697909247228,6.28761371086028,1040.3574046355832
0.32,-19.35370889075889,1035.1347537516674,7.99899407403002,1043.1337478256974
0.33,-19.34928220287666,1037.4734990765874,10.405046152780926,1047.8785452293682
0.33999999999999997,-19.34489659939133,1041.0238433889965,13.489026927377745,1054.5128703163743
0.35,-19.34055104281018,1045.7274631513435,17.2348704687219,1062.9623336200655
0.36,-19.336244541761864,1051.5295867263924,21.627149633069052,1073.1567363594613
0.37,-19.331976148007303,1058.3787167272985,26.65104052908977,1085.0297572563884
0.38,-19.32774495370555,1066.2263791990854,32.292289513853305,1098.5186687129387
0.39,-19.3235500889076,1075.0268965335636,38.53718249935201,1113.5640790329155
0.4,-19.31939071925478,1084.7371814356193,45.37251637327456,1130.1096978088938
0.41000000000000003,-19.315266043860948,1095.3165496113572,52.78557235727571,1148.102121968633
0.42000000000000004,-19.311175293360407,1106.7265491480616,60.7640911433072,1167.490640291369
0.43000000000000005,-19.307117728105542,1118.9308048120242,69.2962496639498,1188.227054475974
0.44000000000000006,-19.303092636499862,1131.8948757090566,78.37063936636869,1210.2655150754254
0.45000000000000007,-19.299099333454013,1145.5861249411055,87.97624587171185,1233.5623708128173
0.45999999999999996,-19.295137158953413,1159.9736000544308,98.10242991265505,1258.0760299670858
0.47,-19.29120547672759,1175.027923215649,108.73890945155486,1283.766832667204
0.48,-19.2873036730124,1190.7211901730643,119.87574289038159,1310.596933063446
0.49,-19.283431155396812,1207.0268771674391,131.5033132914622,1338.5301904589014
0.5,-19.279587351747494,1223.9197550479498,143.61231353509402,1367.5320685830438
