z,mu_SN,mu_err,mu_model_best,residual
0.50309,22.93445,0.12605,22.930512957785027,0.003937042214971598
0.4948,22.8802,0.11765,22.887189578283426,-0.006989578283427278
0.67767,24.0377,0.2056,23.714877213677354,0.3228227863226465
0.8665,24.34685,0.17385,24.370667678497696,-0.02381767849769645
0.79857,24.3605,0.17435,24.15221576003504,0.20828423996495715
0.37144,22.28785,0.1245,22.147665865420777,0.14018413457922207
0.35582,22.05915,0.12645,22.038271775647978,0.020878224352021135
0.2836,21.40915,0.1028,21.466887186916537,-0.05773718691653684
0.4664,23.21635,0.1587,22.73347005103102,0.48287994896897857
0.94688,24.41155,0.1642,24.60856006670707,-0.19701006670707244
0.69315,23.79645,0.24445,23.774867580384623,0.021582419615377546
0.89693,24.40275,0.16645,24.463172226622007,-0.06042222662200558
0.78904,24.2188,0.11585,24.120138048515123,0.09866195148487833
0.59027,23.3354,0.1666,23.349609430954068,-0.014209430954068125
0.21075,20.64495,0.10525,20.734854075621065,-0.08990407562106384
0.85852,24.1237,0.1478,24.345884964260144,-0.2221849642601441
0.55875,23.1648,0.1335,23.205221219330987,-0.04042121933098741
0.9964,24.69965,0.1408,24.745442606438466,-0.04579260643846794
0.58294,23.34385,0.1258,23.316690502911413,0.02715949708858645
0.79656,23.85445,0.1588,24.145481047912142,-0.29103104791214207
0.91348,24.37895,0.13735,24.512203800366308,-0.13325380036630818
0.94846,24.66675,0.15105,24.613035208962742,0.05371479103725818
0.73362,23.8481,0.15575,23.925854439437884,-0.07775443943788574
0.7656,24.10805,0.1549,24.039620773665405,0.0684292263345938
0.98341,24.828,0.153,24.71019550508938,0.11780449491061873
0.70064,23.7492,0.1738,23.803436537602337,-0.05423653760233904
0.83814,24.1545,0.1807,24.281561344926438,-0.12706134492643884
0.3706,22.1401,0.1211,22.141891666715424,-0.0017916667154231902
0.35858,21.95965,0.1186,22.05791868206026,-0.09826868206026163
0.52278,23.15915,0.14165,23.030802011818366,0.12834798818163407
0.70198,23.7115,0.26255,23.8085168968194,-0.0970168968193974
0.74613,23.8056,0.16465,23.970914827475042,-0.16531482747504356
0.59185,23.2429,0.12625,23.35665472865783,-0.1137547286578311
0.62063,23.5114,0.1131,23.481974484800418,0.029425515199580587
1.00279,25.0798,0.19135,24.76261518481867,0.3171848151813279
0.61064,23.47615,0.1329,23.439107497241892,0.0370425027581085
0.35833,21.9694,0.11425,22.05614481079202,-0.08674481079201968
0.45155,22.4159,0.12515,22.649595898638978,-0.23369589863897744
0.5526,22.98515,0.13425,23.176159370977594,-0.19100937097759285
0.75068,23.763,0.19155,23.987123967417112,-0.2241239674171105
0.82269,24.3356,0.14625,24.231777425537402,0.10382257446259757
