time,Bx,By,Bz,B_total
2019-03-06 19:32:20+00:00,-145365536.0,-17401738.0,623153.45,146404739.88983482
2019-03-06 19:32:21+00:00,-145365536.0,-17401768.4,623153.07,146404743.50157917
2019-03-06 19:32:22+00:00,-145365536.0,-17401800.0,623152.7,146404747.25600538
2019-03-06 19:32:23+00:00,-145365545.6,-17401830.4,623152.32,146404760.39961937
2019-03-06 19:32:24+00:00,-145365552.0,-17401862.0,623151.95,146404770.50862974
2019-03-06 19:32:25+00:00,-145365552.0,-17401892.4,623151.57,146404774.12039906
2019-03-06 19:32:26+00:00,-145365552.0,-17401924.0,623151.2,146404777.87485126
2019-03-06 19:32:27+00:00,-145365552.0,-17401954.4,623150.82,146404781.48663333
2019-03-06 19:32:28+00:00,-145365552.0,-17401986.0,623150.45,146404785.2410987
2019-03-06 19:32:29+00:00,-145365552.0,-17402016.4,623150.07,146404788.85289344
2019-03-06 19:32:30+00:00,-145365552.0,-17402048.0,623149.7,146404792.60737205
2019-03-06 19:32:31+00:00,-145365552.0,-17402078.4,623149.32,146404796.21917948
2019-03-06 19:32:32+00:00,-145365552.0,-17402110.0,623148.95,146404799.97367126
2019-03-06 19:32:33+00:00,-145365552.0,-17402140.4,623148.57,146404803.5854914
2019-03-06 19:32:34+00:00,-145365552.0,-17402172.0,623148.2,146404807.33999637
2019-03-06 19:32:35+00:00,-145365552.0,-17402202.8,623147.82,146404810.99937463
2019-03-06 19:32:36+00:00,-145365552.0,-17402234.0,623147.46,146404814.7063899
2019-03-06 19:32:37+00:00,-145365552.0,-17402264.8,623147.07,146404818.36573848
2019-03-06 19:32:38+00:00,-145365552.0,-17402296.0,623146.71,146404822.0727668
2019-03-06 19:32:39+00:00,-145365552.0,-17402326.8,623146.34,146404825.73221335
2019-03-06 19:32:40+00:00,-145365552.0,-17402358.0,623145.97,146404829.43921214
2019-03-06 19:32:41+00:00,-145365552.0,-17402388.8,623145.6,146404833.09867153
2019-03-06 19:32:42+00:00,-145365552.0,-17402420.0,623145.22,146404836.8056408
2019-03-06 19:32:43+00:00,-145365552.0,-17402450.8,623144.85,146404840.46511304
2019-03-06 19:32:44+00:00,-145365552.0,-17402482.0,623144.49,146404844.17218047
2019-03-06 19:32:45+00:00,-145365552.0,-17402512.8,623144.11,146404847.83162305
2019-03-06 19:32:46+00:00,-145365552.0,-17402544.0,623143.74,146404851.5386609
2019-03-06 19:32:47+00:00,-145365552.0,-17402574.8,623143.36,146404855.19811633
2019-03-06 19:32:48+00:00,-145365552.0,-17402606.0,623142.99,146404858.90516725
2019-03-06 19:32:49+00:00,-145365552.0,-17402636.8,623142.61,146404862.56463552
2019-03-06 19:32:50+00:00,-145365552.0,-17402668.0,623142.24,146404866.27169946
2019-03-06 19:32:51+00:00,-145365552.0,-17402698.8,623141.86,146404869.9311806
2019-03-06 19:32:52+00:00,-145365552.0,-17402730.0,623141.49,146404873.63825756
2019-03-06 19:32:53+00:00,-145365552.0,-17402760.8,623141.11,146404877.29775158
2019-03-06 19:32:54+00:00,-145365552.0,-17402792.0,623140.74,146404881.00484157
2019-03-06 19:32:55+00:00,-145365552.0,-17402822.8,623140.36,146404884.66434842
2019-03-06 19:32:56+00:00,-145365555.2,-17402854.0,623139.99,146404891.54873446
2019-03-06 19:32:57+00:00,-145365568.0,-17402884.8,623139.61,146404907.9173859
2019-03-06 19:32:58+00:00,-145365568.0,-17402916.0,623139.24,146404911.62450156
2019-03-06 19:32:59+00:00,-145365568.0,-17402947.2,623138.86,146404915.33158118
2019-03-06 19:33:00+00:00,-145365568.0,-17402978.0,623138.49,146404918.99116242
2019-03-06 19:33:01+00:00,-145365568.0,-17403009.2,623138.11,146404922.69825506
2019-03-06 19:33:02+00:00,-145365568.0,-17403040.0,623137.74,146404926.35784915
2019-03-06 19:33:03+00:00,-145365568.0,-17403071.2,623137.36,146404930.06495485
2019-03-06 19:33:04+00:00,-145365568.0,-17403102.0,623136.99,146404933.7245618
2019-03-06 19:33:05+00:00,-145365568.0,-17403133.2,623136.63,146404937.43176565
2019-03-06 19:33:06+00:00,-145365568.0,-17403164.0,623136.24,146404941.09130034
2019-03-06 19:33:07+00:00,-145365568.0,-17403195.2,623135.88,146404944.7985172
2019-03-06 19:33:08+00:00,-145365568.0,-17403226.0,623135.5,146404948.45810732
2019-03-06 19:33:09+00:00,-145365568.0,-17403257.2,623135.13,146404952.16529465
2019-03-06 19:33:10+00:00,-145365568.0,-17403288.0,623134.76,146404955.82494017
2019-03-06 19:33:11+00:00,-145365568.0,-17403319.2,623134.39,146404959.53214055
2019-03-06 19:33:12+00:00,-145365568.0,-17403350.0,623134.01,146404963.1917564
2019-03-06 19:33:13+00:00,-145365568.0,-17403381.2,623133.64,146404966.89896977
2019-03-06 19:33:14+00:00,-145365568.0,-17403412.0,623133.26,146404970.5585985
2019-03-06 19:33:15+00:00,-145365568.0,-17403443.2,623132.89,146404974.2658249
2019-03-06 19:33:16+00:00,-145365568.0,-17403474.0,623132.51,146404977.92546645
2019-03-06 19:33:17+00:00,-145365568.0,-17403505.2,623132.14,146404981.6327059
2019-03-06 19:33:18+00:00,-145365568.0,-17403536.0,623131.76,146404985.2923603
2019-03-06 19:33:19+00:00,-145365568.0,-17403567.2,623131.39,146404988.9996128
2019-03-06 19:33:20+00:00,-145365568.0,-17403598.0,623131.01,146404992.65928006
2019-03-06 19:33:21+00:00,-145365568.0,-17403629.2,623130.64,146404996.3665456
2019-03-06 19:33:22+00:00,-145365568.0,-17403660.0,623130.26,146405000.02622572
2019-03-06 19:33:23+00:00,-145365568.0,-17403691.6,623129.89,146405003.7810537
2019-03-06 19:33:24+00:00,-145365568.0,-17403722.0,623129.51,146405007.39319724
2019-03-06 19:33:25+00:00,-145365568.0,-17403753.6,623129.14,146405011.14803842
2019-03-06 19:33:26+00:00,-145365568.0,-17403784.0,623128.76,146405014.76019466
2019-03-06 19:33:27+00:00,-145365568.0,-17403815.6,623128.39,146405018.51504904
2019-03-06 19:33:28+00:00,-145365568.0,-17403846.0,623128.01,146405022.12721798
2019-03-06 19:33:29+00:00,-145365568.0,-17403877.6,623127.64,146405025.88208553
2019-03-06 19:33:30+00:00,-145365577.6,-17403908.0,623127.26,146405039.02610812
2019-03-06 19:33:31+00:00,-145365584.0,-17403939.6,623126.89,146405049.1355491
2019-03-06 19:33:32+00:00,-145365584.0,-17403970.0,623126.51,146405052.74774304
2019-03-06 19:33:33+00:00,-145365584.0,-17404001.6,623126.15,146405056.50267914
2019-03-06 19:33:34+00:00,-145365584.0,-17404032.0,623125.78,146405060.11492833
