z,H_TFGR,q_TFGR,j_TFGR,H_LCDM,q_LCDM,j_LCDM,Omega_r_TFGR,Omega_m_TFGR,Omega_TF_TFGR
-9.338673341677096174e-01,1.284551558414631813e+02,-1.299947434196884410e+00,2.079968461824556858e+00,5.686819736745912479e+01,-9.997764952877504774e-01,1.000000000000000000e+00,5.680114859760716585e-10,2.920249816053361257e-05,9.999707969338279545e-01
-9.301251564455569332e-01,1.263518148864362871e+02,-1.299935914690884653e+00,2.079961550497376521e+00,5.686895805315577235e+01,-9.997363728348387379e-01,1.000000000000000000e+00,7.316721176405038548e-10,3.560201459398517525e-05,9.999643972537338721e-01
-9.263829787234042490e-01,1.243901134767444177e+02,-1.299922674540048284e+00,2.079953606863296223e+00,5.686980472945325715e+01,-9.996917166694463397e-01,1.000000000000000000e+00,9.301164287491900130e-10,4.295740037980362710e-05,9.999570416695037212e-01
-9.226408010012515648e-01,1.225540223863129512e+02,-1.299907564055929443e+00,2.079944541120860357e+00,5.687074199844016675e+01,-9.996422846844906784e-01,1.000000000000000000e+00,1.168392598754735977e-09,5.135180931527448886e-05,9.999486470222921364e-01
-9.188986232790988806e-01,1.208299952737005185e+02,-1.299890428930271957e+00,2.079934260697708037e+00,5.687177446150334958e+01,-9.995878349236996252e-01,1.000000000000000000e+00,1.451976104903112649e-09,6.087096121265116584e-05,9.999391275868112494e-01
-9.151564455569461964e-01,1.192064900748091247e+02,-1.299871110329934965e+00,2.079922670307560395e+00,5.687290671925282481e+01,-9.995281255974221013e-01,1.000000000000000000e+00,1.786782527162535793e-09,7.160308914721560914e-05,9.999283951240701684e-01
-9.114142678347935123e-01,1.176735992427404369e+02,-1.299849444986243885e+00,2.079909672003860344e+00,5.687414337144296894e+01,-9.994629150992119238e-01,1.000000000000000000e+00,2.179180085442469438e-09,8.363888980097504932e-05,9.999163589310189337e-01
-9.076720901126408281e-01,1.162227606174699872e+02,-1.299825265279440201e+00,2.079895165230468024e+00,5.687548901689007863e+01,-9.993919620231800360e-01,1.000000000000000000e+00,2.636001922869939395e-09,9.707147653068293463e-05,9.999029258874674309e-01
-9.039299123904880329e-01,1.148465288498708645e+02,-1.299798399318802478e+00,2.079879046869764991e+00,5.687694825338613924e+01,-9.993150251821146801e-01,1.000000000000000000e+00,3.164558147094190514e-09,1.119963348410118949e-04,9.998880005006008931e-01
-9.001877346683353487e-01,1.135383928767495689e+02,-1.299768671018934896e+00,2.079861211288450029e+00,5.687852567760904776e+01,-9.992318636263640697e-01,1.000000000000000000e+00,3.772647640033140606e-09,1.285112799863827012e-04,9.998714849473659960e-01
-8.964455569461826645e-01,1.122926288215055877e+02,-1.299735900172661385e+00,2.079841550381306803e+00,5.688022588502905563e+01,-9.991422366634820085e-01,1.000000000000000000e+00,4.468569645114280355e-09,1.467164164602060249e-04,9.998532791149702392e-01
-8.927033792240299803e-01,1.111041804356128750e+02,-1.299699902520901507e+00,2.079819953613151640e+00,5.688205346981163046e+01,-9.990459038786289048e-01,1.000000000000000000e+00,5.261135139863698164e-09,1.667140991596140762e-04,9.998332806397052241e-01
-8.889612015018772961e-01,1.099685611603733548e+02,-1.299660489819871367e+00,2.079796308059182142e+00,5.688401302471660159e+01,-9.989426251557290692e-01,1.000000000000000000e+00,6.159678000634965506e-09,1.886088960383784988e-04,9.998113849442836765e-01
-8.852190237797246120e-01,1.088817733146094469e+02,-1.299617469905901324e+00,2.079770498443892279e+00,5.688610914099371030e+01,-9.988321606993758595e-01,1.000000000000000000e+00,7.174065965321251656e-09,2.125075520814710239e-04,9.997874852738525275e-01
-8.814768460575719278e-01,1.078402409620049269e+02,-1.299570646758149373e+00,2.079742407178725827e+00,5.688834640827452915e+01,-9.987142710574835602e-01,1.000000000000000000e+00,8.314711399043070479e-09,2.385189544523801228e-04,9.997614727308361537e-01
-8.777346683354192436e-01,1.068407537905590630e+02,-1.299519820559438488e+00,2.079711914398600925e+00,5.689072941446067944e+01,-9.985887171446824473e-01,1.000000000000000000e+00,9.592581867035578073e-09,2.667540986793821714e-04,9.997332363087386709e-01
-8.739924906132665594e-01,1.058804199212912067e+02,-1.299464787755447714e+00,2.079678897997452758e+00,5.689326274560857399e+01,-9.984552602664464871e-01,1.000000000000000000e+00,1.101921051826184691e-08,2.973260557599337718e-04,9.997026629250295171e-01
-8.702503128911138752e-01,1.049566260065414696e+02,-1.299405341112443102e+00,2.079643233662889834e+00,5.689595098581042265e+01,-9.983136621439566705e-01,1.000000000000000000e+00,1.260670628264209032e-08,3.303499400735554763e-04,9.996696374532201279e-01
