station,sat,N_points,A_sat,b_sat,RMS_before,RMS_after,delta_RMS,AIC_before,AIC_after,delta_AIC,R2
MIZU,G01,50,-5.6051254223369626e-14,9.504899928015216e-16,3.7155169009665004e-16,3.6361671613848956e-16,-7.934973958160479e-18,-3550.884368052658,-3551.0431338668027,0.15876581414477187,0.04170893778429974
MIZU,G15,50,-1.8288993203550097e-14,3.639060357487866e-16,4.945168153041044e-16,4.910731498198227e-16,-3.443665484281654e-18,-3522.2950518748735,-3520.993857589181,-1.301194285692418,0.0022926225905376407
MIZU,J01,50,-1.3083605060600975e-14,2.8422169242377114e-16,3.011959563148489e-16,2.940948096600422e-16,-7.101146654806683e-18,-3571.877060330671,-3572.262947670335,0.38588733966389555,0.004165960369825528
