p,q,dAIC,AIC,chi2,sqrtA
0.2,0.5,7.902936942653469,1147.7061947896902,1141.7061947896902,2.3921880153996846
0.20625000000000002,0.5,9.385435135356602,1149.1886929823934,1143.1886929823934,2.383180828076477
0.21250000000000002,0.5,10.787051547994906,1150.5903093950317,1144.5903093950317,2.374361143588068
0.21875,0.5,12.109148260422899,1151.9124061074597,1145.9124061074597,2.365725643949057
0.225,0.5,13.353116723992798,1153.1563745710296,1147.1563745710296,2.3572710423632595
0.23125,0.5,14.520375263938831,1154.3236331109756,1148.3236331109756,2.348994084043983
0.23750000000000002,0.5,15.612366607920421,1155.4156244549572,1149.4156244549572,2.3408915469942873
0.24375000000000002,0.5,16.630555445997516,1156.4338132930343,1150.4338132930343,2.3329602427464726
0.25,0.5,17.576426027027537,1157.3796838740643,1151.3796838740643,2.3251970170602236
0.25625,0.5,18.451479796150124,1158.254737643187,1152.254737643187,2.317598750578915
0.2625,0.5,19.257233077701812,1159.0604909247386,1153.0604909247386,2.3101623594437903
0.26875,0.5,19.99521480758267,1159.7984726546194,1153.7984726546194,2.302884795865807
0.275,0.5,20.666964318756072,1160.4702221657928,1154.4702221657928,2.2957630486551017
0.28125,0.5,21.274029183267203,1161.077287030304,1155.077287030304,2.2887941437081323
0.2875,0.5,21.81796311379685,1161.6212209608336,1155.6212209608336,2.2819751444526846
0.29375,0.5,22.300323927485124,1162.103581774522,1156.103581774522,2.2753031522510305
0.3,0.5,22.722671574417745,1162.5259294214545,1156.5259294214545,2.2687753067616443
0.30625,0.5,23.086566232861742,1162.8898240798985,1156.8898240798985,2.2623887862599568
0.3125,0.5,23.393566473039982,1163.1968243200768,1157.1968243200768,2.256140807918762
0.31875,0.5,23.645227490926345,1163.4484853379631,1157.4484853379631,2.2500286280489203
0.325,0.5,23.84309941327001,1163.6463572603068,1157.6463572603068,2.244049542301132
0.33125,0.5,23.988725674763828,1163.7919835218006,1157.7919835218006,2.2382008858295923
0.3375,0.5,24.08364146802569,1163.8868993150625,1157.8868993150625,2.2324800334184385
0.34375,0.5,24.1293722668006,1163.9326301138374,1157.9326301138374,2.2268843995719045
