L_m,Delta_t,Phi_t,dPhi_dL
6.861486435276432e-06,5.189426367867136e-19,6797.395676270954,-990916133.1535149
7.013308798811293e-06,5.189451367793133e-19,6650.279383673315,-948481899.6373672
7.168490497132696e-06,5.189476482911508e-19,6506.3472788520985,-907864853.1429176
7.3271058613862035e-06,5.18950171375317e-19,6365.530440714637,-868987174.5526199
7.489230867423757e-06,5.18952706085148e-19,6227.761439993565,-831774377.2940712
7.654943172195633e-06,5.1895525247422475e-19,6092.97430695495,-796155164.6253281
7.824322150947626e-06,5.189578105963765e-19,5961.104499805455,-762061293.0319977
7.99744893524144e-06,5.189603805056799e-19,5832.088873783202,-729427441.4743061
8.174406451816187e-06,5.189629622564616e-19,5705.865650917875,-698191086.2336292
8.355279462309773e-06,5.189655559032982e-19,5582.3743904453495,-668292381.1187267
8.540154603859355e-06,5.18968161501018e-19,5461.55595986265,-639674042.8019753
8.7291204305999e-06,5.189707791047029e-19,5343.352506609625,-612281241.0662346
8.922267456081227e-06,5.189734087696878e-19,5227.707430363428,-586061493.75173
9.119688196623427e-06,5.189760505515636e-19,5114.56535593284,-560964566.2018108
9.321477215631606e-06,5.189787045061767e-19,5003.87210673932,-536942375.0149746
9.52773116889132e-06,5.18981370689632e-19,4895.574678872001,-513948895.9186001
9.738548850866023e-06,5.189840491582925e-19,4789.621215704425,-491940075.588068
9.95403124201916e-06,5.189867399687808e-19,4685.960983060596,-470873747.2420368
1.0174281557183189e-05,5.189894431779818e-19,4584.544344918704,-450709549.8524685
1.0399405294998822e-05,5.189921588430418e-19,4485.322739640735,-431408850.81440926
1.0629510288448425e-05,5.189948870213704e-19,4388.248656716558,-412934671.92733765
1.086470675650722e-05,5.18997627770643e-19,4293.27561401154,-395251618.54644966
1.1105107356937708e-05,5.190003811488e-19,4200.358135506522,-378325811.7679024
1.1350827240252012e-05,5.190031472140497e-19,4109.45172951974,-362124823.5182934
1.160198410486826e-05,5.190059260248682e-19,4020.5128674001453,-346617614.42382526
1.18586982534876e-05,5.1900871764000195e-19,3933.498962681859,-331774474.3402481
1.2121092650718331e-05,5.190115221184676e-19,3848.368350689961,-317566965.4295559
1.2389292981975413e-05,5.1901433951955445e-19,3765.080268587632,-303967867.6743946
1.2663427713682968e-05,5.190171699028254e-19,3683.594835855271,-290951126.72581863
1.2943628154808924e-05,5.190200133281175e-19,3603.8730351921477,-278491803.98443127
1.32300285197614e-05,5.190228698555439e-19,3525.876693831406,-266566028.81923103
1.352276599267646e-05,5.190257395454954e-19,3449.5684652596306,-255150952.83273125
1.3821980793128698e-05,5.190286224586411e-19,3374.911811331995,-244224706.08461475
1.412781624329551e-05,5.190315186559298e-19,3301.8709847746327,-233766355.19010162
1.4440418836607656e-05,5.19034428198591e-19,3230.4110120657224,-223755863.21269894
1.4759938307918651e-05,5.190373511481376e-19,3160.4976766871714,-214174051.27458
1.508652770522712e-05,5.19040287566365e-19,3092.0975027387512,-205002561.81092262
1.542034346298566e-05,5.190432375153549e-19,3025.1777389070403,-196223823.39789057
1.576154547703227e-05,5.1904620105747385e-19,2959.7063427812545,-187821017.08683634
1.6110297181179455e-05,5.190491782553775e-19,2895.6519655086663,-179778044.18019867
1.6466765625497986e-05,5.190521691720095e-19,2832.9839367821482,-172079495.38741207
1.683112155633314e-05,5.190551738706042e-19,2771.67225015264,-164710621.30165672
1.7203539498090988e-05,5.190581924146875e-19,2711.6875486596136,-157657304.14095974
1.7584197836834794e-05,5.190612248680784e-19,2653.0011107725013,-150906030.6994481
1.7973278905730846e-05,5.190642712948896e-19,2595.584836636489,-144443866.45693922
1.8370969072384853e-05,5.190673317595304e-19,2539.4112346160437,-138258430.79728603
1.877745882811126e-05,5.190704063267071e-19,2484.4534081296506,-132337873.2879777
1.919294287917716e-05,5.19073495061424e-19,2430.685042769613,-126670850.97555351
1.961762024006578e-05,5.19076598028985e-19,2378.080393700573,-121246506.65329838
2.0051694328803143e-05,5.190797152949959e-19,2326.6142733308698,-116054448.05964565
2.0495373064394023e-05,5.190828469253647e-19,2276.26203925074,-111084727.96737385
2.0948868966414267e-05,5.1908599298630365e-19,2226.9995824315765,-106327825.12547493
2.141239925680607e-05,5.190891535443298e-19,2178.8033156806873,-101774626.01716232
2.1886185963926397e-05,5.190923286662679e-19,2131.6501623458994,-97416407.39909577
2.2370456028897124e-05,5.190955184192502e-19,2085.517545264699,-93244819.58833861
2.286544141430844e-05,5.190987228707188e-19,2040.383375952583,-89251870.46503782
2.3371379215327888e-05,5.191019420884271e-19,1996.2260440253954,-85429910.16018605
2.388851177326723e-05,5.19105176140441e-19,1953.0244068506886,-81771616.39910936
2.4417086791662887e-05,5.191084250951397e-19,1910.7577794230233,-78269980.47261095
2.4957357454924315e-05,5.191116890212185e-19,1869.4059244584848,-74918293.80888629
2.5509582549608e-05,5.1911496798768925e-19,1828.949042703572,-71710135.12049246
2.607402658837452e-05,5.191182620638828e-19,1789.3677634538951,-68639358.10173225
2.665095993668897e-05,5.191215713194486e-19,1750.6431352780494,-65700079.65288472
2.724065894232403e-05,5.191248958243585e-19,1712.7566169423515,-62886668.60872698
2.784340606772938e-05,5.191282356489065e-19,1675.6900685319436,-60193734.94974899
2.84594900253294e-05,5.191315908637109e-19,1639.4257427641405,-57616119.47537923
2.908920591581461e-05,5.191349615397159e-19,1603.9462764897974,-55148883.91945696
2.9732855369493625e-05,5.191383477481928e-19,1569.234682378605,-52787301.48899102
3.039074669077186e-05,5.191417495607417e-19,1535.2743407844134,-50526847.80809212
3.1063195005828004e-05,5.191451670492935e-19,1502.0489917865928,-48363192.24971986
3.175052241355748e-05,5.191486002861098e-19,1469.5427274036863,-46292189.63864422
3.2453058139855786e-05,5.191520493437868e-19,1437.7399839756172,-44309872.30971265
3.317113869531623e-05,5.1915551429525455e-19,1406.6255347107488,-42412442.50621891
3.3905108036416105e-05,5.1915899521378e-19,1376.1844823943186,-40596265.10380256
3.465531773027031e-05,5.191624921729682e-19,1346.4022522546593,-38857860.64594054
3.542212712302978e-05,5.191660052467635e-19,1317.2645849838625,-37193898.67768705
3.620590351200606e-05,5.191695345094513e-19,1288.7575299095167,-35601191.36488688
3.700702232160507e-05,5.191730800356601e-19,1260.867438314221,-34076687.386642694
3.782586728315269e-05,5.191766419003622e-19,1233.5809568997404,-32617466.089326978
3.866283061870038e-05,5.191802201788763e-19,1206.885021392599,-31220731.89094603
3.951831322889709e-05,5.191838149468676e-19,1180.766850288103,-29883808.92512703
4.039272488501813e-05,5.191874262803516e-19,1155.2139387297893,-28604135.91447282
4.128648442524381e-05,5.191910542556937e-19,1130.2140525213224,-27379261.263461113
4.22000199552799e-05,5.191946989496113e-19,1105.7552222680486,-26206838.361479998
4.31337690534184e-05,5.191983604391768e-19,1081.825737645326,-25084621.087008
4.408817898013466e-05,5.192020388018173e-19,1058.4141417909434,-24010459.504325926
4.5063706892322827e-05,5.192057341153173e-19,1035.509225818905,-22982295.744504333
4.606082006227097e-05,5.192094464578205e-19,1013.1000234519823,-21998160.062790513
4.707999610148248e-05,5.192131759078305e-19,991.1758057704234,-21056167.064826906
4.812172318944853e-05,5.192169225442135e-19,969.7260760743609,-20154512.094482303
4.91865003074839e-05,5.192206864461992e-19,948.7405648573947,-19291467.776364565
5.027483747773588e-05,5.192244676933837e-19,928.2092248889988,-18465380.70640081
5.138725600748166e-05,5.192282663657292e-19,908.122226403364,-17674668.28413713
5.252428873883228e-05,5.192320825435674e-19,888.4699523923697,-16917815.680688202
5.3686480303960064e-05,5.192359163076009e-19,869.2429940004664,-16193372.936537147
5.4874387385975095e-05,5.1923976773890385e-19,850.4321460192092,-15499952.183612049
5.608857898557292e-05,5.192436369189248e-19,832.028402479337,-14836224.986325383
5.732963669358227e-05,5.192475239294888e-19,814.0229523382615,-14200919.796482444
5.859815496954454e-05,5.192514288527971e-19,796.4071752608816,-13592819.51717627
5.989474142645558e-05,5.192553517714313e-19,779.1726374917567,-13010759.171006858
6.122001712180971e-05,5.1925929276835365e-19,762.3110878165982,-12453623.668156385
6.257461685508225e-05,5.192632519269088e-19,745.8144536111946,-11920345.670042247
6.395918947179459e-05,5.192672293308266e-19,729.6748369758608,-11409903.544456571
6.537439817430826e-05,5.19271225064223e-19,713.8845109535422,-10921319.40827486
6.682092083949411e-05,5.192752392116019e-19,698.4359158298009,-10453657.25398153
6.829945034343228e-05,5.192792718578571e-19,683.3216555128712,-10006021.15642479
6.981069489329563e-05,5.19283323088274e-19,668.5344939920822,-9577553.556364
7.135537836657632e-05,5.192873929885322e-19,654.0673518729426,-9167433.617523432
7.293424065782013e-05,5.192914816447056e-19,639.9133029872056,-8774875.654000342
7.454803803303049e-05,5.192955891432666e-19,626.0655710763374,-8399127.625018567
7.61975434919166e-05,5.192997155710851e-19,612.5175265467467,-8039469.694141239
7.788354713815524e-05,5.193038610154325e-19,599.2626832952686,-7695212.8501828015
7.960685655784634e-05,5.193080255639834e-19,586.2946956033513,-7365697.587179124
8.136829720634132e-05,5.193122093048164e-19,573.6073550984763,-7050292.6408854425
8.31687128036327e-05,5.193164123264166e-19,561.194587781338,-6748393.779381335
8.500896573848978e-05,5.193206347176771e-19,549.0504511173873,-6459422.645466208
8.688993748153915e-05,5.19324876567902e-19,537.1691311913148,-6182825.648628026
8.881252900748353e-05,5.193291379668066e-19,525.5449399231334,-5918072.904460728
9.0777661226663e-05,5.19333419004521e-19,514.1723123445232,-5664657.219500199
9.278627542616696e-05,5.193377197715902e-19,503.04580393411834,-5422093.119531661
9.483933372070396e-05,5.1934204035897865e-19,492.1600880104884,-5189915.919509977
9.69378195134502e-05,5.193463808580685e-19,481.50995318153264,-4967680.8333072215
9.908273796709372e-05,5.193507413606653e-19,471.09030084909614,-4754962.121584818
0.0001012751164853,5.193551219589968e-19,460.89614276759846,-4551352.276156485
0.0001035160052048,5.193595227457183e-19,450.92259865564444,-4356461.239281863
0.0001058064774985,5.193639438139107e-19,441.16489385874064,-4169915.6563815027
0.0001081476304896,5.193683852570857e-19,431.61835706319306,-3991358.160763681
0.0001105405855769,5.193728471691856e-19,422.2784180601786,-3820446.688994989
0.0001129864889722,5.1937732964458735e-19,413.1406055563203,-3656853.8255533427
0.0001154865122492,5.193818327781024e-19,404.20054503323433,-3500266.1755743623
0.0001180418529048,5.193863566649804e-19,395.453956652452,-3350383.7644411623
0.0001206537349326,5.193909014009102e-19,386.89665320648396,-3206919.4631002247
0.0001233234094091,5.193954670820226e-19,378.5245381141323,-3069598.437984243
0.000126052155093,5.194000538048921e-19,370.33360345875735,-2938157.624484308
0.000128841279038,5.19404661666538e-19,362.31992806836706,-2812345.2229589894
0.0001316921172185,5.194092907644285e-19,354.4796756392104,-2691920.216357112
0.0001346060351696,5.19413941196481e-19,346.8090928985835,-2576651.908475481
0.0001375844286413,5.194186130610651e-19,339.3045078073571,-2466319.4819887504
0.0001406287242672,5.19423306457004e-19,331.96232780141713,-2360711.5754064694
0.0001437403802474,5.194280214835776e-19,324.77903807258684,-2259625.8781664073
0.0001469208870472,5.194327582405235e-19,317.7511998850384,-2162868.7430425435
0.0001501717681114,5.194375168280399e-19,310.87544892797587,-2070254.8151486665
0.0001534945805932,5.19442297346787e-19,304.14849370653076,-1981606.6768641323
0.0001568909161008,5.194470998978906e-19,297.5671139641396,-1896754.5079200193
0.0001603624014596,5.194519245829417e-19,291.1281591410574,-1815535.7600674331
0.0001639106994912,5.194567715040019e-19,284.8285468662736,-1737794.8456780985
0.0001675375098099,5.194616407636027e-19,278.6652614815363,-1663382.839673072
0.0001712445696373,5.194665324647494e-19,272.63535259658113,-1592157.1942064464
0.0001750336546336,5.194714467109225e-19,266.73593367782263,-1523981.4655938856
0.0001789065797491,5.1947638360608e-19,260.9641806646783,-1458725.0529000834
0.0001828652000926,5.194813432546597e-19,255.31733061887113,-1396262.9477558732
0.0001869114118207,5.194863257615824e-19,249.79268040041447,-1336475.4948598407
0.0001910471530456,5.194913312322521e-19,244.38758537397797,-1279248.1627550498
0.0001952744047636,5.194963597725593e-19,239.09945814237346,-1224471.3244119845
0.0001995951918043,5.195014114888846e-19,233.9257673073178,-1172040.047206495
0.0002040115837998,5.195064864880983e-19,228.86403625822186,-1121853.8919036202
0.0002085256961766,5.195115848775642e-19,223.9118419856775,-1073816.720234044
0.0002131396911688,5.195167067651421e-19,219.06681392143116,-1027836.510718707
0.0002178557788535,5.195218522591898e-19,214.3266328036582,-983825.1823822744
0.0002226762182098,5.195270214685648e-19,209.68902956608454,-941698.4260086454
0.0002276033182005,5.195322145026274e-19,205.15178425189487,-901375.5426295288
0.0002326394388784,5.195374314712427e-19,200.71272495050619,-862779.2889235914
0.0002377869925164,5.195426724847829e-19,196.36972675797662,-825835.7292413935
0.0002430484447633,5.1954793765413e-19,192.12071075930245,-790474.0939617306
0.0002484263158245,5.19553227090677e-19,187.9636430333121,-756626.6439183448
0.0002539231816696,5.195585409063325e-19,183.89653367848277,-724228.5406271182
0.0002595416752659,5.195638792135206e-19,179.9174358604804,-693217.7220756449
0.0002652844878396,5.1956924212518475e-19,176.02444487998727,-663534.7838290986
0.000271154370165,5.195746297547898e-19,172.2156972606512,-635122.8652270846
0.0002771541338824,5.195800422163248e-19,168.48936985668766,-607927.5404531639
0.000283286652844,5.195854796243044e-19,164.8436789805106,-581896.7142743114
0.0002895548644915,5.195909420937723e-19,161.27687954806518,-556980.5222364403
0.0002959617712623,5.195964297403035e-19,157.78726424379408,-533131.2351419199
0.0003025104420282,5.196019426800058e-19,154.3731627028706,-510303.1676119324
0.0003092040135649,5.196074810295238e-19,151.0329407117016,-488452.5905682836
0.0003160456920549,5.196130449060408e-19,147.7649994252691,-467537.647459846
0.0003230387546231,5.196186344272805e-19,144.56777460170298,-447518.27407828905
0.0003301865509065,5.1962424971151035e-19,141.43973585335382,-428356.12180699967
0.0003374925046585,5.196298908775434e-19,138.37938591412725,-410014.48415698484
0.0003449601153892,5.196355580447426e-19,135.38525992246645,-392458.22644744255
0.0003525929600414,5.196412513330207e-19,132.45592472010668,-375653.71849902347
0.000360394694704,5.196469708628442e-19,129.58997816587387,-359568.7702085078
0.0003683690563633,5.196527167552369e-19,126.78604846434551,-344172.5698824208
0.0003765198646929,5.1965848913178e-19,124.04279350909492,-329435.6252116263
0.0003848510238834,5.196642881146168e-19,121.35890024008303,-315329.70677305944
0.0003933665245123,5.19670113826455e-19,118.73308401505165,-301827.7939514397
0.0004020704454557,5.196759663905679e-19,116.16408799438703,-288904.0231759371
0.000410966955842,5.196818459307988e-19,113.6506825393968,-276533.63837397564
0.0004200603170486,5.196877525715625e-19,111.19166462366657,-264692.94354701973
0.0004293548847437,5.196936864378482e-19,108.78585725690813,-253359.25737586524
0.0004388551109719,5.196996476552227e-19,106.43210892164777,-242510.86977167614
0.0004485655462873,5.197056363498319e-19,104.12929302175188,-232127.0002858704
0.0004584908419328,5.1971165264840465e-19,101.87630734314311,-222187.75830212887
0.0004686357520682,5.197176966782551e-19,99.67207352604544,-212674.10493246373
0.0004790051360475,5.197237685672853e-19,97.51553654868182,-203567.81654506456
0.0004896039607462,5.19729868443988e-19,95.40566422222608,-194851.4498543013
0.0005004373029408,5.197359964374486e-19,93.34144669654157,-186508.30850501126
0.0005115103517401,5.197421526773492e-19,91.32189597678659,-178522.41108841356
0.0005228284110711,5.197483372939712e-19,89.34604545032686,-170878.46052702656
0.0005343969022196,5.197545504181965e-19,87.41294942395112,-163561.81477080612
0.0005462213664266,5.197607921815125e-19,85.52168267116994,-156558.4587483802
0.0005583074675428,5.197670627160138e-19,83.67133998920234,-149854.97751899017
0.0005706609947415,5.197733621544037e-19,81.8610357656087,-143438.53057428543
0.0005832878652915,5.197796906299999e-19,80.08990355430612,-137296.82724058535
0.0005961941273915,5.197860482767352e-19,78.35709566073824,-131418.1031343951
0.0006093859630674,5.19792435229161e-19,76.6617827360031,-125791.09762602905
0.0006228696911328,5.1979885162245e-19,75.0031533798814,-120405.03226869553
0.0006366517702164,5.19805297592399e-19,73.38041375227874,-115249.59015066735
0.0006507388018552,5.198117732754327e-19,71.79278719322774,-110314.89613213902
0.0006651375336568,5.198182788086054e-19,70.23951385103386,-105591.49792809226
0.0006798548625312,5.198248143296041e-19,68.71985031852232,-101070.34800138837
0.0006948978379949,5.198313799767526e-19,67.23306927707577,-96742.78623097995
0.0007102736655469,5.198379758890131e-19,65.7784591484992,-92600.52332266397
0.0007259897101208,5.198446022059888e-19,64.35532375428188,-88635.62492978899
0.000742053499612,5.198512590679295e-19,62.96298198235747,-84840.49645430828
0.0007584727284836,5.1985794661573125e-19,61.600767461012154,-81207.86849848111
0.0007752552614524,5.198646649909418e-19,60.26802823982863,-77730.78293949156
0.0007924091372557,5.19871414335762e-19,58.96412647759875,-74402.57960053883
0.0008099425725018,5.198781947930504e-19,57.68843813695986,-71216.88349261321
0.0008278639656058,5.198850065063251e-19,56.44035268563333,-68167.59260257008
0.0008461819008126,5.198918496197662e-19,55.21927280412354,-65248.86620411929
0.0008649051523083,5.198987242782214e-19,54.02461409978495,-62455.11366945761
0.0008840426884232,5.199056306272064e-19,52.85580482703422,-59780.983759895666
0.0009036036759276,5.199125688129095e-19,51.712285613632694,-57221.35437509953
0.0009235974844226,5.199195389821941e-19,50.59350919289615,-54771.32274129754
0.0009440336908281,5.199265412826025e-19,49.49894014169771,-52426.196019626455
0.00096492208397,5.199335758623581e-19,48.42805462414671,-50181.482316655805
0.0009862726692692,5.19940642870369e-19,47.380340140799994,-48032.88207980804
0.0010080956735338,5.199477424562314e-19,46.35529528332878,-45976.27986130293
0.0010304015498579,5.199548747702329e-19,45.352429494467096,-44007.73643471545
0.0010532009826288,5.199620399633551e-19,44.3712628331578,-42123.48124911811
0.0010765048926443,5.199692381872763e-19,43.411325744811684,-40319.90520639345
0.0011003244423439,5.199764695943776e-19,42.4721588365091,-38593.553747783066
0.0011246710411556,5.199837343377418e-19,41.553312657073924,-36941.12023648189
0.001149556350961,5.199910325711606e-19,40.654347481908786,-35359.43962359824
0.0011749922916811,5.199983644491357e-19,39.774833102494746,-33845.482385361334
0.0012009910469859,5.2000573012688185e-19,38.91434862043913,-32396.348719920963
0.0012275650701306,5.200131297603326e-19,38.07248224597308,-31009.26299263758
0.00125472708992,5.200205635061402e-19,37.24883110083968,-29681.568419277086
0.0012824901168064,5.2002803152168195e-19,36.44300102540115,-28410.721976792905
0.0013108674491206,5.200355339650616e-19,35.65460638997573,-27194.28953212709
0.0013398726794426,5.20043070995114e-19,34.883269910204945,-26029.941179509857
0.0013695197011117,5.200506427714075e-19,34.12862246646071,-24915.446777493227
0.0013998227148817,5.200582494542474e-19,33.3903029271324,-23848.671677038365
0.0014307962357226,5.200658912046805e-19,32.6679579757579,-22827.572632565803
0.0014624550997739,5.200735681844975e-19,31.961241941870007,-21850.19388805708
0.0014948144714503,5.200812805562363e-19,31.269816635537854,-20914.663430795772
0.0015278898507055,5.2008902848318645e-19,30.59335118546851,-20019.189405499958
0.0015616970804572,5.200968121293917e-19,29.931521880603984,-19162.056681991206
0.0015962523541748,5.201046316596537e-19,29.28401201517854,-18341.623569876014
0.0016315722236367,5.201124872395363e-19,28.650511737095343,-17556.318673867965
0.0016676736068584,5.201203790353679e-19,28.030717899601854,-16804.637883781863
0.0017045737961958,5.201283072142455e-19,27.424333916178583,-16085.141493424482
0.0017422904666286,5.201362719440384e-19,26.831069618554988,-15396.451442837366
0.001780841684226,5.20144273393392e-19,26.250641117814475,-14737.248678647913
0.0018202459148006,5.201523117317311e-19,25.682770668491372,-14106.270627434249
0.0018605220327536,5.201603871292625e-19,25.12718653561282,-13502.308777283353
0.0019016893301149,5.20168499756981e-19,24.583622864629582,-12924.206362921454
0.0019437675257843,5.201766497866707e-19,24.051819554146515,-12370.856149951811
0.001986776774977,5.201848373909102e-19,23.53152213141117,-11841.198313972534
0.0020307376788771,5.201930627430752e-19,23.022481630509,-11334.218410525587
0.0020756712945062,5.202013260173432e-19,22.524454473176718,-10848.945431952714
0.0021215991448089,5.202096273886963e-19,22.037202352212205,-10384.449947474292
0.0021685432289628,5.202179670329262e-19,21.560492117392876,-9939.84232289673
0.0022165260329156,5.202263451266354e-19,21.094095663874118,-9514.271016560058
0.0022655705401558,5.202347618472447e-19,20.637789822998517,-9106.920948249492
0.0023157002427219,5.20243217372994e-19,20.19135625546654,-8717.01193795033
0.0023669391524544,5.202517118829464e-19,19.754581346826615,-8343.797211458557
0.0024193118124981,5.202602455569941e-19,19.32725610521542,-7986.5619699727395
0.0024728433090573,5.202688185758599e-19,18.909176061325,-7644.622020947048
0.0025275592834127,5.202774311211024e-19,18.5001411705218,-7317.322467559716
0.0025834859442029,5.202860833751189e-19,18.09995571709443,-7004.036454306188
0.0026406500799784,5.202947755211506e-19,17.70842822056791,-6704.163966301188
0.0026990790720332,5.203035077432853e-19,17.325371344046992,-6417.1306799962185
0.0027588009075202,5.203122802264616e-19,16.95060180454398,-6142.386863107822
0.0028198441928568,5.203210931564738e-19,16.583940285247213,-5879.406321651899
0.0028822381674274,5.203299467199745e-19,16.225211349686596,-5627.68539206362
0.002946012717589,5.2033884110447955e-19,15.874243357757567,-5386.7419764751685
0.003011198390986,5.203477764983708e-19,15.530868383566203,-5156.114619304295
0.0030778264111831,5.203567530909025e-19,15.19492213504507,-4935.3616233787325
0.0031459286926208,5.203657710722025e-19,14.866243875315075,-4724.060203911475
0.0032155378559021,5.203748306332787e-19,14.544676345747641,-4521.80567870113
0.0032866872434181,5.203839319660212e-19,14.230065690688946,-4328.210693005429
0.0033594109353182,5.203930752632083e-19,13.922261383818658,-4142.90447760887
0.0034337437658347,5.204022607185084e-19,13.621116156097674,-3965.53213865601
0.0035097213399682,5.204114885264864e-19,13.32648592527729,-3795.7539778948994
0.0035873800505419,5.204207588826064e-19,13.038229726934924,-3633.2448420278815
0.0036667570956339,5.204300719832359e-19,12.756209646999984,-3477.69349992105
0.0037478904963946,5.2043942802565115e-19,12.480290755742347,-3328.802046482684
0.0038308191152588,5.204488272080399e-19,12.210341043187801,-3186.285332065716
0.0039155826745603,5.204582697295069e-19,11.946231355932879,-3049.870416303922
0.0040022217755591,5.204677557900771e-19,11.687835335324825,-2919.2960453329215
0.0040907779178889,5.204772855907004e-19,11.435029356981778,-2794.312151397251
0.0041812935194351,5.204868593332564e-19,11.187692471621197,-2674.679373883344
0.0042738119366529,5.2049647722055785e-19,10.945706347168146,-2560.1686008611578
0.004368377485335,5.205061394563554e-19,10.708955212116532,-2450.5605302564
0.0044650354618379,5.205158462453424e-19,10.47732580011841,-2345.645249813926
0.0045638321647794,5.205255977931579e-19,10.250707295768656,-2245.2218350448384
0.0046648149172149,5.205353943063932e-19,10.028991281566208,-2149.0979643905594
0.0047680320893051,5.2054523599259365e-19,9.812071686021444,-2057.0895508641624
0.0048735331214848,5.205551230602656e-19,9.59984473288768,-1969.0203894649094
0.0049813685481447,5.20565055718879e-19,9.392208891490597,-1884.721819689832
0.0050915900218372,5.205750341788731e-19,9.189064828132738,-1804.0324024957517
0.0052042503380176,5.205850586516602e-19,8.990315358550056,-1726.797611093898
0.0053194034603328,5.205951293496303e-19,8.795865401397302,-1652.8695349839545
0.0054371045464693,5.206052464861556e-19,8.60562193274044,-1582.1065966611422
0.0055574099745741,5.20615410275596e-19,8.419493941532423,-1514.3732804529209
0.0056803773702588,5.20625620933302e-19,8.23739238605477,-1449.5398729673798
0.0058060656342025,5.206358786756209e-19,8.059230151299866,-1387.48221465421
0.0059345349703643,5.206461837199001e-19,7.884922007277278,-1328.0814620044657
0.0060658469148212,5.206565362844928e-19,7.714384568220758,-1271.2238599315278
0.0062000643652433,5.206669365887623e-19,7.547536252679229,-1216.8005238990736
0.0063372516110215,5.206773848530862e-19,7.384297244470993,-1164.707231377568
0.0064774743640614,5.20687881298862e-19,7.224589454483524,-1114.8442222304147
0.0066207997902595,5.206984261485112e-19,7.068336483298832,-1067.1160076469787
0.0067672965416748,5.207090196254842e-19,6.91546358462895,-1021.4311872569924
0.0069170347894131,5.207196619542652e-19,6.765897629541776,-977.7022740755565
0.0070700862572383,5.207303533603767e-19,6.619567071461786,-935.8455269438127
0.0072265242559277,5.207410940703851e-19,6.476401911927898,-895.7807901440829
0.0073864237183876,5.207518843119044e-19,6.3363336670922425,-857.4313398824379
0.0075498612355457,5.20762724313602e-19,6.1992953349441775,-820.7237373444113
0.0077169150930376,5.207736143052031e-19,6.0652213632436665,-785.5876880427459
0.0078876653087051,5.207845545174962e-19,5.934047618148572,-751.9559071875192
0.0080621936709245,5.207955451823368e-19,5.805711353520682,-719.7639908206947
0.0082405837777828,5.208065865326538e-19,5.68015118089616,-688.9502924685057
0.0084229210771204,5.2081767880245375e-19,5.557307040106114,-659.4558050753585
0.0086092929074605,5.208288222268259e-19,5.437120170532481,-631.2240479929096
0.0087997885398433,5.208400170419477e-19,5.319533082986544,-604.2009588081964
0.008994499220587,5.208512634850885e-19,5.204489532195297,-578.3347898031298
0.0091935182149934,5.208625617946165e-19,5.091934489884223,-553.5760088476654
0.0093969408520222,5.20873912210003e-19,4.981814118441582,-529.8772045363021
0.0096048645699526,5.208853149718262e-19,4.874075745153349,-507.19299538638734
0.0098173889630557,5.208967703217794e-19,4.768667836995487,-485.4799429243976
0.0100346158292999,5.20908278502673e-19,4.665539975971569,-464.6964684935665
0.0102566492191112,5.209198397584418e-19,4.564642834984497,-444.8027736236272
0.0104835954852129,5.209314543341492e-19,4.465928154230101,-425.7607638101017
0.010715563333568,5.209431224759933e-19,4.369348718101682,-407.5339755571513
0.0109526638754485,5.209548444313107e-19,4.274858332594461,-390.0875065442251
0.0111950106806574,5.209666204485838e-19,4.1824118031988124,-373.3879487827935
0.0114427198319278,5.209784507774441e-19,4.0919649132720854,-357.4033246351273
0.0116959099805257,5.209903356686793e-19,4.003474402878503,-342.1030255725427
0.0119547024030838,5.210022753742374e-19,3.916897948086705,-327.45775355584374
0.0122192210596916,5.210142701472328e-19,3.832194140715769,-313.4394649256956
0.0124895926532722,5.210263202419511e-19,3.7493224685190665,-300.0213166953945
0.012765946690272,5.21038425913856e-19,3.668243295797283,-287.1776151432632
0.0130484155426933,5.210505874195925e-19,3.588917844430936,-274.8837666061536
0.0133371345115004,5.210628050169939e-19,3.511308175323128,-263.1162303797373
0.0136322418914273,5.210750789650878e-19,3.4353771702442675,-251.8524736355712
0.0139338790372205,5.210874095241e-19,3.3610885140693685,-241.07092826838743
0.0142421904313469,5.210997969554617e-19,3.28840667739993,-230.75094959104626
0.0145573237532004,5.21112241521814e-19,3.2172968995617426,-220.87277679805084
0.0148794299498388,5.21124743487014e-19,3.1477251719708765,-211.41749512187926
0.0152086633082874,5.211373031161401e-19,3.079658221859287,-202.3669996096096
0.0155451815294413,5.211499206754986e-19,3.0130634963528795,-193.70396045055713
0.0158891458036027,5.211625964326282e-19,2.9479091468941423,-185.41178978844073
0.016240720887691,5.211753306563064e-19,2.8841640140016223,-177.4746099544859
0.0166000751841598,5.211881236165556e-19,2.8217976123595054,-169.8772230607501
0.0169673808216611,5.212009755846479e-19,2.7607801162296575,-162.60508189528036
0.0173428137374936,5.212138868331116e-19,2.7010823451795,-155.64426206345706
0.0177265537618758,5.212268576357371e-19,2.6426757501186473,-148.98143532214772
0.0181187847040838,5.212398882675828e-19,2.5855323996377204,-142.60384405556988
0.0185196944404947,5.212529790049802e-19,2.529624966642838,-136.49927684401337
0.0189294750045782,5.21266130125541e-19,2.474926715279334,-130.65604507859962
0.0193483226788801,5.212793419081619e-19,2.4214114881383515,-125.0629605773056
0.0197764380890397,5.212926146330317e-19,2.369053693740476,-119.70931415939003
0.0202140262998889,5.213059485816368e-19,2.317828294290041,-114.58485513715686
0.0206612969136771,5.2131934403676665e-19,2.2677107936945027,-109.67977168581547
